id,created_at,text
b'1041990389694189568',09/18/2018,b'@Fredilly @lopp @lopp has a portable hand cranked bitcoin node that syncs with the blockstream satellite.  (kidding).'
b'1041960910653480960',09/18/2018,b'@ZLOK @CryptoAgent47 That was the entire point of the thread.  I juxtaposed Yom Kippur as day for moral betterment\xe2\x80\xa6 https://t.co/NkXkVnKyyQ'
b'1041805397508743169',09/17/2018,b'@spencernoon @decentrali This is a helpful clarification and clear framing.'
b'1041804598053412864',09/17/2018,b'@lopp @CasaHODL I had a dream last week that there was a small cult of Bitcoin faithful that sacrifice BTC to Satos\xe2\x80\xa6 https://t.co/owELKPTdf3'
b'1041788468823842817',09/17/2018,"b""6/ There's something wonderful about being surrounded by a community of people (even if they're strangers to you),\xe2\x80\xa6 https://t.co/pIKhzjrCEt"""
b'1041787879591170049',09/17/2018,"b""5/ I find this very powerful.  Being honest with ourselves is tough.  By 'confessing' to a list of very serious tra\xe2\x80\xa6 https://t.co/0VGteSOoUo"""
b'1041787570265436160',09/17/2018,"b'4/ On Yom Kippur, one of my favorite moments is communal prayer said simultaneously by anyone at the synagogue in w\xe2\x80\xa6 https://t.co/K1hz4U7Euh'"
b'1041786476286173188',09/17/2018,"b""3/ Having one day a year set aside to seriously evaluate one's life is very valuable.  Am I treating my family and\xe2\x80\xa6 https://t.co/T4okrjyYgR"""
b'1041786171859365889',09/17/2018,"b""2/ we 'body hack' to become healthier and more athletic, we try to gain practical skills, 'life hacks', as well as\xe2\x80\xa6 https://t.co/MnBl5vdCPi"""
b'1041785732220813318',09/17/2018,"b""1/ Tomorrow night is the start of the Jewish holiday Yom Kippur (day of atonement).  I'm not at all religious but v\xe2\x80\xa6 https://t.co/ykbhMwaJ1z"""
b'1041778589497257985',09/17/2018,b'@tonysheng @spencernoon I\xe2\x80\x99m picturing a plane full of villagers with pitchforks.'
b'1041746901484429317',09/17/2018,"b'@blue_poweranger @erolsul @Rptr45 @nic__carter Yes.  In the very beginning, Satoshi expected most full nodes to min\xe2\x80\xa6 https://t.co/mL8nuhzhhD'"
b'1041745393988632577',09/17/2018,"b'@wintercooled In this analogy, replacing the security guards takes 6 months with dramatically increased security ri\xe2\x80\xa6 https://t.co/DpXRXRudAR'"
b'1041639612563767296',09/17/2018,b'@blue_poweranger @erolsul @Rptr45 @nic__carter Full nodes verify transactions.  Miners determine which valid transa\xe2\x80\xa6 https://t.co/AfyVSQOZPD'
b'1041584405930803200',09/17/2018,"b""@mercy_zealot It's a lot worse than that.  Makeup is mostly built around mimicking the flush of sexual arousal."""
b'1041577601540734976',09/17/2018,b'@JHICFO @michellevarron I do it constantly.  Only in the forward direction so far.'
b'1041577047611658240',09/17/2018,b'@doctorow The least realistic part of this was the last sentence.'
b'1041563481772879872',09/17/2018,b'@BillyRedHorse Love it.'
b'1041563162401808384',09/17/2018,"b""@jeetsidhu_ 4/ I write all this just exploring a hypothetical.  I don't know if this will work in practice, or if t\xe2\x80\xa6 https://t.co/Iotiy7mwaM"""
b'1041563001516707840',09/17/2018,"b""@jeetsidhu_ 3/ Because the introduction of the 'extra' currency is used to bootstrap the project on both fundraisin\xe2\x80\xa6 https://t.co/Igq2EeGf5k"""
b'1041562676588011522',09/17/2018,"b'@jeetsidhu_ 2/ The service could be priced in USD or BTC, with zero price exposure to filecoin (as an arbitrary exa\xe2\x80\xa6 https://t.co/eWjwsB8mKg'"
b'1041562390842748929',09/17/2018,"b""@jeetsidhu_ 1/ We certainly won't have many currencies acting as units of account, even for their own attached serv\xe2\x80\xa6 https://t.co/3QiWHKA0mM"""
b'1041554150994202624',09/17/2018,"b'@jeetsidhu_ @manfred_karrer @piratebeachbum @weskusbeskus @cz_binance Agreed, at least for now.'"
