id,created_at,text
b'1040997945565274112',09/15/2018,b'RT @WayneVaughan: @CremeDeLaCrypto @jonathanmarcus @CodaProtocol It\xe2\x80\x99s also like saying that:\n\na) each bank should process and maintain a re\xe2\x80\xa6'
b'1040971971566026752',09/15/2018,b'@jonathanmarcus @CodaProtocol The idea of trying to put everything onchain is like saying all contracts should go t\xe2\x80\xa6 https://t.co/lnQR4kHzIi'
b'1040971534309851137',09/15/2018,b'@jonathanmarcus @CodaProtocol If only I had a dollar for everytime ive heard that one! Also the more important poin\xe2\x80\xa6 https://t.co/eGMgFMguH5'
b'1040968801125249024',09/15/2018,b'The fetishization of on-chain transactions is illogical. Not only will it prove impossible to fit all potential cry\xe2\x80\xa6 https://t.co/UprIIy6KNq'
b'1039945931074940928',09/12/2018,"b""RT @h_joshua_rivera: @CremeDeLaCrypto on US's efficient capital markets in spite of regulation: efficiency of capital markets today are a r\xe2\x80\xa6"""
b'1033052421285535744',08/24/2018,b'@indievestments @facebook I actually agree. Real point I was trying to make was more simple: early-stage tech is vo\xe2\x80\xa6 https://t.co/WlDGTPcG04'
b'1032720254349205504',08/23/2018,"b""RT @nic__carter: @wheatpond if we can just transmute lead to gold, we won't need gold any more."""
b'1031932898155216896',08/21/2018,b'RT @CremeDeLaCrypto: Bitcoin is a supra-sovereign institution for (digital) property rights. https://t.co/ByCgTJulnj'
b'1029891314953871361',08/16/2018,b'RT @HHorsley: A great conversion about crypto markets and the new @BitwiseInvest indexes with @emilychangtv and @CremeDeLaCrypto today. htt\xe2\x80\xa6'
b'1029797551736680448',08/15/2018,"b""@nic__carter @HHorsley @emilychangtv Lies. You don't like people."""
b'1029792975151198208',08/15/2018,"b'Chatting crypto markets, @BitwiseInvest and indexing shortly on @business https://t.co/7XnpUSGeYs'"
b'1029775923543826432',08/15/2018,b'Looking forward to this one -- should be a fun discussion! https://t.co/iUFjj2XOVs'
b'1029736538874081281',08/15/2018,"b'RT @muneeb: Humans get nostalgic about economic inefficiencies of the past; life for humans is getting better, not worse.'"
b'1029723389856899077',08/15/2018,"b""RT @BitwiseInvest: We're excited to announce the launch of new Mid Cap, Small Cap and Total Market crypto indexes, and to formally introduc\xe2\x80\xa6"""
b'1029082286644318208',08/13/2018,"b'@TraderAltcoins You should check out the TPS rate on AWS, pretty incredible. Even better than hashgraph!'"
