id,created_at,text
b'1042058193965178881',09/18/2018,b'RT @fredwilson: I just realized that I have not sent a tweet out to everyone who follows me in about a month. And yet I reply to tweets all\xe2\x80\xa6'
b'1041922303326543872',09/18/2018,b'Let\xe2\x80\x99s Do Less Dead-End Work  #Harvard https://t.co/uTpq9hnkzI'
b'1041892090005737472',09/18/2018,b'The rise of the payment app: &amp;#039;I hardly use cash any more&amp;#039;  #Internet https://t.co/UdWGHsPnYq'
b'1041816598028242944',09/17/2018,b'SpaceX to Announce First Customer for Trip Around the Moon  #Business https://t.co/ry5QEVfy28'
b'1041739397497008128',09/17/2018,b'RT @yorkshirepost: Congratulations to one of our leading journalists. An accolade which reassures those who support our work by buying our\xe2\x80\xa6'
b'1041736349089509376',09/17/2018,b'@EleniGiokos @Richtopia Congrats on the new addition to your family Eleni. I hope all is well. Keep up the good work.'
b'1041736183561289729',09/17/2018,"b""RT @EleniGiokos: In the same year that I've literally had zero sleep with a new baby, I also managed to get onto the @richtopia list at 98!\xe2\x80\xa6"""
b'1041736068163358720',09/17/2018,b'The sky is only the limit if you choose it to be. There are astronauts in space as you read this. They chose to dif\xe2\x80\xa6 https://t.co/0uuMTPQlem'
b'1041537274708733952',09/17/2018,b'RT @fmanjoo: i think @felixsalmon does a really great job here.\n\nhttps://t.co/KqE5tDlaYk'
b'1041537264617086976',09/17/2018,b'5 Functional Smartwatches Chic Enough for Everyday Wear  #NewYorkTimes https://t.co/K2mDRnQsvM'
b'1041507076525109248',09/17/2018,"b'RT @TheOnion: Trump Boys Leave $5 Bill, Candy Bar Under Propped-Up Laundry Basket In Effort To Catch Op-Ed Writer https://t.co/83ApFeLxNX h\xe2\x80\xa6'"
b'1041507068136480768',09/17/2018,b'\xe2\x80\x98Thank Her for Her Bravery:\xe2\x80\x99 Monica Lewinsky Commends Brett Kavanaugh Accuser for Coming Forward  #Technology https://t.co/kCqYyeI4rr'
b'1041392760681627654',09/16/2018,"b'@jaltucher @Richtopia Yah, let me know if you plan to visit these parts of the globe any time soon. All the best James!'"
b'1041392290940575744',09/16/2018,b'RT @cherylcasone: It\xe2\x80\x99s the willingness to wake up at 2am obviously https://t.co/zcHWnPT3zb'
b'1041220193781833729',09/16/2018,"b'The Best of the Physics arXiv (week ending September 15, 2018) #MIT https://t.co/Tax2USzDBJ'"
b'1041189097778409472',09/16/2018,"b""@CGasparino @hblodget @WSJ Wow, 17 years... you've been in the business for a hot-minute."""
b'1041188859080523781',09/16/2018,b'RT @CGasparino: funny thing about being on this list w @hblodget: back around 17 years ago when i was a senior writer at the @WSJ i was cov\xe2\x80\xa6'
b'1041188529332731904',09/16/2018,"b'@IvanTheK Yah, there are thousands of business journalists. Hope you found the list insightful.'"
b'1041188113098387457',09/16/2018,"b""@MerrynSW @Richtopia You're welcome. Well deserved. I enjoy reading your posts on the @FT."""
b'1041023892045750272',09/15/2018,"b'Code Commerce, our summit on the future of retail, is almost here. Here\xe2\x80\x99s how to fo... https://t.co/UDUabGJrfo https://t.co/f0yXZf5tPJ'"
b'1040823579565285376',09/15/2018,b'RT @pamambler: Why thanks @Richtopia ! Credit to great editors at @Forbes @ForbesAsia who keep me on my toes #richtopia https://t.co/pO0e6p\xe2\x80\xa6'
b'1040804932280975360',09/15/2018,"b'With Less Data-Driven Baggage, Can Apple Help Lead the Way on Advertising Privacy? #Advertising https://t.co/X3J3L5JsfU'"
b'1040737007792607232',09/14/2018,b'Lessons from a cash benchmarking evaluation: Authors&amp;#039; version  #Sustainability https://t.co/VxeK5u8icS'
b'1040688566886719488',09/14/2018,b'RT @sparky000: \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbc https://t.co/r1QgB6WTO3'
b'1040676604739936256',09/14/2018,b'Twitter is so liberal that its conservative employees \xe2\x80\x98don\xe2\x80\x99t feel safe to express... https://t.co/JxSGZZt7h3 https://t.co/viAkrRvYja'
b'1040665262348021760',09/14/2018,"b""@vxschmid @Richtopia Lol, I never said that bro. Let's catch up soon. All the best!"""
b'1040654857127034880',09/14/2018,"b'@IainDey Once a biz journalist, always a biz journalist \xf0\x9f\x98\x80 You never know, one of these days you might get inspired\xe2\x80\xa6 https://t.co/7qqaEYQKvo'"
b'1040649172133789697',09/14/2018,"b'RT @JoyDoreenBiira: I was going about my business this evening, making dinner for family, then I read this good news on my timeline \xe2\x98\xba\xef\xb8\x8f\n\nTha\xe2\x80\xa6'"
b'1040649158175191040',09/14/2018,b'Richly deserved Joy. Keep up the good work. https://t.co/Zm23ZDwGVX'
b'1040645981186994177',09/14/2018,b'RT @dannihewson: Keeping some pretty impressive company here \xf0\x9f\x98\xae https://t.co/ADBRIZSuD8'
b'1040644192979091456',09/14/2018,b'RT @AdamParsons1: @DerinCag @Richtopia Thank you very much. Some very brilliant names on that list. Delighted to be in their company'
b'1040642824998408193',09/14/2018,b'RT @BrianDEvans: #24 out of the Top 250 Most Powerful Business Journalists this year @Richtopia @DerinCag \xf0\x9f\x99\x8f https://t.co/BCRRIR7FRe'
b'1040642356708556800',09/14/2018,"b""RT @bbcaaron: 118!? That's just not good enough! Note to self - must try harder - must try harder \xf0\x9f\x98\x82 https://t.co/bOGh4d16Zm"""
b'1040640350765887489',09/14/2018,b'@rjmarvin1 Ya-welcome Rob. All the best!'
b'1040639421555585024',09/14/2018,b'RT @SullyCNBC: I owe it all to great producers and Newark airport https://t.co/RpdVagZJrB'
b'1040639380736618497',09/14/2018,"b""@rjmarvin1 @jaltucher It's not unusual for #crypto doubters to become avid supporters, or vice-versa. There's even\xe2\x80\xa6 https://t.co/9ODkXBkIQ7"""
b'1040638372690178048',09/14/2018,b'\xf0\x9f\x98\x80 https://t.co/Jm9ZySFUV5'
b'1040637287422414849',09/14/2018,b'@rjmarvin1 Which part of what he does is a scam? @JAltucher was actually #1 last year.'
b'1040636933356101634',09/14/2018,"b'@AabhaBakaya Ya welcome Aabha, well-deserved!'"
b'1040636374863564800',09/14/2018,b'RT @KarynTurk: @DerinCag I am beyond honored. Delighted to be recognized alongside some of the world\xe2\x80\x99s best. Thank you so much #richtopia h\xe2\x80\xa6'
b'1040636249248346112',09/14/2018,b'The 250 Most Influential #Biz Journalists 2018 ... https://t.co/zr7BmJ604V via @Richtopia'
b'1040635759055839233',09/14/2018,"b'@joeblynam congrats, you are #250 on the Top 250 Most Powerful Biz Journalists this year. https://t.co/zr7BmJ604V via @Richtopia \xf0\x9f\x98\x80'"
b'1040635758539956226',09/14/2018,"b""@nftadena congrats, you're #249 on the Top 250 Most Powerful Biz Journalists 2018. https://t.co/zr7BmJ604V via @Richtopia"""
b'1040635757868838912',09/14/2018,"b'@alexandrafattal congrats, you are #248 on the Top 250 Most Powerful Biz Journalists this year. https://t.co/zr7BmJ604V via @Richtopia'"
b'1040635757285785603',09/14/2018,"b""@kevinscottht congrats, you're #247 on the Top 250 Most Influential Business Journalists 2018. https://t.co/zr7BmJ604V via @Richtopia"""
b'1040635756732211202',09/14/2018,"b""@eilidhwagstaff well done, you're #246 on the Top 250 Most Powerful Biz Journalists this year. https://t.co/zr7BmJ604V via @Richtopia"""
b'1040635756228870145',09/14/2018,"b""@meganstartups congratulations, you're #245 on the Top 250 Most Powerful Biz Journalists this year. https://t.co/zr7BmJ604V via @Richtopia"""
b'1040635755519983616',09/14/2018,"b""@pamambler congrats, you're #244 on the Top 250 Most Influential Biz Journalists this year. https://t.co/zr7BmJ604V via @Richtopia"""
b'1040635754987315206',09/14/2018,"b'@sarojkafleg congrats, you are #243 on the Top 250 Most Powerful Biz Journalists this year. https://t.co/zr7BmJ604V via @Richtopia'"
