id,created_at,text
b'1040491164686639104',09/14/2018,"b'RT @cryptocom: Today, we complete the transition to the https://t.co/vCNztABJoG brand with the launch of our revamped website &amp; the https:/\xe2\x80\xa6'"
b'1030022216392433665',08/16/2018,"b'RT @MCO_Crypto: We have added three new key hires to our leadership team, strengthening our ability to offer innovative financial services\xe2\x80\xa6'"
b'1027463154215792640',08/09/2018,b'RT @MCO_Crypto: @MCO_Crypto has started the Closed Beta testing of Crypto Invest - the Smart Way to Get Into Crypto - a new feature on the\xe2\x80\xa6'
b'1027185989398093829',08/08/2018,b'@Sarmaku @cryptocom @MCO_Crypto We\xe2\x80\x99ll be in touch shortly. Try to delete and reinstall first please.'
b'1025545214096633856',08/04/2018,b'@VegasTopPicks Thank you.'
b'1024615726944935936',08/01/2018,"b'RT @MCO_Crypto: #Litecoin (LTC) has been added to the MCO Wallet App, the first #cryptocurrency to be added to the MCO platform since the a\xe2\x80\xa6'"
b'1022997952476798976',07/28/2018,b'@CryptoKrieger @CryptoShillNye @MCO_Crypto Our main office is in HK.'
b'1022053758451109888',07/25/2018,"b'RT @cryptocom: Tune in live to Bloomberg Daybreak Asia at 8:50am HKT tomorrow (26 July), to catch our CEO @Kris_HK\xe2\x80\x99s interview where he wil\xe2\x80\xa6'"
b'1021565755773480960',07/24/2018,b'@HornPharm123 No timeline for NZ at the moment.'
b'1021290281503621120',07/23/2018,"b'It\xe2\x80\x99s a great moment to update your MCO app: new cashback on crypto purchase, crypto exchange and massive sign-up re\xe2\x80\xa6 https://t.co/6S1EeItfRC'"
b'1017312133480996864',07/12/2018,b'@_wkelly_ @cryptocom We\xe2\x80\x99re keeping @MCO_Crypto for all consumer facing products'
b'1017311005653651456',07/12/2018,"b'RT @cryptocom: Dear community, please be informed that we have updated our Twitter username to @cryptocom'"
b'1017209202509471745',07/12/2018,b'RT @TheCryptoCom: Our CEO @Kris_HK was interviewed by CNNMoney Switzerland @CNNMoneyCH during the TechCrunch conference in Zug where he spo\xe2\x80\xa6'
b'1017049485963190272',07/11/2018,b'RT @TheCryptoCom: Team @TheCryptoCom at @RISEConfHQ #RISEConf earlier today! Our CEO @Kris_HK also spoke at a panel that discussed the surg\xe2\x80\xa6'
b'1015120750179733505',07/06/2018,b'RT @MCO_Crypto: Thanks for featuring us! @TechCrunch https://t.co/RPXLJ4QNCP'
b'1015120688611512322',07/06/2018,b'We are now https://t.co/7gGF5D0I9K - accelerating the world\xe2\x80\x99s transition to cryptocurrency. Card and app have been\xe2\x80\xa6 https://t.co/hoRLuo5U1N'
b'1014425258248556544',07/04/2018,b'RT @monaco_card: We are excited to share that we have received the first batch of operational Monaco Visa cards and the team is currently t\xe2\x80\xa6'
b'1012301155878125569',06/28/2018,"b'RT @monaco_card: @monaco_card is proud to support the @Delta_Summit, Malta\xe2\x80\x99s leading #blockchain and digital innovation conference from Oct\xe2\x80\xa6'"
b'1004659696630808576',06/07/2018,b'RT @internetgene: Embrace the new technology of blockchain. Thanks for the highly recognition of @monaco_card by Forbes @ForbesUnder30 @For\xe2\x80\xa6'
b'1003900333129547776',06/05/2018,"b'RT @monaco_card: Our CEO @Kris_HK will speak at @TechCrunch TC Sessions: Blockchain 2018 in Zug, Switzerland on July 6. The panel discussio\xe2\x80\xa6'"
b'1002091745738342400',05/31/2018,"b'Welcome to the team, Stanley! We\xe2\x80\x99re really fortunate to have you join us on this amazing journey. https://t.co/YlmKn2KM0O'"
b'997084779332878337',05/17/2018,"b'RT @monaco_card: In case you missed it, Eric Anziani, SVP, Group Strategy  @ericnode and Bobby Bao, Co-Founder and Managing Director @inter\xe2\x80\xa6'"
b'996650233596555264',05/16/2018,b'RT @monaco_card: Announcing Open Beta for the Monaco Visa Card &amp; Wallet App! Now available on Google Play Store (iOS version to follow). Ch\xe2\x80\xa6'
b'989848621406285825',04/27/2018,b'Congratulations @SilvioSchembri https://t.co/QfeEaXoRGU'
b'988697636004708352',04/24/2018,b'RT @monaco_card: @monaco_card strengthens its leadership team with three additional key members https://t.co/EhDa4LgkGj\n#blockchain #fintec\xe2\x80\xa6'
b'987226331568996357',04/20/2018,"b""RT @monaco_card: Following our listing on @BithumbOfficial, @monaco_card token's $MCO 24-hour trading volume topped $750million for the fir\xe2\x80\xa6"""
b'986836043923181569',04/19/2018,b'Thanks to the team at @BithumbOfficial for supporting Monaco\xe2\x80\x99s vision of cryptocurrency in every wallet $mco\xe2\x80\xa6 https://t.co/PjKl4MDe3X'
b'983543874021814277',04/10/2018,"b""RT @monaco_card: @monaco_card's Managing Director Bobby Bao @internetgene at Draper University Executive Blockchain Program @draper_u in Sa\xe2\x80\xa6"""
b'983213802245185536',04/09/2018,b'RT @monaco_card: Our CEO @kris_HK will speak at #BloombergInvest Asia @BloombergLive in HK on 11 Apr. The panel Wild Tulips in Asia: The Fu\xe2\x80\xa6'
b'978454522526760960',03/27/2018,"b""RT @monaco_card: Congrats to @monaco_card's Bobby Bao @internetgene for being named in Forbes' 30 Under 30 Asia list of young innovators &amp;\xe2\x80\xa6"""
b'978147750905655296',03/26/2018,"b""@Monaco_card supports the bold vision of PM @JosephMuscat_JM and Malta's vision of the Blockchain Island. Looking i\xe2\x80\xa6 https://t.co/I6FTJTpLQY"""
b'973396155991076865',03/13/2018,b'RT @monaco_card: The @monaco_card team with @BigONEexchange CEO Lao Mao @ywzsir at @money2020! https://t.co/PjLeGI4SXh'
b'973382164531130368',03/13/2018,b'RT @monaco_card: It was great to catch up with the @Ripple team at @money2020 this morning! https://t.co/8DIBfKpsU1'
b'973151209883254784',03/12/2018,"b'100m+ people will see this video in 2018, see it first here: https://t.co/OXlBxtaWqR #cryptocurrencyineverywallet @monaco_card'"
b'962331029254975488',02/10/2018,b'Thanks for the chat @emailshashwat - it was a pleasure :) https://t.co/VPDQASkPqy'
b'956376105191010305',01/25/2018,"b'RT @monaco_card: Catch @monaco_card CEO, Kris Marszalek @Kris_HK speaking at the Blockchain Economic Forum 2018 in Singapore (4-6 Feb)! 30%\xe2\x80\xa6'"
b'952863186176286720',01/15/2018,b'@cz_binance what an amazing journey since that Chengdu hotpot dinner 6 months ago - world class execution by team @binance_2017'
b'951491823981117440',01/11/2018,"b""RT @monaco_card: @monaco_card is proud to support Crypto Weekly's inaugural 100 Most Influential People in Crypto which highlights innovato\xe2\x80\xa6"""
b'949295708783370240',01/05/2018,b'RT @monaco_card: Following reports https://t.co/1oFajMzzlm https://t.co/Rp8TIGxU4v that WaveCrest has been told by Visa to close all WaveCr\xe2\x80\xa6'
b'949201334896549888',01/05/2018,b'It was a real pleasure to talk about cryptocurrency with HK legend @cnbcbernie - thank you for having me on the show https://t.co/kvsUQ009DI'
b'943844875274878976',12/21/2017,"b'Meanwhile, on @monaco_card Slack channel... https://t.co/198BSlPhnu'"
b'943797647525134336',12/21/2017,b'RT @monaco_card: We are happy to announce that $MCO will be listed on @hitbtc - #9 cryptocurrency market in the world - daily trading volum\xe2\x80\xa6'
b'943368341078523904',12/20/2017,b'RT @monaco_card: Calling all #travelers! Monaco has added LoungeKey\xe2\x84\xa2 (https://t.co/Swme6imuB5) airport lounge access to Monaco Visa Platinu\xe2\x80\xa6'
b'943053648564666368',12/19/2017,b'RT @coin_post: \xe3\x80\x90\xe5\xbe\x8c\xe7\xb7\xa8\xe3\x80\x91MONACO\xe7\xa4\xbeCEO\xe3\x81\x8c\xe8\xaa\x9e\xe3\x82\x8b\xe4\xbb\xae\xe6\x83\xb3\xe9\x80\x9a\xe8\xb2\xa8\xe3\x82\x84\xe3\x83\x96\xe3\x83\xad\xe3\x83\x83\xe3\x82\xaf\xe3\x83\x81\xe3\x82\xa7\xe3\x83\xbc\xe3\x83\xb3\xe3\x81\xae\xe6\x9c\xaa\xe6\x9d\xa5\xe3\x81\xa8\xe3\x81\xaf\nThank you for @Kris_HK &amp; @internetgene \n\n\xe4\xbb\x8a\xe5\xba\xa6\xe4\xbd\x95\xe5\xba\xa6\xe3\x81\x8b\xe4\xbb\xae\xe6\x83\xb3\xe9\x80\x9a\xe8\xb2\xa8\xe3\x81\xae\xe7\x9b\xb8\xe5\xa0\xb4\xe3\x81\xaf\xe4\xb9\xb1\xe3\x82\x8c\xe3\x82\x8b\xe3\x81\x93\xe3\x81\xa8\xe3\x81\x8c\xe4\xba\x88\xe6\x83\xb3\xe3\x81\x95\xe3\x82\x8c\xe3\x82\x8b\xe3\x81\x8c\xe3\x80\x81\xe4\xbb\xae\xe6\x83\xb3\xe9\x80\x9a\xe8\xb2\xa8\xe3\x81\xaf\xe4\xb8\x96\xe7\x95\x8c\xe7\x9a\x84\xe3\x81\xaa\xe3\x83\xa0\xe3\x83\xbc\xe3\x83\x96\xe3\x83\xa1\xe3\x83\xb3\xe3\x83\x88\xe3\x81\xae\xe5\xba\x8f\xe7\xab\xa0\xe3\x81\xab\xe9\x81\x8e\xe3\x81\x8e\xe2\x80\xa6'
b'943030859694669824',12/19/2017,"b""Welcome to the team Sean, Erald, Ken &amp; Weiyi - we're really fortunate to have you join us on this amazing journey t\xe2\x80\xa6 https://t.co/mSt0UhACWP"""
b'942943628451766274',12/19/2017,"b'RT @monaco_card: For the first time, the $MCO 30-day trading volume has exceeded $1 billion! https://t.co/hP8P7NEWey #cryptocurrency https:\xe2\x80\xa6'"
b'941307727912976384',12/14/2017,"b'Monaco is not planning on slowing down... Next week, we have THREE announcements coming out. New exchanges, product\xe2\x80\xa6 https://t.co/MGuyxkga5x'"
b'939367074073210880',12/09/2017,"b'@elonmusk Skynet is already here, I think you need to speed up with this Mars thing. https://t.co/QyATlH4cX1'"
b'938997102784344064',12/08/2017,b'RT @monaco_card: Nice feature of #MonacoVisa by ZDNet Korea from their interview with @internetgene! It highlighted that Monaco offers mult\xe2\x80\xa6'
b'938046770004639745',12/05/2017,b'We\xe2\x80\x99re happy to announce that NEXT WEEK $MCO token will be listed on several Korean and Japanese exchanges. One-two punch! @monaco_card'
b'937864083428204544',12/05/2017,"b'RT @monaco_card: UPbit Korea, one of fastest growing exchanges globally, lists Monaco\xe2\x80\x99s $MCO token (https://t.co/h36dDKaxcU) Note: For this\xe2\x80\xa6'"
