id,created_at,text
b'1042043211240226816',09/18/2018,b'I am very excited to join Crown Agents Bank as non-executive director #fintech #paytech #fx #NED\xe2\x80\xa6 https://t.co/vNbqqq9hmX'
b'1042036927644491777',09/18/2018,b'RT @FTC_Institute: Africa\xe2\x80\x99s Jumo raises $52M led by Goldman to bring its fintech services to Asia https://t.co/rnrGOi47wY #fintech #africa\xe2\x80\xa6'
b'1042036838272262144',09/18/2018,b'RT @FINTECHCircle: Abu Dhabi courts #fintech firms and investors to grow digital economy \xc2\xa0 https://t.co/iQ1hbkvkYy via @TheNationalUAE #fin\xe2\x80\xa6'
b'1042036780202119169',09/18/2018,b'RT @FINTECHCircle: Five Really Interesting Innovations And Products In Global FinTech https://t.co/R15fDz2ne8 \n\nCC @yvonmoysan @BouChalmers\xe2\x80\xa6'
b'1042036311211864065',09/18/2018,b'RT @RyanHanley_Com: Early Adopters are Easy: But Will InsurTech Ever Reach the Mainstream Market? \n\nhttps://t.co/gpO6rY6wW9 &lt;-- Who is doin\xe2\x80\xa6'
b'1041670438198370310',09/17/2018,"b'RT @ProfFeynman: FEYNMAN learning strategy in THREE points:\ni) Continually ask ""Why?""\nii) When you learn something, learn it to where you c\xe2\x80\xa6'"
b'1041669812450193408',09/17/2018,b'RT @AdamMGrant: Takers envy the success of others. Givers enjoy the success of others.\n\nTakers claim credit and avoid blame. Givers share c\xe2\x80\xa6'
b'1041669223586689024',09/17/2018,b'RT @SP_Townsend: @SoftBank Vision Fund gives teaser on forthcoming Middle East strategy at #FintechAD following launch of regional offices\xe2\x80\xa6'
b'1041667769354399745',09/17/2018,b'RT @FTC_Institute: \xe2\x81\xa6@nikhilkumarks\xe2\x81\xa9 shows impressive growth of \xe2\x81\xa6@UIDAI\xe2\x81\xa9 on \xe2\x81\xa6@India_Stack\xe2\x81\xa9 =&gt; huge decrease of online onboarding process #eK\xe2\x80\xa6'
b'1041667201701502976',09/17/2018,"b'RT @FGraillot: In a World of\xc2\xa0#data, being able to gather a tech ecosystem around you is a key success factor for corporates.\xc2\xa0#IoT\xc2\xa0#InsurTec\xe2\x80\xa6'"
b'1041666872951885829',09/17/2018,b'RT @FINTECHCircle: Growth and innovation in African retail banking  https://t.co/y8ru2R9m4q Image and report @McKinsey #fintech #paytech #w\xe2\x80\xa6'
b'1041666779649585152',09/17/2018,b'RT @FTC_Institute: How a VC views the bank-fintech battle (hint: banks are losing) https://t.co/S1U3xk2ve4 #fintech #banks #banking #innova\xe2\x80\xa6'
b'1041666683184799744',09/17/2018,"b'RT @FINTECHCircle: Citi finds that if you can\xe2\x80\x99t beat them, join them. Or maybe invest in them https://t.co/rP9fTg1Cxa #Citi #Banking #Wealt\xe2\x80\xa6'"
b'1041315601141182464',09/16/2018,b'Well done to Mirhan Mandour \xe2\x81\xa6@digiteamapp\xe2\x81\xa9 - gamification drives engagement helping sales #SalesArm - presenting at\xe2\x80\xa6 https://t.co/i3KW6UFyXc'
b'1041311372225785857',09/16/2018,b'RT @FinTechAD: Great to have @SusanneChishti talk about #FinTech investing at our #FinTechAD Masterclass during BootCamp day. https://t.co/\xe2\x80\xa6'
b'1041284823959130113',09/16/2018,b'Well done to UPI doing more transactions than debit or credit cards in India - every large player is building on UP\xe2\x80\xa6 https://t.co/WmCgqwvJby'
b'1041278904244289536',09/16/2018,b'347 million smartphones in Indian Market - top  entertainment channels on youtube are in #India - solutions for the\xe2\x80\xa6 https://t.co/N3rS42yben'
b'1041268071309164545',09/16/2018,b'#RegLab #Sandbox Demo by multi-sided lending platform \xe2\x81\xa6@rubiquetech\xe2\x81\xa9 from India #fintechAD https://t.co/zqzOfc4STG'
b'1041267345002561538',09/16/2018,"b'RT @FinTechAD: Catch @SusanneChishti, CEO &amp; Founder of FinTech Circle in her Masterclass session about \xe2\x80\x98FinTech Investing\xe2\x80\x99 later today at #\xe2\x80\xa6'"
b'1041264208804020224',09/16/2018,b'New Security Token Platform announced #fintechAD #cryptoassets #fintech #blockchain https://t.co/KRkDQl971e'
b'1041263693428924416',09/16/2018,b'Excited to be at the FINTECH Abu Dhabi Conference to speak about #fintech #wealthtech #insurtech #regtech investing\xe2\x80\xa6 https://t.co/iQZiVBCfxb'
b'1041240546054950912',09/16/2018,b'RT @SabineVdL: How technology companies alienate women during recruitment. @QuartzAtWork \n#diversity #womenintech\nhttps://t.co/ojY1026WsX\n@\xe2\x80\xa6'
