id,created_at,text
b'1042082916522713089',09/18/2018,b'@Wrexler_518 @SirGrantFleming @CoinistBot i imagine the trigger was right on the line - looks to be running fine on my end'
b'1042067186498654208',09/18/2018,"b""@BTCBanzai @rjmcoin 10% pop in the morning isn't bad. I expect it to run further"""
b'1042066008108875776',09/18/2018,"b""@rjmcoin it's got nothing to do with news or traction"""
b'1042063846993788928',09/18/2018,"b""$ADA attacking local high now, this position looks like it's ready to have some follow through. https://t.co/6K0ZnG7Qnq"""
b'1042047104817016834',09/18/2018,"b'When you buy Bitcoin, are you manipulating the price?'"
b'1042040537954574337',09/18/2018,b'$BTC feeling extra bouncy today right off that mid-range support level. \n\nAll you need are some simple high timefra\xe2\x80\xa6 https://t.co/N38vrl0mS9'
b'1042034309421576192',09/18/2018,b'@TrustNodes 560k quanto contracts. it would be closer to 3500 $ETH'
b'1042032330792157184',09/18/2018,b'@4aFewSatsMore going to 6.9 no doubt...definitely breaking yearly lows...definitely bouncing here reversal...'
b'1042030174487932928',09/18/2018,"b""@SirGrantFleming it's ironic"""
b'1042027820543868928',09/18/2018,b'@Crypto_Macro send it'
b'1042017597242388480',09/18/2018,b'@bit_cosby yes it runs on it\xe2\x80\x99s own. I just tally up the results every week'
b'1042015895214800896',09/18/2018,b'The reason I\xe2\x80\x99m holding off has more to do with macro than anything $EOS or TA specific. \n\nAs Bitcoin is holding mid\xe2\x80\xa6 https://t.co/CUYlQB5jha'
b'1042003892639342593',09/18/2018,"b""Thinking about an $EOS play...not pulling the trigger yet but this is what I'm seeing \xf0\x9f\xa4\x94 https://t.co/eDRYF9wvnI"""
b'1041996898188619776',09/18/2018,"b""@radeUNO not taking a trade on it right now. I'm liking the opportunity of the alt flips instead...\n\nmoving slow an\xe2\x80\xa6 https://t.co/aN81ZcFxY8"""
b'1041995983066996736',09/18/2018,b'@CryptoHuracan move slow \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb'
b'1041995900569223170',09/18/2018,b'@EricssonKrille I intentionally avoid sharing a call that would pump a market...and as you can see with the above i\xe2\x80\xa6 https://t.co/egIrecbiPw'
b'1041995617785012224',09/18/2018,"b""$BTC able to hold this 6215/6250 level overnight - it's keeping the majors from dumping below their previous swing lows..."""
b'1041995192218406912',09/18/2018,"b""@EricssonKrille it's down 2% since the hint. that's gotta be the strangest pump i've ever seen"""
b'1041991361761828864',09/18/2018,b'5/ $CMT update from setup in #2. \n\nThere is another coin on Binance that has an almost identical setup and is ready\xe2\x80\xa6 https://t.co/qFhDubNke3'
b'1041774279396864001',09/17/2018,b'$BTC drop caught right at mid-range support. Sitting still for now. https://t.co/Nygqt6s0OH'
b'1041754108087156741',09/17/2018,"b""@CryptoKaraoke @realDonaldTrump run with them once and you'll never be able to run with a cord again."""
b'1041752826148470784',09/17/2018,"b'Yet another catalyst that is bullish for Pods, first target hit bypassing tariffs. Thank you for helping out\xe2\x80\xa6 https://t.co/aaQvGvL7Bv'"
b'1041750491292725248',09/17/2018,b'@loomdart do you accept $NAV as payment?'
b'1041749307697848320',09/17/2018,"b'@CryptoMoonRock @CoinistBot Checkout the @CoinistBot pinned tweet, it should explain everything. Also all the posit\xe2\x80\xa6 https://t.co/R43L989vFU'"
b'1041747763057373184',09/17/2018,"b""@HODL0x @cryptomanran @SIRINLABS @skuby_x no. but I've been on there a few times"""
b'1041741777412214784',09/17/2018,"b""@cryptomanran @SIRINLABS @ReptarLives \xf0\x9f\x98\x82 alright I'll go with @Glock_Chain"""
b'1041741102259347461',09/17/2018,b'@cryptomanran @SIRINLABS @ReptarLives get yourself a sirin phone'
b'1041740920100728833',09/17/2018,b'@cryptomanran @SIRINLABS @skuby_x got it'
b'1041740717381570560',09/17/2018,"b""@cryptomanran @SIRINLABS @skuby_x hell ya! thank you Skuby...good looking out. \n\nI'll dm you ran"""
b'1041737858137108482',09/17/2018,b'@Glock_Chain change now bb'
b'1041737726280839175',09/17/2018,"b""@Scott87515778 I would group $OMG into large caps, probably doesn't fit this pattern either. \n\nNot saying it couldn\xe2\x80\xa6 https://t.co/Z9hSsNsY9i"""
b'1041737279285411840',09/17/2018,b'@DinoFragrance that they do'
b'1041736997583417344',09/17/2018,"b""@CryptoWonka but it was the road to 'lambo' node"""
b'1041736813201772546',09/17/2018,"b'4/ All the coins mentioned above have already moved - if the strategy/pattern recognition makes sense, find the nex\xe2\x80\xa6 https://t.co/EmBQCpJKXH'"
b'1041736810517483521',09/17/2018,"b""3/ It's a measly 10-15% jump for $CMT so far but there are a handful of Binance tokens that are jumping 30-40% in t\xe2\x80\xa6 https://t.co/0AQkrbOcWy"""
b'1041736807786921984',09/17/2018,"b'2/ Since alts generally move together, or groups of them (same exchange, low caps, erc-20s)...when 1 moves it signa\xe2\x80\xa6 https://t.co/W8ht83VNEZ'"
b'1041732322163404800',09/17/2018,b'right on cue - the Binance 20% poppers start popping https://t.co/lNHU4VhGI1'
b'1041728844229697538',09/17/2018,b'@CryptoHal @CoinistBot i like that hal'
b'1041727424248066048',09/17/2018,b'Eager to see whether @CoinistBot will be able to keep swinging $BTC successfully or take its first loss on the stra\xe2\x80\xa6 https://t.co/GhkRl22MQt'
