id,created_at,text
b'1040753126473523205',09/15/2018,"b""RT @lightning: We've released lnd 0.5 beta, a major milestone!\n\n\xe2\x9a\xa1\xef\xb8\x8fNeutrino light client support to enable lightweight end-user apps \xf0\x9f\x93\xb1\n\xe2\x9a\xa1\xef\xb8\x8fSaf\xe2\x80\xa6"""
b'1040343629921808384',09/13/2018,b'RT @coindesk: JUST IN: Crypto security startup BitGo has received approval in the U.S. to act as a qualified custodian for digital assets.\xe2\x80\xa6'
b'1040343371099697153',09/13/2018,b'@AC_breezy \xf0\x9f\x91\x8c'
b'1040341647945490432',09/13/2018,"b'@AC_breezy Um.. thanks? Not sure if that is compliment or a dig. Teddy was pretty cool, right?'"
b'1040080178196570113',09/13/2018,b'Brilliant. https://t.co/wjxgj98vs9'
b'1040012292312592385',09/12/2018,"b""Narrator: It isn't. https://t.co/tz2kJ3tmpE"""
b'1039956197716111360',09/12/2018,b'@spencernoon Noted.'
b'1039704479258431489',09/12/2018,b'@jimmysong @rogerkver Right way is for each party to put 100 BTC and 100 BCH in escrow. Winner takes the whole pot.'
b'1039401430916857858',09/11/2018,"b'@jratcliff @andrew_i_am If a whale were trying to exit, there are far less disruptive ways to do so than to slam th\xe2\x80\xa6 https://t.co/Qzp1o8oBi7'"
b'1037780428914978816',09/06/2018,b'Will Lightning help hasten the Bitcoin singularity? https://t.co/T1LPegnpn7'
b'1037154400072953856',09/05/2018,b'Win/win/win. Biggest winner being the Lightning ecosystem. https://t.co/5mI9PqV18M'
b'1036659961508507648',09/03/2018,"b'RT @amir: F/ Silicon Valley has inexplicably moved to Marin County (for the record, it has not) https://t.co/T3amZrwBm4'"
b'1036060184823484416',09/02/2018,b'@MebFaber Potatoes are better cryptocurrencies than most cryptocurrencies. But who cares? Ignore the long tail of s\xe2\x80\xa6 https://t.co/WGHW7Ilr5F'
b'1035669557338230784',08/31/2018,b'@jonathanmarcus Every coin is considered a shitcoin by someone! \xf0\x9f\x98\x80'
b'1035647235717914624',08/31/2018,b'@TuurDemeester Ties the whole thing together! \xf0\x9f\x98\x80'
b'1035630742267674624',08/31/2018,b'I just published \xe2\x80\x9cThe 10 Shitcoin Commandments\xe2\x80\x9d https://t.co/dHippVe3Nt'
b'1035553933513568258',08/31/2018,b'\xe2\x80\x9cBetter to remain unlaunched and be thought a shitcoin than to launch and remove all doubt.\xe2\x80\x9d'
b'1035538085994319879',08/31/2018,b'@BMBernstein So... financial primitives betting on financial primitives? \xf0\x9f\x98\x80'
b'1035031633387110401',08/30/2018,b'@dksf Free Publicitweet'
b'1035026759232569344',08/30/2018,b'@sgoldfed @random_walker @PrincetonCITP @cornell_tech @initc3org Congrats! https://t.co/g29SEiWcJy'
b'1034510271618772992',08/28/2018,"b'RT @danheld: The 10,000 year view of cryptocurrency @woonomic https://t.co/5J0o5joYD7'"
b'1034328442647396352',08/28/2018,b'@francispouliot_ You didn\xe2\x80\x99t call out the best part: Crowing about users being up 1000%.... to 563.'
b'1034204310849040384',08/27/2018,b'@twobitidiot @Melt_Dem Thanks! Giving this a try. Been using Google\xe2\x80\x99s Inbox but it feels too unpredictable/magical.\xe2\x80\xa6 https://t.co/LR6EobyOgC'
b'1033925998264217600',08/27/2018,b'@real_vijay But death by fork is so much more amusing.'
b'1033921288245399554',08/27/2018,"b'Live by the fork, die by the fork. https://t.co/PLIPeNTTSb'"
b'1033381099081162753',08/25/2018,b'RT @imjmiles: Even WSJ is throwing shade on bcash now \xf0\x9f\x98\xac https://t.co/NY3s5QLpdA'
b'1033069833124864000',08/24/2018,b'RT @danheld: 1/ A complete debunking of top Lightning FUD claims:'
b'1032771357073797120',08/23/2018,b'@VinnyLingham So shocking that many of those whose judgment was bad enough to do an illegal security offering are a\xe2\x80\xa6 https://t.co/Rv34GkLa7q'
b'1032768585733525505',08/23/2018,b'@TheStalwart Because Pablo Escobar was burying base currency in the ground as fast as the Fed was printing it. \xf0\x9f\x98\x9c'
b'1032393994011959296',08/22/2018,b'@joey71074 @shannon_mv @andrew_bergamo @Xotic47 @theinsulinking @Fishy_jose @AngelicGirlxD That\xe2\x80\x99s because it\xe2\x80\x99s a ri\xe2\x80\xa6 https://t.co/c4dkKmW9Yv'
b'1032384594819960832',08/22/2018,"b'RT @alexanderliegl: ""The natural consequence of the premises above is that every token competes in one massive power law distribution for t\xe2\x80\xa6'"
b'1031720673952104449',08/21/2018,"b""RT @real_vijay: 1/ Bloomberg published a piece today uncovering the fact that BCash has very little merchant adoption, despite @rogerkver's\xe2\x80\xa6"""
b'1030612950795472896',08/18/2018,b'@NickSzabo4 Exactly. Time to kill the notion of the \xe2\x80\x9cBitcoin community.\xe2\x80\x9d  2 billion people on the Internet \xe2\x80\x94 is the\xe2\x80\xa6 https://t.co/cc6FXIu7rB'
b'1030262411960315904',08/17/2018,"b'RT @ChetanChawla: Goldbugs don\xe2\x80\x99t \xe2\x80\x9cfetishize\xe2\x80\x9d armageddon, they have family history of surviving it\n\nMy paternal grandmother\xe2\x80\x99 gold dowry allo\xe2\x80\xa6'"
b'1030125659828310017',08/16/2018,"b'@bensprecher By the time this becomes a problem, I think it\xe2\x80\x99d be far more likely that Mars would use a local sidech\xe2\x80\xa6 https://t.co/guW0YC6JGT'"
b'1030124476808101888',08/16/2018,"b'@bensprecher Light-distance from earth to Mars ranges from 4 to 24 minutes. With full blocks, avg tx probably takes\xe2\x80\xa6 https://t.co/93LUEgJch2'"
b'1029884232410128385',08/16/2018,b'RT @antoniogm: My latest on the 3D printed gun controversy and @DefDist for @WIRED.\n\nShort version: US gun regulation is going to be made o\xe2\x80\xa6'
b'1029228583967850496',08/14/2018,"b""RT @arbedout: Here's a freebie from the dotcom days: capitulation isn't a 10% down day, it's when you have to switch careers because everyo\xe2\x80\xa6"""
b'1028328106447097857',08/11/2018,b'RT @bitrefill: I just published \xe2\x80\x9cWould you like a Lightning channel with that?\xe2\x80\x9d https://t.co/HOXSOkILgz'
b'1027547555419176962',08/09/2018,b'@BrianTHeligman @YangVentures Probably the lowest effort web site in the Fortune 500 while simultaneously containin\xe2\x80\xa6 https://t.co/0QD8P76yIB'
b'1027275956518453248',08/08/2018,"b'@dksf Bloomberg might have, not sure.'"
b'1027271314736697345',08/08/2018,b'@dksf Your broker usually facilitates this. Here\xe2\x80\x99s an overview https://t.co/BBJOrfTUNB'
b'1027267877324222464',08/08/2018,"b'@dksf Yes, you can lend out shares on term loans for shorting.'"
b'1026525621285879808',08/06/2018,"b'@lopp She\xe2\x80\x99s safe in a box. For first time crypto bear experiencer, the Di Caprio scene is more relevant.'"
b'1026137613722218496',08/05/2018,b'@nic__carter Yes. Bad idea to go cold turkey. Best to wean by maybe half a cup a day by switching to decaf.'
b'1025941177512546304',08/05/2018,b'So close to being a bitcoin maximalist. And yet so far. https://t.co/2RvqXBenXJ'
b'1025928145596121088',08/05/2018,b'RT @alexanderliegl: If you think Bitcoin will be as big as gold you probably thought Amazon will be as big as Barnes &amp; Noble.'
b'1025480357133475840',08/03/2018,b'@ummjackson @themikenova NYSE was never the problem. The Fed is the problem.'
b'1025391236054577158',08/03/2018,b'@BitmainCash @jratcliff More like: https://t.co/1T6FKnedVf'
b'1024683175778246656',08/01/2018,b'@nlw @_jillruth @lessin @eladgil Where\xe2\x80\x99d you get that onesie?'
b'1024359882508517376',07/31/2018,"b'RT @jerrybrito: Since some folks were saying crypto couldn\xe2\x80\x99t do anything \xe2\x80\x98sovereign currency\xe2\x80\x99 couldn\xe2\x80\x99t do, we made a list with the help of\xe2\x80\xa6'"
b'1022471984259551233',07/26/2018,b'@mdudas Even I think this is too simplified a dismissal. No one is holding ETH today in order to pay gas fees. Fees\xe2\x80\xa6 https://t.co/o16OtBfurI'
b'1022469916279025664',07/26/2018,"b'@QWQiao @MustStopMurad @jkubes652 @garrytan Today, yes. Not once a clear winner is crowned.'"
b'1022469468792836096',07/26/2018,b'@mdudas @AureliusBTC @garrytan @QWQiao @BMBernstein @tomgarrambone It would be likely be valuable as the native mon\xe2\x80\xa6 https://t.co/E5PUjGXUnq'
