id,created_at,text
b'1037731187039514624',09/06/2018,b'I\xe2\x80\x99m incredibly proud of the team here @Ripple - we\xe2\x80\x99re lucky to have the best and brightest working tirelessly to ma\xe2\x80\xa6 https://t.co/DGNwBUnBTQ'
b'1037411959350558720',09/05/2018,"b'A well-deserved spotlight on our very own @JoelKatz - he is one of the most brilliant people I\xe2\x80\x99ve ever met. I mean,\xe2\x80\xa6 https://t.co/ltfpJE3RaM'"
b'1034921988207259648',08/29/2018,b'This reminds me of enterprise cloud adoption a decade ago. #Blockchain\xe2\x80\x99s widespread adoption hinges on commercial o\xe2\x80\xa6 https://t.co/y3MFYnb7Y6'
b'1032318590458818560',08/22/2018,b'.@joelkatz speaks the TRUTH on XRP Ledger! Brilliantly designed to be inherently decentralized. More on this during\xe2\x80\xa6 https://t.co/drJBQc7pw8'
b'1024352639922843648',07/31/2018,b'President Clinton\xe2\x80\x99s administration was at the epicenter of policy and innovation in the earliest days of the Intern\xe2\x80\xa6 https://t.co/wvz84H1cJE'
b'1017167020280823810',07/11/2018,b'No surprise that most ICOs fail. Half-baked ideas (manifested solely as a white-paper) or outright scams are doomed\xe2\x80\xa6 https://t.co/Qg5a1au7R9'
b'1017047230048493571',07/11/2018,b'David and Kahina both have proven track records of success that will be instrumental in forging @Ripple\xe2\x80\x99s path ahea\xe2\x80\xa6 https://t.co/0c3rx4BM2R'
b'1004453779792515072',06/06/2018,b'RT @justmoon: Codius is back! Read the announcement: https://t.co/g0GJX0Gik6'
b'1004451192154439680',06/06/2018,b'Swift GPI is like putting a Ferrari shell on a Model-T engine. It\xe2\x80\x99s a cosmetic upgrade on old infrastructure: messa\xe2\x80\xa6 https://t.co/gfMosXkjUN'
b'1003571443999764480',06/04/2018,"b'RT @Ripple: Change of plans: #Ripple CEO @bgarlinghouse takes the Ringside stage at 1:05pm CEST to talk #blockchain, digital assets and rei\xe2\x80\xa6'"
b'1001963456600436736',05/30/2018,"b'Enjoyed sharing the stage with @katie_haun, Bridget van Kralingen and @pkafka at #CodeCon. https://t.co/Gl4z2kjzXk'"
b'1000132255862349824',05/25/2018,b'.@eringriffith is right: #blockchain isn\xe2\x80\x99t a magic remedy for all businesses. To be more than a buzzword requires s\xe2\x80\xa6 https://t.co/GDrmTd96Ws'
b'997188652156375040',05/17/2018,b'At least 271 real ICO scams uncovered by @WSJ - kudos to @SEC_News for working to get ahead of this with\xe2\x80\xa6 https://t.co/mrpraOeuBW'
b'996487821157335040',05/15/2018,"b'.@Ripple has been on the frontlines of deploying #blockchain to solve real customer problems.  Not hype, just resul\xe2\x80\xa6 https://t.co/yYq0X99rfd'"
b'996024436968120321',05/14/2018,"b'RT @Ripple: Excited to announce Xpring, a new initiative that supports businesses growing on the XRP Ledger, and initial investments in @SB\xe2\x80\xa6'"
b'996013781149999106',05/14/2018,"b""RT @justmoon: Excited to launch @Coil_, a new startup building #micropayment applications on #XRP and @Interledger. We're creating a new bu\xe2\x80\xa6"""
b'994571445857542144',05/10/2018,"b""@twobitidiot Ryan, you demonstrate in this comment how little you understand about xRapid and Ripple's products.  I\xe2\x80\xa6 https://t.co/gMY3k2u8xN"""
b'994566225345724416',05/10/2018,b'Real customers with real use cases: #xRapid pilots prove financial institutions can settle in minutes with up to 70\xe2\x80\xa6 https://t.co/m1RyZQOvz1'
b'992056036998762496',05/03/2018,"b'RT @danprimack: SEC commissioner won\'t declare all tokens are ""securities"" https://t.co/YK233bLxaz'"
b'989609557302247424',04/26/2018,"b""RT @VitalikButerin: I am boycotting @coindesk's Consensus 2018 conference this year, and strongly encourage others to do the same. Here is\xe2\x80\xa6"""
b'989562052283781121',04/26/2018,b'RT @ashgoblue: Proud to announce 5 new #xVia customers. Learn why unifying the increasingly fragmented payment landscape with xVia\xe2\x80\x99s standa\xe2\x80\xa6'
b'984539182079983616',04/12/2018,b'Proud to support @bancosantander\xe2\x80\x99s cross-border payments with @Ripple\xe2\x80\x99s #xCurrent solution https://t.co/srOXwqsHNy'
b'978985138246873089',03/28/2018,b'RT @MonicaLongSF: We\xe2\x80\x99re really excited to support @DonorsChoose! Join me today at 10:30am ET on Facebook Live with @charlesbest. #BestSchoo\xe2\x80\xa6'
b'978984954184044544',03/28/2018,b'Too many great teachers to thank in one tweet. Very grateful for team @Ripple paying it forward and a massive thank\xe2\x80\xa6 https://t.co/uIkjWQm3Ic'
b'975820939551129600',03/19/2018,"b'RT @RyanZagone: My big takeaway from FSB: \n1. the focus is on consumer and market risk (I expect these to the focus of G20 talks), not fina\xe2\x80\xa6'"
b'975820877487984640',03/19/2018,"b'The market may have been a bit slow, but it\xe2\x80\x99s catching up to this prediction\xe2\x80\xa6 @binarybits writes more in-depth on e\xe2\x80\xa6 https://t.co/O3fDwfU9u1'"
b'974822826413830144',03/17/2018,"b'Thanks #M2020Asia for hosting team Ripple this week. From Seoul to Singapore and across the globe, interest in the\xe2\x80\xa6 https://t.co/v46sDqvDWP'"
b'971908277268185091',03/09/2018,"b'Cory has seen it all \xe2\x80\x93 from the dot-com bubble through the crypto wild west, no one is more qualified to analyze th\xe2\x80\xa6 https://t.co/VhdqQGNn9T'"
b'971815090109337602',03/08/2018,"b'In context of yesterday\'s SEC statement(s), I hear some in crypto talk about the current \xe2\x80\x9cregulatory uncertainty.""\xe2\x80\xa6 https://t.co/upaBxUj7GX'"
b'971552789229797376',03/08/2018,b'My POV on the SEC statement today - the market is having an outsized reaction. Exchanges ultimately have three opti\xe2\x80\xa6 https://t.co/mA0I1W7m3c'
b'971223913333059584',03/07/2018,"b'Transactions in a matter of seconds, in the palm of your hand \xe2\x80\x93 we\xe2\x80\x99re excited about the launch of #MoneyTap. https://t.co/9rQwGS3R8r'"
b'966422027878875136',02/21/2018,b'RT @Ripple: Five new financial institutions have joined RippleNet and will use xCurrent or xVia to strengthen emerging markets access into\xe2\x80\xa6'
b'964097272676990976',02/15/2018,"b'The revolution of #blockchain is not going to happen outside of the financial system, it will happen from within. O\xe2\x80\xa6 https://t.co/CMOE4udd3c'"
b'962103829410951168',02/09/2018,"b""RT @RMac18: Are you seeing Elon Musk, Donald Trump, and Jeff Bezos asking you to send them bitcoin? It's a scam. And one that's backed by t\xe2\x80\xa6"""
b'962029007708438532',02/09/2018,b'Good explainer from @NewYorkFed highlights common problems with crypto for payments - one of the reasons $XRP stand\xe2\x80\xa6 https://t.co/mQp53sysUQ'
b'961735920134316032',02/08/2018,"b'RT @RyanZagone: .@ripple viewpoint: Consumer protection is needed, but banning underlying tech destroys all potential for future innovation\xe2\x80\xa6'"
b'961250935115743232',02/07/2018,b'We just opened the door to the largest e-commerce market in the world for our #RippleNet partners with LianLian. https://t.co/R3HyqxhF9U'
b'959485434807033857',02/02/2018,"b'After a successful pilot, @santanderuk is rolling out its @Ripple-powered mobile app to customers this quarter, let\xe2\x80\xa6 https://t.co/bxpjsDHBkG'"
b'958380359971782657',01/30/2018,b'Pleased to announce that SBI Virtual Currencies will be the first in the world to list $XRP as its primary fiat pai\xe2\x80\xa6 https://t.co/cJ8ofnIZIF'
b'958063773985599488',01/29/2018,b'Curious how xRapid alleviates the pain of cross-border payments? \n\n\xe2\x80\x9cRather than MoneyGram putting millions in cash\xe2\x80\xa6 https://t.co/AxyiYZT7mz'
b'958007513688846341',01/29/2018,"b""The NY Times piece in yesterday's paper on impersonators has (frustratingly) become very relevant to me \xe2\x80\x93 thanks\xe2\x80\xa6 https://t.co/ZMIH5TkA8e"""
b'956187400522252288',01/24/2018,b'More evidence Bitcoin isn\xe2\x80\x99t the golden ticket to solve the payments problem. https://t.co/dImMlxnuWq'
b'956185557503164416',01/24/2018,"b'RT @patgriffin9: Pleased to share the 2017 Q4 $XRP markets report. What an exciting quarter it was, not to mention the strongest one yet fo\xe2\x80\xa6'"
