id,created_at,text
b'1038047738921930752',09/07/2018,"b'RT @maxkeiser: As I predicted, publicly, several times this would happen. Now what? Fun time over. Time to get serious and start using #Bit\xe2\x80\xa6'"
b'1037420747046576128',09/05/2018,b'@twcat2010 Agreed.'
b'1037420603685318656',09/05/2018,"b""@KennethBosak @Vegas @getmorecoin @CryptoWendyO @WorldCryptoCon @AriaLV @VinnyLingham @SatoshiLite @Free_Ross @TimDraper I'll be there."""
b'1037420582357192704',09/05/2018,"b""RT @KennethBosak: Who's coming to my 30th birthday party in @Vegas sponsored by @getmorecoin hosted by @CryptoWendyO\nIt's during @WorldCryp\xe2\x80\xa6"""
b'1037419565666336768',09/05/2018,b'RT @finchify: @LincolnMethod @CypherglassBP @eosforumorg @go_eos @eosnewyork @eosdublin @eosdac @bitfinex @bytemaster7 @brockpierce @sheos_\xe2\x80\xa6'
b'1037419050651901953',09/05/2018,b'RT @CrowdConscious: For those of you supporting @EOS_io - @ChrisConeyInt put together a great video to help expedite adoption!\n\n@eosforumor\xe2\x80\xa6'
b'1037419029269344256',09/05/2018,b'RT @ChrisConeyInt: https://t.co/wkcLbrTtEf From #Zero To Using #EOS On #Mobile In 2 Minutes (EOS #Lynx App) https://t.co/ZVuY2AQEIc'
b'1037418938571735042',09/05/2018,b'From Zero To Using EOS On Mobile In 2 Minutes (EOS Lynx App) https://t.co/WExUD8puPU via @YouTube'
b'1037418270222049280',09/05/2018,b'Look forward to seeing everyone on the Blockchain Cruise in a few days. https://t.co/MoPaVkz5VB'
b'1037191960115720193',09/05/2018,"b'Bitcoin Foundation Gets $200,000 In Donations For Crypto Education Awareness https://t.co/XUlvpqjlG3 via @bitcoinsguide'"
b'1037082128180109312',09/04/2018,b'Glad to see more of my friends helping make the world a better place. Go @ZTB https://t.co/ewmNfVAd5U'
b'1036990698891796481',09/04/2018,b'RT @TruthRaiderHQ: #FF The influencer list is growing. \n\nNewest members:\n@CharlesNader @brockpierce @womn\n@TrON_of_Empathy @womenofcrypto @\xe2\x80\xa6'
b'1034823406733025280',08/29/2018,b'@menapayio Thank you for the lovely trip while in Istanbul.  \xf0\x9f\xa6\x84\xf0\x9f\x8e\xa9\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc'
b'1034823191959498752',08/29/2018,"b'RT @menapayio: Find out about our event in #Malta, the #blockchain hub of Europe and our future plans with this amazing island for the dece\xe2\x80\xa6'"
b'1034664512761163776',08/29/2018,b'@yourshaman Security tokens.'
b'1034663637124698112',08/29/2018,b'@RobertSutclif12 @FunFairTech I believe in the founder so yes.'
b'1034569029464125441',08/28/2018,b'RT @EOSphilosophy: The world a better place #Decentralization #blockchain #cryptocurrency #eosio #smartcontracts #eostogether #NewAge @go_e\xe2\x80\xa6'
b'1034568713758892032',08/28/2018,b'@AnthonyNagatani @crystalrose has a better sense of what\xe2\x80\x99s available in LA.'
b'1034567158385139712',08/28/2018,b'RT @ToneVays: Only a few days left to join an EPIC #blockchain Cruise by @CoinsBank where the battles between #Bitcoin Maximalists &amp; #Altco\xe2\x80\xa6'
b'1033879848081485824',08/27/2018,b'RT @APompliano: Bittrex is adding tokenized securities.\n\nReal assets for the digital age are coming. This is just the beginning.'
b'1033084649633808385',08/24/2018,b'@Capitalcrypto1 @uytcow @desantis Oops. Back to the future now.'
b'1033084563919069184',08/24/2018,b'@AzureWindowCap I made it. Just a two days late.'
b'1033084120253878272',08/24/2018,b'@AzureWindowCap @MarcASullivan I was just in Malta.'
b'1033083416084799488',08/24/2018,b'@ahcastor @prestonjbyrne Is that what Burning Man is? If you haven\xe2\x80\x99t been how would you know?'
b'1033083271834304512',08/24/2018,b'@prestonjbyrne @ahcastor Most introverts I know love Burning Man.'
b'1033072083683565568',08/24/2018,b'@Patient05222069 Join th telegram groups. @RestartWeek @edublock_io @adamkrim'
b'1033071806591033344',08/24/2018,b'@InsanityPlague Join us for the next @RestartWeek'
b'1033071149284974592',08/24/2018,b'@prestonjbyrne Have you been?'
b'1032185618040868867',08/22/2018,b'@CryptoCalder Rally.'
b'1032185221146390529',08/22/2018,b'@ricecrypto Find your way. Hope to see you in Puerto Rico.'
b'1032166569596657665',08/22/2018,b'Puerto Rican umm wecan.'
b'1031936747796488192',08/21/2018,b'@arindam_dee @EOSRaychains Next trip.'
b'1031936590178738177',08/21/2018,"b""RT @eosukbp: BP Tools, Fake BPs and the EOS Alliance! #EOSUK's Roger and Jim chat about the everchanging world of EOS including the latest\xe2\x80\xa6"""
b'1031893308463833088',08/21/2018,b'@arindam_dee @EOSRaychains There often. Just left the Philippines. In Istanbul today. Malta next.'
b'1031881068947939328',08/21/2018,b'@EOSRaychains @arindam_dee Here to serve.'
b'1031881011729195009',08/21/2018,b'@EdwinBurgosInc So true.'
b'1031880954346909698',08/21/2018,b'@arindam_dee @EOSRaychains I care.'
b'1031880904694788096',08/21/2018,"b'@bitconnect4life Been there, done that.'"
b'1031880822071218176',08/21/2018,b'@DiyanaAlcheva @ValaAfshar Lots to cry for. I do it multiple times a day.'
b'1031880558492741632',08/21/2018,b'@douglasgulbran1 @RestartWeek Yes please'
b'1031880508689530880',08/21/2018,b'RT @insatiable: Philippines will become the blockchain capital of the world. @brockpierce https://t.co/kj0nrkCUv8'
b'1031880475411918848',08/21/2018,b'@ItsMrMoe Teach those to plant seeds to grow things. Each one team one. \xf0\x9f\xa6\x84\xf0\x9f\x8e\xa9\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc'
b'1031879975513796608',08/21/2018,b'@TolgaOdoglu Grateful to be back in Istanbul. \xf0\x9f\xa6\x84\xf0\x9f\x8e\xa9\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc'
b'1031879908706930689',08/21/2018,b'RT @TolgaOdoglu: Thanks @brockpierce being with us in lovely Bosphorus https://t.co/7BaPTBDaub'
b'1031742441919983617',08/21/2018,"b'RT @IBMBlockchain: Another day, another university stepping up and pushing #blockchain education and development! https://t.co/lCh7MeXMit'"
b'1031742352610623488',08/21/2018,b'@DrtyWaterCrypto @glover_shad @RonnieMoas @TimDraper @maxineryan @WorldCryptoCon Hope to see you there.'
b'1031742215662460928',08/21/2018,b'@douglasgulbran1 Yes please. Coming to the next @RestartWeek event in October?'
b'1031742023554883585',08/21/2018,b'@michaelscanlon @EOSRaychains He is on the board. Been a friend of mine and in crypto since 2014.'
b'1031741852204974081',08/21/2018,b'@arindam_dee @EOSRaychains I\xe2\x80\x99m not involved with Tether and they print new Tether when people make USD deposits.'
b'1031741633442721792',08/21/2018,b'@EOSRaychains @arindam_dee EOS is a big deal. The EOS Alliance is solely focused on facilitating structured convers\xe2\x80\xa6 https://t.co/k9Exo7UMCH'
b'1031733368940122112',08/21/2018,b'@arindam_dee @EOSRaychains Unlikely to happen again.'
b'1031733278171115520',08/21/2018,b'@jDettoni Direct message me.'
b'1031732482889207808',08/21/2018,b'RT @RonnieMoas: #VegasBlockchainWeek @WorldCryptoCon https://t.co/6p2fkrLgMe @hawctalk | Here is my October Meet &amp; Greet schedule | #Housto\xe2\x80\xa6'
b'1031732436420448256',08/21/2018,"b'RT @glover_shad: BEST SPEAKERS @RonnieMoas, @TimDraper, @MaxineRyan, @BrockPiErce @Worldcryptocon dropin the mic \xf0\x9f\x8e\xa4Las Vegas, Oct 31 - Nov 2\xe2\x80\xa6'"
b'1031732338370248709',08/21/2018,b'@MooreJared0 @Negativecarbon Whatever it is our score is not based upon wealth accumulation. Love and doing good is\xe2\x80\xa6 https://t.co/5DRVBufH7n'
b'1031730481543479297',08/21/2018,b'RT @Cointelegraph: Crypto exchange Huobi has launched a new service to ease token listing applications\nhttps://t.co/Ddiqyt4PH1'
b'1031730395136643072',08/21/2018,"b'RT @DalaiLama: Irrespective of whether we have faith in religion or not, it\xe2\x80\x99s good to be more compassionate. It makes us happier as individ\xe2\x80\xa6'"
b'1031730339851448320',08/21/2018,b'@crypto_blkbeard Give some of those gains back to causes or people in need that call to you.'
b'1031730116701769728',08/21/2018,b'Recommended reading. https://t.co/jWUw9HfX6J'
b'1031708393080123393',08/21/2018,b'RT @Negativecarbon: I think @brockpierce would have an interesting comment about this.\n\nSeems he wants to rid himself of millions and make\xe2\x80\xa6'
b'1031708175345508352',08/21/2018,b'@Negativecarbon \xf0\x9f\xa6\x84\xf0\x9f\x8e\xa9\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc'
b'1031708085646020608',08/21/2018,"b'RT @BobTregilus: Yup, few know that Adam Smith\'s ""The Theory of Moral Sentiments"" (1759) was a prolegomenon to ""The Wealth of Nations"" (177\xe2\x80\xa6'"
b'1031707984043237376',08/21/2018,"b'RT @ianbremmer: \xe2\x80\x9cThe disposition to admire, and almost to worship, the rich and the powerful, and to despise, or, at least, to neglect pers\xe2\x80\xa6'"
b'1031707829021728770',08/21/2018,b'RT @CypherglassBP: Make sure you are keeping an eye on your #EOS voter decay @EOSauthority designed a great Voting Decay Analysis here: htt\xe2\x80\xa6'
b'1031536253894840320',08/20/2018,b'@a3456gf @PeterSchiff I support bitcoin and bitcoin cash.'
b'1031530588560338946',08/20/2018,b'@cryptobunni @CryptoKitties @eos_ph Not the best thing for me but certainly a great outcome for the kitten.'
b'1031529993434787841',08/20/2018,b'@rtcarter3 @CryptoKitties @eos_ph Not this trip.'
b'1031529958261309443',08/20/2018,b'@a3456gf @PeterSchiff I did no such thing. I support all chains.'
b'1031525261479698432',08/20/2018,"b'RT @ValaAfshar: What I love about this story is it reminds me that one person can truly make a big difference. \n\nIn 1978, Jadav Payeng bega\xe2\x80\xa6'"
b'1031523786452070400',08/20/2018,b'@Comey https://t.co/ugW2BtTpMr'
b'1031523662980173824',08/20/2018,b'RT @Comey: Truth exists and truth matters. Truth has always been the touchstone of our country\xe2\x80\x99s justice system and political life. People\xe2\x80\xa6'
b'1031519379572310017',08/20/2018,b'Found a stray or abandoned kitten in Manila. I\xe2\x80\x99ve been adopted. The thrilla from Manila is coming home with me. The\xe2\x80\xa6 https://t.co/I6k7MgMnSI'
b'1031518929699500032',08/20/2018,b'@The_EzraG @PeterSchiff It could be a currency. Just isn\xe2\x80\x99t yet.'
b'1031518663856283648',08/20/2018,b'@a3456gf @PeterSchiff I did what?'
b'1031503900657033217',08/20/2018,b'@EOSRaychains \xf0\x9f\xa6\x84\xf0\x9f\x8e\xa9\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc'
b'1031503621865844736',08/20/2018,b'@PeterSchiff Which interview?'
b'1031423521006608384',08/20/2018,b'@juliomontero Join us for the next @RestartWeek'
