id,created_at,text
b'1042029610203074561',09/18/2018,"b'The only way to survive over the long haul is to build things people use, and if you have a #cryptoasset, making su\xe2\x80\xa6 https://t.co/eEaoJx1EhZ'"
b'1042029044345327616',09/18/2018,"b'The fumes of exchange listings, prominent partnerships, and events + conference appearances will only carry a #cryptonetwork so far.'"
b'1042028699661598720',09/18/2018,"b""A prolonged bear market is the best thing #crypto could've asked for to expose projects that never planned to deliver in the first place."""
b'1042006656421376000',09/18/2018,b'RT @Cloudflare: Cloudflare goes InterPlanetary - Introducing Cloudflare\xe2\x80\x99s IPFS Gateway  https://t.co/RAM61JSvMf https://t.co/FnIBYkPaSm'
b'1042006083894693888',09/18/2018,b'RT @random_walker: Viewing emotional intelligence as learnable rather than intrinsic and immutable results in a drastically different narra\xe2\x80\xa6'
b'1042005783536390145',09/18/2018,b'RT @Schuldensuehner: Good morning from #Germany where more &amp; more banks introduce penalty  interest on customers\xe2\x80\x99 deposits to cover costs i\xe2\x80\xa6'
b'1041852847539847169',09/18/2018,"b'RT @TwitterSupport: 4/ So, we\xe2\x80\x99re working on providing you with an easily accessible way to switch between a timeline of Tweets that are mos\xe2\x80\xa6'"
b'1041851967935524864',09/18/2018,"b""RT @genekogan: NVIDIA's new vid2vid is the first open-source code that lets you fake anybody's face convincingly from one source video. pri\xe2\x80\xa6"""
b'1041851305155874816',09/18/2018,"b'\xe2\x80\x9cMonetary laughing gas has covered all asset classes with a fake blanket of security, disguising risk with ultra-lo\xe2\x80\xa6 https://t.co/FRRn0mQyTC'"
b'1041795467988877312',09/17/2018,"b'RT @sbmckeon: This is the most wide ranging podcast I\xe2\x80\x99ve ever done, and one of the most enjoyable. Thanks, @tseides! https://t.co/fjnlAb7BlR'"
b'1041727770215309312',09/17/2018,"b'RT @placeholdervc: ""A Brief Study Of Cryptonetwork Forks"" via @alexhevans https://t.co/j2fdyHe6lo https://t.co/0Z4ThWsuBD'"
b'1041435363007496192',09/16/2018,"b""Many have mentioned this podcast between @TraceMayer &amp; @CaitlinLong_ , and I agree it's worth a listen:\xe2\x80\xa6 https://t.co/9qdaEMpx91"""
b'1041365777641824256',09/16/2018,"b'5/ Also, where above do non-fungible cryptoassets on a public network make no sense at all? \n\nFor example, @Apple u\xe2\x80\xa6 https://t.co/tTtn32aFCI'"
b'1041365263466332160',09/16/2018,"b'4/ Some investment instrument non-fungibles will provide a claim to cash flows, others will not. Existing examples of note?'"
b'1041365166934450176',09/16/2018,"b'3/ ""Investment instrument"" non-fungibles are held for their store of value characteristics, be they solely digital\xe2\x80\xa6 https://t.co/ePo3DuZS8Q'"
b'1041365104435126272',09/16/2018,"b'2/ ""Functionals"" are non-fungibles that are meant to be used, a means to access services like ticketing, voting, pa\xe2\x80\xa6 https://t.co/PPqUC2Kgkv'"
