id,created_at,text
b'983851416874700800',04/10/2018,"b'Really enjoyed meeting Dr. @ben_shenglin last night at SFSU. Awesome book by Dr. Shenglin, In Pursuit of Presence o\xe2\x80\xa6 https://t.co/HgIv10mBk9'"
b'908140816924688384',09/14/2017,"b'Enjoyed this @twentyminutevc w/ @kutecht @HarryStebbings on VC as a way of life, post mortem deal analysis and more https://t.co/kGAgkZwdGq'"
b'898299801279709184',08/17/2017,"b""RT @Interledger: We've partnered w/ @BitFuryGroup to make the @Lightning network compatible w/ the Interledger protocol https://t.co/DLQQHQ\xe2\x80\xa6"""
b'894973755826421760',08/08/2017,b'Excited to see @UniofOxford getting into #fintech &amp; honored that @Ripple will be included in the inaugural course https://t.co/ACC7Pc1SaE'
b'893148661940486144',08/03/2017,"b""My friend Matthew shares his son Carter's story w/ hope of preventing &amp; helping families facing child brain injuries https://t.co/07WHCz3wiW"""
b'888472625558585344',07/21/2017,b'Proud of the work done by team @Ripple w/ @federalreserve Faster Payments Task Force to drive #payments innovation https://t.co/c9rNi5gFLh'
b'888470867629416449',07/21/2017,b'RT @Ripple: Sharing results from Q2 2017 - one of the most significant quarters to date for #XRP markets https://t.co/cVJzDxfQom'
b'882310751267860480',07/04/2017,"b'.@EPICprivacy Experts, Privacy Groups Oppose Demand for State Voter Records https://t.co/petk3XhBNK'"
b'875022172174942208',06/14/2017,b'Supermodel Teaches At Stanford: How To Learn About Personal Branding With Tyra Banks via @forbes https://t.co/fpAhW0E7iz'
b'826834078955495424',02/01/2017,b'RT @diliprao: Congratulations to @NBAD as the first bank LIVE in production on the @ripple blockchain for cross-border payments! https://t.\xe2\x80\xa6'
b'824668751689764865',01/26/2017,b'RT @copernicc: Melinda Gates is using her unique position to help women in tech https://t.co/46f0fe614g via @qz'
b'824038765421170688',01/24/2017,"b'RT @gatesfoundation: Study finds increased access to mobile money has reduced poverty in Kenya, particularly in female-headed households. h\xe2\x80\xa6'"
b'823661982507094017',01/23/2017,b'RT @Ripple: Alex Tapscott: the #InternetofValue Genie is Out of the Bottle #TEDX https://t.co/KC1ZWTYSo1'
b'822123932144705536',01/19/2017,"b""RT @melindagates: Many think global poverty is getting worse. But we\xe2\x80\x99re actually experiencing the fastest progress we've ever seen. \nhttps:\xe2\x80\xa6"""
b'821806674398703616',01/18/2017,b'Congratulations to @RyanZagone for his recognition from @BAFT_Global! https://t.co/0QavpLe3DA'
b'821345124567220224',01/17/2017,"b""Very proud to be part of this, and helping to steer HSBC's strategy for cybersecurity and #fintech innovation. https://t.co/BVazhF1TwH"""
b'819984747568865280',01/13/2017,b'RT @bgarlinghouse: Glad to see that @swiftcommunity is beginning to see things our way. https://t.co/ewrDHPt9bX'
b'819349378301194240',01/12/2017,b'Terrific new book from @LisaServon on the changing relationship between people and their banks. Highly recommend it. https://t.co/6sJr54QMPw'
b'818808901709631489',01/10/2017,b'RT @Ripple: We are excited to announce @Bitstamp will begin trading XRP! https://t.co/suz3IjVVBX'
