id,created_at,text
b'1042077656949305344',09/18/2018,b'https://t.co/piqrGgxxDQ'
b'1042063722183655424',09/18/2018,b'@Algoslayer1 @eToro @yoniassia @SIRINLABS How many people do you know that have built an $800m usd business at this\xe2\x80\xa6 https://t.co/csGKBDaAIu'
b'1042037066417168385',09/18/2018,"b'@pedrolima84 @Scotty__Diamond @haydentiff @rogerkver Have you not yet learned, it\xe2\x80\x99s always @cryptomanran !'"
b'1042000280441696256',09/18/2018,b'Singapore BLockchain Week; Very few ICOs raising capital-even less investors. Everyone is in listening/learning mod\xe2\x80\xa6 https://t.co/TzWxVALNAY'
b'1041998615097397248',09/18/2018,b'This is one of the most impressive people I have met in my business career! @yoniassia https://t.co/WYgcu3ZPCe'
b'1041997586939371520',09/18/2018,"b'So after banning Crypto last year September and then again really banning Crypto, it looks like China is warning pe\xe2\x80\xa6 https://t.co/Wm80TiKtKC'"
b'1041971015784390656',09/18/2018,b'RT @cryptomanran: This week. See a compression technology that will make you believe Pied piper is real!See the new @SIRINLABS cell phone w\xe2\x80\xa6'
b'1041937085454635008',09/18/2018,"b'The market is so shot, even the ETH scams have given up! \xf0\x9f\x98\x82'"
b'1041933789423730688',09/18/2018,b'@asdgthjyjsdfsg1 I promote @MatiGreenspan on my twitter which is unrelated to my show. Mati is a hard working contr\xe2\x80\xa6 https://t.co/fvFJm3vMsH'
b'1041933290360332288',09/18/2018,b'@XrpMr https://t.co/MRXsLrzT2C'
b'1041760016775110656',09/17/2018,b'@MostertCarl its very technical and cant be explained in 5 minutes...'
b'1041754898897940481',09/17/2018,b'@Tradermayne @TraderScarface What % of blockchain projects will survive for the next 5 years?'
b'1041751683481526272',09/17/2018,b'@LitecoinMorty @TraderScarface @MediumSqueeze @Tradermayne Apparently I wasn\xe2\x80\x99t the only one with a few bad calls?'
b'1041749628654280704',09/17/2018,b'@TraderScarface @MediumSqueeze @Tradermayne That is true. Was a bad call. I expected a market recovery'
b'1041749359442898944',09/17/2018,"b'@Muzza103Crypto If I ever shilled for a pump and dump I would have sold right? Buy, pump and then sell.\n\nYou find t\xe2\x80\xa6 https://t.co/sDksulzLWb'"
b'1041748574814449664',09/17/2018,b'I think the BCH project is better off without @ProfFaustus. @JihanWu has a huge holding &amp; therefore incentive to se\xe2\x80\xa6 https://t.co/ygts1wWssW'
b'1041746918135672834',09/17/2018,b'@Muzza103Crypto You show me the tweet and I will show you my trade or holding to prove that I bought it or hold it.\xe2\x80\xa6 https://t.co/JW1JEcPICL'
b'1041746388680204288',09/17/2018,b'@Abe_RL As far as I know there has not been a single scam interviewed on my show ever. If there are please tell me\xe2\x80\xa6 https://t.co/gzVMYZnUPE'
b'1041745129592123392',09/17/2018,b'@TraderScarface If you show me that interview or insert on CNBC I will give you a Bitcoin. If you can\xe2\x80\x99t find it you give me one BCH! Deal?'
b'1041743665884946432',09/17/2018,b'@Tradermayne Not only am I not broke but I am way up. In the bear market I have made some wrong calls but overall the calls have been good.'
b'1041741334044762112',09/17/2018,b'@VentureCoinist @SIRINLABS @ReptarLives That\xe2\x80\x99s not going to work! He blocked me! \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x87\xa6\xf0\x9f\x87\xb9 https://t.co/T4z7b1Kjbu'
b'1041740856661692417',09/17/2018,b'@VentureCoinist @SIRINLABS @skuby_x Nominate someone else in the chain...'
b'1041740337629130752',09/17/2018,"b'Yo @VentureCoinist , you just won a @SIRINLABS phone. You can thank @skuby_x https://t.co/qhYYPWmxIf'"
b'1041739434234830849',09/17/2018,b'The same people that appreciated calls in the bull market are the salty ones calling shill in the bear market.\n\nNot\xe2\x80\xa6 https://t.co/0uGryFPC1C'
b'1041738386216632320',09/17/2018,b'Let\xe2\x80\x99s have some fun with the 4 remaining @SIRINLABS phones.\n\nI will give the next 4 away within 24 hours BUT you ca\xe2\x80\xa6 https://t.co/rDjdrWRRyr'
b'1041736412154880000',09/17/2018,b'There is so much salt on Crypto twitter in the bear market that writing a  tweet is like throwing a grenade. \xf0\x9f\x98\x82'
b'1041721431162183680',09/17/2018,b'My freind @iamjosephyoung young nailed it. If a world crisis does come in 2020 it will be the best thing in the wor\xe2\x80\xa6 https://t.co/10F2OHelT8'
b'1041716050742538240',09/17/2018,b'The real visionaries will create new business models using the Blockchain and not migrate old business models to th\xe2\x80\xa6 https://t.co/BuNy7girl0'
b'1041660823486119937',09/17/2018,b'@nick64636360 @eToro @yoniassia Inbox me'
b'1041626946126327808',09/17/2018,b'. @eToro just raised capital at a valuation of $800mn and they are very seriously investing in blockchain. We spent\xe2\x80\xa6 https://t.co/9x7rdwInV4'
b'1041625128121987072',09/17/2018,b'You just did! https://t.co/MyJO9cUXc8'
b'1041624663581908992',09/17/2018,b'Want to win 1 of 5 @SIRINLABS phones before anyone else gets one? Watch this show and retweet this tweet with the n\xe2\x80\xa6 https://t.co/gvsjOf0CTv'
b'1041622815856717824',09/17/2018,b'Could PIED PIPER be real?\nWe found a company that has created it and its working on the blockchain!\nWe also found m\xe2\x80\xa6 https://t.co/L56pj8nsRT'
b'1041403724344700930',09/16/2018,b'@King_Arku I was not working on the project but rather advising them on certain aspects. They tried really hard to\xe2\x80\xa6 https://t.co/pcvHED8yyI'
b'1041396855140114432',09/16/2018,"b""RT @iCapital_io: We were honored when @cnbcafrica approached us to feature &amp; curate a show dedicated to Israel's vibrant blockchain ecosyst\xe2\x80\xa6"""
b'1041395746967179264',09/16/2018,b'Should I sell 25% of this position and take some profit? Up about 22%... \n\n( and should I tell my wife I took profi\xe2\x80\xa6 https://t.co/cQDuIWFak3'
b'1041394273046818816',09/16/2018,b'If we created a stablecoin backed by The Zimbabwean dollar/ Argentinian Peso or the Bolivar could we still call it\xe2\x80\xa6 https://t.co/TS9wtmbt8V'
b'1041393652642136064',09/16/2018,"b'@iamjosephyoung So let\xe2\x80\x99s call them \xe2\x80\x9cBridgecoins\xe2\x80\x9d ,\xe2\x80\x9cpegged\xe2\x80\x9d coins or something... the word stable coin for a coin th\xe2\x80\xa6 https://t.co/4IJBMojoTu'"
b'1041392955422982145',09/16/2018,b'@AeonCoin @iamjosephyoung The https://t.co/iTC6R8tl5a fluctuates partially because as price goes up you can dig dee\xe2\x80\xa6 https://t.co/dKcUR0path'
b'1041391742526713856',09/16/2018,"b'@iamjosephyoung Agreed. So,\n\n1.Investing in a stable coin would be a poor long term investment.\n2.All you buy is a\xe2\x80\xa6 https://t.co/yJsWdKIGzu'"
b'1041389988049379328',09/16/2018,"b'@TheChainStation Today it\xe2\x80\x99s volatile because we are in the early adoption phase, in a few years it will be widely a\xe2\x80\xa6 https://t.co/1YX3xJmJqs'"
b'1041389737523593216',09/16/2018,"b'@iamjosephyoung Today it\xe2\x80\x99s volatile because we are in the early adoption phase, in a few years it will be widely ad\xe2\x80\xa6 https://t.co/B0bT0zw84O'"
b'1041388204178305024',09/16/2018,"b'Other than to be a bridge between the traditional financial world and the new one, is there any reason why BTC can\xe2\x80\x99\xe2\x80\xa6 https://t.co/k018tIk3U1'"
b'1041288969344839680',09/16/2018,b'Blockchain Week Singapore ... but first the Grand Prix! https://t.co/uan9r9t4f5'
b'1041100448290136064',09/15/2018,"b'@Algoslayer1 @SIRINLABS @orbs_network Bro, I\xe2\x80\x99m not sure what you mean and it sounds like you\xe2\x80\x99re jumping on the band\xe2\x80\xa6 https://t.co/oHNojgpmFK'"
b'1041095683325870081',09/15/2018,b'This week. See a compression technology that will make you believe Pied piper is real!See the new @SIRINLABS cell p\xe2\x80\xa6 https://t.co/sootxvAUw4'
b'1040957555495788545',09/15/2018,"b""Bearish article on ICO's.I don't agree with the comments.I think that in the current form ICO's won't survive but w\xe2\x80\xa6 https://t.co/AcsEHZIgJq"""
b'1040906663631495169',09/15/2018,b'@phumudzofarai Try @coindirectcom'
b'1040872693497769989',09/15/2018,b'@WhatBitcoinDid Im writing this from my jail cell....'
b'1040860093934395392',09/15/2018,b'I bought 100 ETH at $60 . Invested the100 ETH into an ICO when the ETH price was $1000. Sold the position yesterday\xe2\x80\xa6 https://t.co/UheqigXKQz'
b'1040669681118601216',09/14/2018,b'It\xe2\x80\x99s not possible that all of the big players are jumping in and the price won\xe2\x80\x99t fly.\nThis time it\xe2\x80\x99s Bank of Americ\xe2\x80\xa6 https://t.co/JQacA7Bxrn'
b'1040652912601571328',09/14/2018,b'@coinmamba @MoonOverlord @Crypto_Bitlord @tehMoonwalker @BullyEsq @TheCryptoDog @crypto_rand Thanks my friend!'
b'1040615063781089281',09/14/2018,"b'The biggest barrier to institutional buying is custody, they simply don\xe2\x80\x99t have the capabilities to keep Crypto safe\xe2\x80\xa6 https://t.co/EBOQ5OaIgq'"
b'1040494226709118976',09/14/2018,"b'Let\xe2\x80\x99s not forget, the following may happen in next 2 quarters:\n-One or more BTC ETFs\n-Bakkt coming online\n-Safe Tet\xe2\x80\xa6 https://t.co/DX59ws59Ta'"
b'1040478751434461184',09/14/2018,b'Received these Coinbase numbers from @BarrelProtocol yesterday. They suggest that we may have seen the bottom. With\xe2\x80\xa6 https://t.co/anKTFtgRXl'
b'1040463289032105984',09/14/2018,b'@VinnyLingham @SFPD @sfgov Where does SA sit on that chart? \xf0\x9f\x98\x82'
b'1040279008997531648',09/13/2018,b'I did the responsible thing and told my wife. She wasn\xe2\x80\x99t impressed with my 20% gain- said I was irresponsible!\xf0\x9f\x98\x82 https://t.co/KqfhYiFErR'
b'1040247626678108160',09/13/2018,b'@mshari_720 210...'
b'1040236853813755905',09/13/2018,"b'Another day another big bank offering a BTC related product to clients. Last week Citi, this week Morgan..\nIf specu\xe2\x80\xa6 https://t.co/vvejq6MM76'"
b'1040214311040368641',09/13/2018,b'@LeeR912 Only if you tell me where the camp is!!'
b'1040205580781150208',09/13/2018,b'True story! https://t.co/Os7hgWCGmw'
b'1040201760302944256',09/13/2018,b'The USA could take a page out of Japans book...A country serious about tech adoption.\n\nhttps://t.co/ui6f99UncM'
b'1040190146958815234',09/13/2018,b'@DanielDumbrill He is. We need an extra set of hands!'
b'1040174480767807488',09/13/2018,b'@imalked You in sing?'
b'1040174407854043136',09/13/2018,b'If ETH hits 210 I\xe2\x80\x99m telling my wife... https://t.co/QdI3E82MIY'
b'1040172189453099008',09/13/2018,b'Looking for a production assistant to help us in the covering on Singapore Blockchain Week next week. Please ping m\xe2\x80\xa6 https://t.co/0QuYdVxR0D'
b'1040171404518457344',09/13/2018,"b'@Muzza103Crypto You REALLY think that in today\xe2\x80\x99s market with $13bn trades daily, a twitter account with 85k users t\xe2\x80\xa6 https://t.co/EeX3JrwwlX'"
