id,created_at,text
b'1037499742870097920',09/06/2018,"b'1st working day after a radically inclusive social experiment where there is no government, fiat, status and judgem\xe2\x80\xa6 https://t.co/i0QcMmwVcj'"
b'1022041205524246529',07/25/2018,b'Vote for NKN if you like the technology https://t.co/DCrFStABaL'
b'996438216063537154',05/15/2018,b'Michael Ou demonstrating latest CoolWallet S. https://t.co/S8ZsWk28ba'
b'991683175897354240',05/02/2018,b'@TonyGuoga looking forward to work with you in the future https://t.co/2ET2YZIucq'
b'985143011439972354',04/14/2018,b'nOS rocks! https://t.co/bVJPuH4wJZ'
b'985098334976258054',04/14/2018,"b'\xe2\x80\x9cBlockchain is NEW economic infrastructure"" - Prof. Potts from RMIT. Thanks for flying over 27 hours to give this s\xe2\x80\xa6 https://t.co/6wLpYEUXdX'"
b'985090137855012865',04/14/2018,b'NACHO MEN on NEO https://t.co/Uj7kTkia2K'
b'985085665707745280',04/14/2018,"b""Let's get started! https://t.co/WyB1U5qe9v"""
b'974276012564348930',03/15/2018,"b'A case of lost in translation. What I really said is ""fractional reserve is cheating"". How and when to distribute G\xe2\x80\xa6 https://t.co/3JHGsxmfQN'"
b'970914107573420032',03/06/2018,b'RT @NEO_Blockchain: \xe2\x80\x9cA Statement From NEO Council\xe2\x80\x9d @dahongfei explains with facts to answer questions and to clarify recent confusion.\xf0\x9f\x91\x87\nhtt\xe2\x80\xa6'
b'968754604551950337',02/28/2018,"b'We are happy to be the 1st ever blockchain to receive A-class rating by Weiss. To make it clear, as of today, we we\xe2\x80\xa6 https://t.co/mAz0jgU8jH'"
b'956398829045035010',01/25/2018,b'Flying from snowing Shanghai to San Francisco for the first ever NEO DevCon! https://t.co/qn0ZX1SGlm'
b'948512127941271552',01/03/2018,b'Are you a blockchain developer? https://t.co/DOAFQJ0meq'
b'944908566493773825',12/24/2017,b'RT @NEO_DevCon: Merry Christmas to everyone! \xf0\x9f\x8e\x8a\xf0\x9f\x8e\x8aNEO DevCon will take place on Jan 30-31 2018 in San Francisco! Registration will open up soo\xe2\x80\xa6'
b'943060713123168256',12/19/2017,b'RT @OntologyNetwork: BE IN THE KNOW about Ontology Network now via newsletter subscription : https://t.co/0MmwpMhU2h  Make sure you follow\xe2\x80\xa6'
b'943060385338294272',12/19/2017,"b""RT @OntologyNetwork: You can now watch Ontology Network's launch online! Part one: https://t.co/pnQnpFDldr Part two: https://t.co/cbKnrgJs7\xe2\x80\xa6"""
b'935200401086996480',11/27/2017,"b""At Liberty 28, can't wait for the Ontology launch event! https://t.co/ADxr6PsSCE"""
b'934336080173608961',11/25/2017,b'RT @MalcolmLerider: I just published \xe2\x80\x9cSmart Economy Ecosystem Explained\xe2\x80\x9d https://t.co/90kwRZViK5'
b'905053599608090628',09/05/2017,b'RT @NEO_Blockchain: A Statement from NEO Council   https://t.co/EihAXYEOz3'
b'904728150600409093',09/04/2017,"b""Thanks for all the jailbreaking service offerings I received today. I'm all okay. \xf0\x9f\x98\x85 Expect official announcement in\xe2\x80\xa6 https://t.co/waJr6qPMYz"""
b'899518699207446529',08/21/2017,"b'RT @neoerikzhang: NEO ICO template in C#, standard with NEP-5.\nhttps://t.co/oI4WbqJutw'"
b'895202951228121088',08/09/2017,b'@DouglasCrets yes. Contact us a month before'
b'893818818430029827',08/05/2017,b'We welcome more projects to accept NEO token https://t.co/xtBJ1uFLRA'
b'893489427497877505',08/04/2017,b'@BancorNetwork @raexno92 @NEO_Blockchain @NEO_council @neoerikzhang @eyal :-)'
b'893324548635893760',08/04/2017,b'RT @neoerikzhang: https://t.co/kH2PPKJxff'
b'892978300150087680',08/03/2017,b'Meet us in Tokyo https://t.co/RDNDkMmQXD'
b'892708627860959234',08/02/2017,b'@DouglasCrets No problem'
b'892707866469056512',08/02/2017,"b'RT @boxmining: What is #Neo (#antshares), Interview with co-founder @dahongfei : https://t.co/HdFSXD44jc  via @YouTube'"
b'892602531532210176',08/02/2017,"b'I know the red banner looks so 1980, but elastos is such an intriguing project you guys should take a look (if u re\xe2\x80\xa6 https://t.co/SRhXLrfrh0'"
b'892334827449466880',08/01/2017,b'1st day at the new workplace of NEO https://t.co/c6hjqdnz3s'
b'890631857724731392',07/27/2017,"b'2AM, arrived home after answering hundreds of AMA questions, the community is awesome!\n\nhttps://t.co/XISJvPrfl2'"
b'890465952390828032',07/27/2017,b'A blog on how the 1.x antshares network will be updated to the 2.0 NEO network https://t.co/o2QPADRu4Q'
b'889748512048533505',07/25/2017,b'Wow https://t.co/d5K1oBJspb'
b'880807579693096960',06/30/2017,b'NEO/Antshares 2.0 Preview 2 is deployed on testnet  https://t.co/u8aOKGNDWn Forgive the English written by Erik Zhang'
b'880070763058831362',06/28/2017,b'@GeeZee1984 no idea what is sj-money'
b'880028594935812100',06/28/2017,b'Your ANS will become NEO automatically https://t.co/yyy6AKJ7mj'
b'880028342203719680',06/28/2017,"b'@AntshareMNE check your wallet again, we send out a new batch today'"
b'879666716753633282',06/27/2017,b'sure https://t.co/RwJPkT5Z2e'
b'879651002604859393',06/27/2017,"b""@nick_emmons Theoretically you can claim GAS every block, though you don't need to"""
b'879650633699139584',06/27/2017,b'@nick_emmons You get roughly 4  GAS per 10k NEO per day'
b'879649821648338944',06/27/2017,b'NEO reported by CCTV https://t.co/thGvSyrdbT'
b'878371845086429184',06/23/2017,"b""Impressed! I'm passing it to our designing guys https://t.co/PbTh8yS55x"""
b'878259951017246720',06/23/2017,"b'Yes we are, drop me a line at dahongfei@antshares.org https://t.co/rIRHCy7qJO'"
b'878251522668150785',06/23/2017,b'@ATLienZ404 There will be a community manager'
b'878231381951660032',06/23/2017,b'I just finished reading this post and will share it with the team. I think those suggestions are very valuable. OP\xe2\x80\xa6 https://t.co/ueaa04ET4s'
b'878227040855506944',06/23/2017,b'NEO on https://t.co/W3JyrJp2lH https://t.co/AKbmDAy5zF'
b'878120794550751233',06/23/2017,"b""@Sam_Rasha It's a fee imposed by exchanges. Transfer on antshares blockchain costs no fee (ANS/ANC) currently."""
b'878119903214972930',06/23/2017,b'@crypt0biker @MostCorporate Totally agree!'
b'878119726152531968',06/23/2017,"b""@eatmytears Will do, what's your advice?"""
b'878119642924892161',06/23/2017,b'@eatmytears thank you we are working on a new website'
b'877920671338184705',06/22/2017,b'To make things clear: https://t.co/d45qHrMWlK'
b'877920490643259393',06/22/2017,b'@475zHn_ That looks like a bittrex policy'
b'877919295270928384',06/22/2017,b'@brars12 @LLoonstra Bingo'
b'877919118636142593',06/22/2017,"b'@475zHn_ I am not aware of this issue, can you elaborate?'"
b'877911202466103296',06/22/2017,b'@MostCorporate @crypt0biker I wonder why as well'
b'877891222664118274',06/22/2017,"b'definitely 1 to 1, actually you need to do nothing, we will handle the upgrade https://t.co/clsb0y5Y5Z'"
b'877873595925413888',06/22/2017,b'why not \xf0\x9f\x98\x81 https://t.co/gzTSVTJtS6'
b'877828776188461057',06/22/2017,"b'NEO makes smart contract easier, and ... not jammed https://t.co/v1PLHeLWet'"
b'877826163825037312',06/22/2017,"b'Yes, it will happen in 2017 Q3 https://t.co/xm2daycEuW'"
b'877817141998702593',06/22/2017,b'How to prevent yourself from selling your token too early? Use these three lines of NeoContract. https://t.co/nIucr1sPXK'
b'877813476441206784',06/22/2017,"b'NEO supports writing smart contract in .NET &amp; Java/Kotlin. Will support Go, JS, Python in the future. https://t.co/DHyspRCsh0'"
b'877811938654158849',06/22/2017,b'Dynamic Sharding https://t.co/6qPVBZF1CR'
b'877810246307074048',06/22/2017,b'Antshares will evolve to the new brand - NEO in 2017Q3 https://t.co/0EGZNUrXty'
b'877738113879101441',06/22/2017,"b'Rehearsaling, streaming starts in two hours: https://t.co/WDXQPMuS7I https://t.co/FAXkPRSjFA'"
b'877723166272929792',06/22/2017,"b'Unveiling the new antshares soon, at Microsoft China https://t.co/7HnRMXph9b'"
b'810212241265917952',12/17/2016,b'@zooko @VitalikButerin'
b'802795485052342272',11/27/2016,"b""I put R3's leaked indicaion of interest into a spreadsheet. Source https://t.co/Lt9vHkXO0K https://t.co/yGlGfHjvM8"""
b'799169048722296832',11/17/2016,"b'RT @antshares: https://t.co/kpW4lu6tVC just entered a strategic partnership with Antshares, prioritizing the listing of quality projects on\xe2\x80\xa6'"
b'796647828709920768',11/10/2016,b'thumbs up! https://t.co/wCBsFv9rfi'
b'796647670802739200',11/10/2016,b'looks awesome https://t.co/3saHfHB2If'
b'796577088882888704',11/10/2016,b'RT @antshares: We just have our 3000th follower! Cheers!'
b'785360056401354752',10/10/2016,b'RT @antshares: The Antshares Blockchain Mainnet is set to go online NEXT WEEK! Visit our website at https://t.co/8JWtMF2oDg for more info.'
b'779878111580073984',09/25/2016,"b'just met @niccary and Elly from @blockchain, thx for the gift https://t.co/U4VviTXIln'"
