id,created_at,text
b'1039913566478848000',09/12/2018,"b""RT @go_interstellar: Chain is now Interstellar! \xf0\x9f\x8e\x89 We've joined forces with Lightyear to make building on the Stellar network even easier.\xe2\x80\xa6"""
b'1039209459522752512',09/10/2018,b'RT @PanteraCapital: Pantera wins bocce championship! https://t.co/Ou3WDPiQmN'
b'1037927348790685696',09/07/2018,b'RT @brave: https://t.co/kgK0VMMYrU'
b'1037517856051585025',09/06/2018,"b'\xe2\x80\x9cBlockchain \xe2\x80\x94 the shipping container for money.\xe2\x80\x9d And, #blockchain as \xe2\x80\x9cAn internet of value.\xe2\x80\x9d Great presentation\xe2\x80\xa6 https://t.co/X82rvyD0LV'"
b'1037516161120788480',09/06/2018,b'\xe2\x80\x9cMoney hasn\xe2\x80\x99t had its shipping container moment.\xe2\x80\x9d  @chrislarsensf of @Ripple making a great analogy at #CFConUSA\xe2\x80\xa6 https://t.co/KuOTJ73PMJ'
b'1037411572090433536',09/05/2018,"b'RT @RipioApp: (EN) From now on you can request a loan, in pesos, from your @RipioApp wallet. This initiative finds to promote financial inc\xe2\x80\xa6'"
b'1034463215269306368',08/28/2018,"b'Just plain awesome.  Great combination of performance, privacy, and contributor-owned tokens.  @brave https://t.co/yFYv4gCw6a'"
b'1029461397938167808',08/14/2018,b'RT @billbarhydt: Abra is now the 2nd most downloaded crypto wallet for the iPhone.  (and) the competition had a 4+ year head start!\n\nThank\xe2\x80\xa6'
b'1027351446990114816',08/09/2018,"b""RT @PanteraCapital: Check out the full recording of Dan's interview with @CNBCFastMoney \nhttps://t.co/CU3fo11Dkg"""
b'1027350398313459712',08/09/2018,"b""RT @CNBCFastMoney: Waiting for a #bitcoin ETF? Don't hold your breath, says @dan_pantera, CEO of @PanteraCapital. https://t.co/JUvZy2FWRw"""
b'1027243533709668352',08/08/2018,b'@nathanielpopper Two primal motivators \xe2\x80\x94 fear and greed.  Appears to be the former in this case.'
b'1025415941855670273',08/03/2018,"b'RT @PanteraCapital: @PanteraCapital has invested into @bakktapp, the digital asset exchange from @NYSE.  Co-investors include @Microsoft ,\xe2\x80\xa6'"
b'1019202198952030208',07/17/2018,"b""Augur Betting Volumes Just Topped $1 Million (And They're Accelerating) https://t.co/eCRpj8AG77 via @CoinDesk"""
b'1011276480226082816',06/25/2018,"b'@bradmillscan @CoinMarketCap A 21st century update of Baron Rothschild saying that ""the time to buy is when there\'s\xe2\x80\xa6 https://t.co/bJXeo18cIX'"
b'1010284311654772736',06/22/2018,"b'RT @bendavenport: Lots of crypto valuation threads going around, it seems. I enjoy reading them all, mainly to understand the diversity of\xe2\x80\xa6'"
b'1009531615381372928',06/20/2018,"b'RT @EnigmaMPC: BIG NEWS: Enigma is pleased to announce our collaboration with Intel, focused on our protocol and the development of privacy\xe2\x80\xa6'"
b'1009109650824880128',06/19/2018,"b""RT @bendavenport: \xe2\x80\x9cThis 'telephone' has too many shortcomings to be seriously considered as a means of communication. The device is inheren\xe2\x80\xa6"""
b'1008776369059217408',06/18/2018,"b'RT @wences: Bitcoin cannot be a global, non-political, reserve and settlement currency says the Bank of International Settlements:\n\nhttps:/\xe2\x80\xa6'"
b'1008106127333122050',06/16/2018,b'RT @elonmusk: Socialism vs capitalism is not even the right question. What really matters is avoiding monopolies that restrict people\xe2\x80\x99s fre\xe2\x80\xa6'
b'1008032419541180417',06/16/2018,"b""RT @billbarhydt: Abra named to the Wall Street Journal's 25 Tech Companies to Watch in 2018. So excited for Team @AbraGlobal. We're just ge\xe2\x80\xa6"""
b'1007103428902785025',06/14/2018,"b'RT @brave: Honored and thrilled to be featured in the @WSJ ""25 Tech Companies to Watch for 2018."" https://t.co/Cj6OT8Srss https://t.co/PuGM\xe2\x80\xa6'"
b'1005112683572617216',06/08/2018,"b""RT @kin_foundation: Check out our Technical Product Manager's latest @Medium post on scaling the Kin blockchain: https://t.co/Xo8ZJVEmsz @t\xe2\x80\xa6"""
b'1002301298199248896',05/31/2018,b'Check out Fast Money on CNBC https://t.co/LySYOpKHqI'
b'1000400539350269952',05/26/2018,"b'90% of peaceful, law-abiding #Bitcoin companies can\xe2\x80\x99t even get a bank account.   A couple banks refuse to loan mone\xe2\x80\xa6 https://t.co/r8ZkQyovYy'"
b'999332001210486784',05/23/2018,"b""RT @Ripple: Surprise! We're thrilled to join @aplusk and @guyoseary in supporting @EDWildlifeFund with a $4M donation. Tune into @TheEllenS\xe2\x80\xa6"""
b'999301045539893254',05/23/2018,b'https://t.co/qGatbHu3rq via @Nasdaq'
