id,created_at,text
b'1042086026557239297',09/18/2018,b'RT @archillect: https://t.co/MZw5c2WSMR'
b'1042085502139224064',09/18/2018,b'@muratpak @archillect https://t.co/gKTu9Vene1 is yours ;) dm me'
b'1042085375538331649',09/18/2018,b'RT @muratpak: 1M!'
b'1042085330306908161',09/18/2018,b'RT @ImCryptoFurby: @desantis @archillect @metaprophet @muratpak https://t.co/qDJZlpaIl2'
b'1042069072618442752',09/18/2018,b'RT @eeimnnstt: Especially re: underdetermined aspects https://t.co/RQFNJybRsY'
b'1042064122710564864',09/18/2018,b'https://t.co/JmsTR7P1XT'
b'1042031701201956867',09/18/2018,b'RT @JBTC123: \xf0\x9f\x91\x87\xf0\x9f\x94\x81 https://t.co/GueWgqXnJW'
b'1042018756183117824',09/18/2018,b'https://t.co/mlGXXirr5X'
b'1042018649794662401',09/18/2018,"b'\xf0\x9f\x95\xb3\xef\xb8\x8f :: [@archillect : (followers : 1,000,000)] :: [cc : @metaprophet] :: [h/t : @muratpak] :: [date : 9/18/18] :: \xf0\x9f\x8c\x9f https://t.co/kIx4IJSwIf'"
b'1041993606851190786',09/18/2018,b'RT @archillect: https://t.co/mthm3y5Yq5'
b'1041993588601757696',09/18/2018,b'RT @desantis: https://t.co/iDuE3JTwNP'
b'1041993561493975040',09/18/2018,b'RT @archillect: https://t.co/V5kcJrchuN'
b'1041990830981033984',09/18/2018,b'@oldhayeasplay ^ decompiled we have a working graphics runtime and compiled have machine code as a wave : [https://t.co/fLercLP5zZ]'
b'1041990034554073089',09/18/2018,b'@oldhayeasplay https://t.co/u6oyCBBNUK'
b'1041988618104066048',09/18/2018,b'https://t.co/iDuE3JTwNP'
b'1041957270815420417',09/18/2018,b'https://t.co/vaj7rjpefU'
b'1041951560534818816',09/18/2018,b'RT @archillect: https://t.co/QLwTWG9kwR'
b'1041951534060384256',09/18/2018,b'https://t.co/VIrsYF4bl6'
b'1041915184586080257',09/18/2018,b'https://t.co/O1zGRs4RIm'
b'1041914995867570176',09/18/2018,b'RT @mwilcox: https://t.co/9hXrR4RVlO'
b'1041914951332519938',09/18/2018,b'RT @archillect: https://t.co/AZTIiMWwJA'
b'1041914629625131008',09/18/2018,b'RT @jeriellsworth: Old meets new. https://t.co/gExLUffSjQ'
b'1041914278540976133',09/18/2018,b'is valuable if new to you https://t.co/iQBuP2BTSH'
b'1041913665077821440',09/18/2018,"b'RT @startuployalist: &gt;the clock is not merely a means of keeping track of the hours, but of synchronizing the actions of men.'"
b'1041913500447191040',09/18/2018,b'RT @desantis: @mahbodmoghadam \xf0\x9f\x99\x87\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f : [https://t.co/8eDOCbPGnc]'
b'1041913454528000000',09/18/2018,b'@mahbodmoghadam \xf0\x9f\x99\x87\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f : [https://t.co/8eDOCbPGnc]'
b'1041913215272321026',09/18/2018,b'RT @startuployalist: &gt;The essential distinction between a machine and a tool lies in the \ndegree of independence in the operation from the\xe2\x80\xa6'
b'1041913075866185728',09/18/2018,b'RT @sigfig: i can send you to any planet you want if you give me this'
b'1041913000809119744',09/18/2018,"b'RT @randi_eitzman: \xe2\x80\x9cPeople must think, they must go on thinking, they must try to extend the boundaries of knowledge; yet they don\xe2\x80\x99t someti\xe2\x80\xa6'"
b'1041912889366458368',09/18/2018,"b""RT @mahbodmoghadam: I'm having brain surgery on tuesday. Pray for me, but don't get sad if I die, I don't care. I've started 2 major pillar\xe2\x80\xa6"""
b'1041912594418855936',09/18/2018,b'@JohanDeecke https://t.co/fLercLP5zZ'
b'1041912523295997954',09/18/2018,b'@JohanDeecke https://t.co/peZkZwaDvQ'
b'1041911944175923205',09/18/2018,b'RT @desantis: @urbanarson making music like css'
b'1041911863821455363',09/18/2018,b'@urbanarson making music like css'
b'1041911407820857344',09/18/2018,b'@urbanarson am godel numbering k into music as a bidirectional 4-d repl at https://t.co/tkWs7MCdv0'
b'1041909821828673536',09/18/2018,b'RT @archillect: https://t.co/lyYZeDKyeE'
b'1041909610586800128',09/18/2018,b'@mwilcox https://t.co/fLercLP5zZ'
b'1041909539812069376',09/18/2018,b'@mwilcox https://t.co/XIXfqx9let'
b'1041909508715552768',09/18/2018,b'RT @desantis: @mwilcox https://t.co/C9eFbW8O0o'
b'1041909484241735685',09/18/2018,b'@mwilcox https://t.co/C9eFbW8O0o'
b'1041909105584164864',09/18/2018,b'@urbanarson @mwilcox https://t.co/Jl6zHOdMcy'
b'1041909074579935232',09/18/2018,b'RT @mwilcox: #21e8 https://t.co/M8M4sh7ZOY'
b'1041908582130900992',09/18/2018,b'RT @desantis: @urbanarson https://t.co/TvPZXjxHca'
b'1041908563516567552',09/18/2018,b'@urbanarson https://t.co/TvPZXjxHca'
b'1041906664855752705',09/18/2018,b'@victoriavaneyk \xf0\x9f\x98\x8d'
b'1041905599280283650',09/18/2018,b'@KadeshFlow @victoriavaneyk @secretstages https://t.co/h8XX6PNjlN'
b'1041905503872397313',09/18/2018,b'@KadeshFlow @victoriavaneyk @secretstages https://t.co/fLercLP5zZ'
b'1041905375933595650',09/18/2018,b'RT @KadeshFlow: Every set is a #cardio sesh. More raps on the way. \n\n#NerdKrunk https://t.co/lQGylzSLIO'
b'1041905358233628672',09/18/2018,b'RT @desantis: @urbanarson @ShillCollinz h/t : @KS_DHorton [https://t.co/oQCaxoou3k]'
b'1041905234476511234',09/18/2018,b'RT @archillect: https://t.co/pgLn1g0J1D'
b'1041905062648406017',09/18/2018,b'@urbanarson @ShillCollinz h/t : @KS_DHorton [https://t.co/oQCaxoou3k]'
b'1041904725485084673',09/18/2018,b'@KadeshFlow @secretstages https://t.co/kGjiwMuzLa'
b'1041904379673157632',09/18/2018,b'@urbanarson h/t : @KS_DHorton [https://t.co/nQ056WQsS0]'
b'1041903367881154560',09/18/2018,b'RT @desantis: @archillect h/t : @muse [https://t.co/41t1EAQwQN]'
b'1041903309915910144',09/18/2018,b'RT @urbanarson: @desantis How to talk openly with your WoT without fear of censorship.'
b'1041903299958657024',09/18/2018,b'RT @desantis: @urbanarson https://t.co/NrCHO9BK8O'
b'1041903092571287552',09/18/2018,b'RT @archillect: https://t.co/XAzeIxf9pP'
b'1041903044466761728',09/18/2018,b'RT @desantis: https://t.co/Xftyfdd88Q'
b'1041902959381110784',09/18/2018,b'RT @archillect: https://t.co/TzHJRlq1y8'
b'1041902720117104640',09/18/2018,b'@archillect h/t : @muse [https://t.co/41t1EAQwQN]'
b'1041901987221196800',09/18/2018,b'https://t.co/uxjq531WSP'
b'1041900253463633922',09/18/2018,b'RT @desantis: ^ and finally actualizes to this : https://t.co/YGvWESCbDY'
b'1041900233544921088',09/18/2018,b'RT @desantis: SCENE V : https://t.co/0rg8H3drxa'
b'1041900188695228416',09/18/2018,b'RT @archillect: https://t.co/MEF00kSSr9'
b'1041899661039161344',09/18/2018,b'RT @archillect: https://t.co/sSplXjjjTq'
b'1041899563710402562',09/18/2018,b'RT @archillect: https://t.co/ivBtoqpa0q'
b'1041899447884689409',09/18/2018,b'RT @archillect: https://t.co/eCnE3YXG0c'
b'1041899397062246401',09/18/2018,b'RT @archillect: https://t.co/EBXkJS67h1'
b'1041899354603302914',09/18/2018,b'RT @archillect: https://t.co/ihsAAkefSx'
b'1041899194628407296',09/18/2018,b'RT @archillect: https://t.co/Z6tV77M0Ao'
b'1041899169877815296',09/18/2018,b'RT @archillect: https://t.co/QiM2dxbSMG'
b'1041899146377093120',09/18/2018,b'RT @archillect: https://t.co/XpJAdSyQAe'
b'1041899127263711232',09/18/2018,b'RT @archillect: https://t.co/OrLmC0eLj4'
b'1041899071999492097',09/18/2018,b'RT @archillect: https://t.co/MujHAR597U'
b'1041899027955105793',09/18/2018,b'RT @archillect: https://t.co/dS688XLtCP'
b'1041898975379550208',09/18/2018,b'RT @archillect: https://t.co/xRFctB2GU7'
b'1041898960489787393',09/18/2018,b'RT @archillect: https://t.co/zcpUkjoPic'
b'1041898943184101376',09/18/2018,b'RT @archillect: https://t.co/ZbBCw1ctbT'
b'1041898821167575041',09/18/2018,b'RT @archillect: https://t.co/futgjvrUmW'
b'1041898711314587649',09/18/2018,b'RT @archillect: https://t.co/ChtMCM5gVU'
b'1041898651386347531',09/18/2018,b'RT @archillect: https://t.co/t9NJSxbXfI'
b'1041898612953886721',09/18/2018,b'RT @archillect: https://t.co/rVVvC8IyDK'
b'1041898577969258498',09/18/2018,b'RT @archillect: https://t.co/Ya9xCACdmL'
b'1041898554585952256',09/18/2018,b'RT @archillect: https://t.co/PjIMzBAtDk'
b'1041898319893680128',09/18/2018,b'RT @archillect: https://t.co/C7WGq2GTAY'
b'1041898304521613312',09/18/2018,b'RT @archillect: https://t.co/iuHROX5scS'
b'1041898231062585344',09/18/2018,b'RT @archillect: https://t.co/QXKhgPOaDf'
b'1041898222892015617',09/18/2018,b'RT @archillect: https://t.co/EfxZA1cvp4'
b'1041898197034172416',09/18/2018,b'RT @archillect: https://t.co/hLB2e3LV7A'
b'1041898179661365249',09/18/2018,b'RT @archillect: https://t.co/VYABbZzCLL'
b'1041898134945886208',09/18/2018,b'RT @archillect: https://t.co/BkHbv48YaE'
b'1041898105300500480',09/18/2018,b'RT @archillect: https://t.co/gNBrao3Lnb'
b'1041897951424114688',09/18/2018,b'RT @archillect: https://t.co/lNnF4hXW4y'
b'1041897787871428609',09/18/2018,b'@urbanarson @ShillCollinz brb'
b'1041895082948022272',09/18/2018,b'RT @desantis: @urbanarson @ShillCollinz https://t.co/M6xer3fgAB'
b'1041895066464399360',09/18/2018,b'@urbanarson @ShillCollinz https://t.co/M6xer3fgAB'
b'1041894962240122880',09/18/2018,b'@urbanarson @ShillCollinz https://t.co/P4CQjqOh0e'
b'1041894883215200256',09/18/2018,"b""RT @desantis: @urbanarson isn't the first time we've done it : [https://t.co/ij62pREFpG]"""
b'1041894861828497408',09/18/2018,"b""@urbanarson isn't the first time we've done it : [https://t.co/ij62pREFpG]"""
b'1041894606202462208',09/18/2018,"b'RT @urbanarson: @desantis And the best part is, it never ends.\nhttps://t.co/rc8x7a3enL'"
b'1041894551596740609',09/18/2018,b'RT @desantis: @urbanarson @ShillCollinz https://t.co/O6NbWxrQGd'
b'1041894513709654016',09/18/2018,b'@urbanarson @ShillCollinz https://t.co/O6NbWxrQGd'
b'1041894271161389056',09/18/2018,"b'@urbanarson @ShillCollinz something, something strange loop'"
b'1041894052596277248',09/18/2018,b'RT @urbanarson: @desantis @ShillCollinz Eventually atom for atom and photon for photon.'
b'1041893460696092673',09/18/2018,b'@urbanarson @ShillCollinz pixel for pixel inch for inch'
b'1041893421932269568',09/18/2018,b'@urbanarson @ShillCollinz gpus world wide mapping the world in real time'
