id,created_at,text
b'1041851172338974720',09/18/2018,b'Holy moly. I\xe2\x80\x99m being teleported A\xe2\x80\x99s a HOLOGRAM to a conference in Singapore! Will do a Q and A with the audience re\xe2\x80\xa6 https://t.co/Tl5SlGKdcr'
b'1041807567339569154',09/17/2018,"b'RT @alextapscott: 28 months after its initial release, Blockchain Revolution is once again the #1 selling business book in Canada. @dtapsco\xe2\x80\xa6'"
b'1041731764065116160',09/17/2018,"b'Hm, Jack Ma says blockchain and IoT technology will be ""meaningless"" unless they move society in a greener, more in\xe2\x80\xa6 https://t.co/pbENczfsib'"
b'1041353030027943936',09/16/2018,"b'RT @DehChrist: Thanks @DuckDuckGo. \n\nIf only corporations had acted upon what @dtapscott wrote 8 years ago! \n\n""I for one, am both a transpa\xe2\x80\xa6'"
b'1040977770485100544',09/15/2018,b'This is the kind of article I like to see in the Saturday Globe! https://t.co/ddat5StI3s'
b'1040976071854841856',09/15/2018,b'Great piece in today\xe2\x80\x99s @globeandmail featuring @alextapscott and @TweetFromHilary on the ways Canada can lead the w\xe2\x80\xa6 https://t.co/0wmxCTngTD'
b'1040975562657939456',09/15/2018,"b'RT @alextapscott: \xe2\x80\x9cCanada has been a resource-driven economy for 100 years. As we\xe2\x80\x99re entering the second digital age, we have an opportunit\xe2\x80\xa6'"
b'1040693363916394496',09/14/2018,b'@simonhoupt @blackwellglobe Touche.'
b'1040315739306115072',09/13/2018,"b'RT @alextapscott: Until blockchain tech scales, many dApps will have limited value. Imagine launching HD video streaming in 1993 when the i\xe2\x80\xa6'"
b'1040305774797484039',09/13/2018,"b""Nice mention of the @blockchainRI's work with @INSEAD in this. Closing the knowledge gap in #blockchain is absolute\xe2\x80\xa6 https://t.co/xAuNTRONIq"""
b'1040277151411589123',09/13/2018,b'RT @alextapscott: The best report I\xe2\x80\x99ve ever read on #blockchain and supply chains. Check this out! https://t.co/DsswIwrGOJ'
b'1039867101450784768',09/12/2018,b'Energy is one of the industries that I believe will be the most meaningfully and radically disrupted by decentraliz\xe2\x80\xa6 https://t.co/TwqGuNz6Ko'
b'1039865436278534151',09/12/2018,"b""Boy this partnership is really shaping into something great. I'm looking forward to sharing with you what we're wor\xe2\x80\xa6 https://t.co/SA7hNJ1DyV"""
b'1039860882308837377',09/12/2018,b'Big announcement for tech in Toronto and Canada! https://t.co/a7LnADWQNu'
b'1039622802280734720',09/11/2018,"b'RT @alextapscott: Want to understand smart contracts, cryptoassets, and the impact of blockchain on enterprise? Check out the new edition o\xe2\x80\xa6'"
b'1039622766612439042',09/11/2018,"b'RT @PenguinCanada: Now in paperback and updated with the latest developments, this national bestseller is the essential resource on the tec\xe2\x80\xa6'"
b'1039529016628273152',09/11/2018,"b'RT @alextapscott: @Finovate There are a few for sure, which is why @dtapscott and i dedicated a whole chapter in our book #blockchainrevolu\xe2\x80\xa6'"
b'1039528221899939840',09/11/2018,"b'RT @alextapscott: Gave a speech on the @lufthansa #flyinglab - #blockchain at 40,000 feet. At least part way to the moon? @dmexco @dtapscot\xe2\x80\xa6'"
b'1039198023543336963',09/10/2018,b'Really cool live Twitter chat with @alextapscott this morning. Check it out. #FinovateChats https://t.co/YpEkvOLmIo'
b'1039194401799630848',09/10/2018,b'Keep an eye on South Korea - brilliant innovators like @helloiconworld and a government that will (hopefully) take\xe2\x80\xa6 https://t.co/HUqAU0VXAZ'
b'1039149081954844673',09/10/2018,b'RT @bgigler: Bitcoin Mania- very good review article by @nybooks on two key books on #bitocoin by @dtapscott &amp; @alextapscott and #blockchai\xe2\x80\xa6'
b'1039149037767847936',09/10/2018,"b'If you are concerned about privacy in the digital age, I highly recommend you follow friend and co-author\xe2\x80\xa6 https://t.co/djP7RtQRBG'"
b'1038443211835035648',09/08/2018,b'@RCD324 @MuskokaLakes @alextapscott Awesome'
b'1037896597731004416',09/07/2018,b'@sweetbridgeinc @alextapscott That\xe2\x80\x99s the old edition!!!'
b'1037734358763884544',09/06/2018,"b'There are 420,000 people killed by foodborne illness each year. By tracing food to its source in second with\xe2\x80\xa6 https://t.co/ypUYaclSR7'"
b'1037703886365249544',09/06/2018,"b""Have you read the @blockchainRI's case study on #blockchain and food safety? It's available through the\xe2\x80\xa6 https://t.co/PDCXQd9Gjr"""
b'1037345601455878146',09/05/2018,"b""Getting on these sorts of lists doesn't get old! @alextapscott https://t.co/4LN93YVdIq"""
b'1037291908240797696',09/05/2018,"b'RT @alextapscott: Catch my video Keynote Address on #Blockchain and the 2nd Digital Age @UKblockchain on the 26th of September in London, U\xe2\x80\xa6'"
b'1037050438951075840',09/04/2018,b'RT @ITJavierP: Looking forward to this partnership between @ProcterGamble and @blockchainRI! https://t.co/k1I2x9v8VJ'
b'1037016336382210048',09/04/2018,"b""Wow - so great to see some of the world's biggest companies joining the @blockchainRI. Take a look at our new membe\xe2\x80\xa6 https://t.co/Pzt3yOsFRw"""
b'1035530966700359680',08/31/2018,b'Look who\xe2\x80\x99s first up with a translation of our updated edition: the Netherlands! https://t.co/pNw10cYbVV'
b'1034828120031940609',08/29/2018,"b'RT @INSEAD: INSEAD has appointed @dtapscott as Adjunct Professor of Technology and Operations Management, and agreed a two-year partnership\xe2\x80\xa6'"
b'1034519204379148290',08/28/2018,"b""It's better to take the time we need to bring together stakeholders and get this right. Good article showing some o\xe2\x80\xa6 https://t.co/lDeVGqcE9x"""
b'1034507844895293443',08/28/2018,"b""Big news! I've accepted a position as Adjunct Professor with @INSEAD. Looking forward to helping educate tomorrow's\xe2\x80\xa6 https://t.co/bVy3L0R7RW"""
b'1034159821082243074',08/27/2018,b'I\xe2\x80\x99m sure @alextapscott has views. https://t.co/UrzTHduhUJ'
b'1033465025212702720',08/25/2018,b'That IS astonishing given your influence in the industry and your role as a generator of important new ideas.\xe2\x80\xa6 https://t.co/nUOFKt3fhz'
b'1033085541196161024',08/24/2018,b'@LisaGollerMktg Are you getting into blockchain at all?'
b'1033085203353358337',08/24/2018,b'@VishalTx Please email me about this. Thanks'
b'1033080669935689733',08/24/2018,b'We\xe2\x80\x99re hiring! See our web site for more details of the different job openings! https://t.co/chHiHlqvwQ'
b'1033080310156722177',08/24/2018,b'@LisaGollerMktg Thanks Lisa!'
b'1033080127561912321',08/24/2018,b'The Blockchain Research Institute is hiring.  @alextapscott and I founded the BRI to be the global center in though\xe2\x80\xa6 https://t.co/4rxLWSNpgE'
b'1032661519664865285',08/23/2018,b'RT @blockchainRI: The Blockchain Research Institute is proud to be a Featured Exhibitor at the Boost #blockchain job fair! Come visit our b\xe2\x80\xa6'
b'1032098997329113088',08/22/2018,"b""I'm really looking forward to keynoting the #NBForum2018 with President Obama and others.... https://t.co/Zzyz87X0xH https://t.co/2dEYSsMi7u"""
b'1031986654582636544',08/21/2018,"b'RT @BarryRCampbell1: Venezuelan ""Petro"", a new #cryptocurrency not tied to a trading platform and issued ""at will"". Good luck with that! Gu\xe2\x80\xa6'"
b'1031938678220832768',08/21/2018,b'Really looking forward to doing this!! https://t.co/YB4B6yPIJN'
b'1031621015024152576',08/20/2018,b'@SciTech_Cat Followed you. Let\xe2\x80\x99s talk.'
b'1031620805065695232',08/20/2018,b'@SkypeBusiness  I used this for the first time on my mac today. What a mistake.  I can\xe2\x80\x99t stop multiple popups. Make\xe2\x80\xa6 https://t.co/Ty2qcRkjIm'
b'1031284828623142912',08/19/2018,b'Blockchain is being used to simplify the ticket purchasing process and prevent duplication or fraud. A really cool\xe2\x80\xa6 https://t.co/F3VIqFIfri'
