id,created_at,text
b'1042112040767242242',09/18/2018,b'@r0ckstardev @BtcpayServer @olthoff @MyRig_com @fluffypony @theonevortex @Cryptolland @NicolasDorier @GlobeeCom My man'
b'1042111916427173888',09/18/2018,b'@shakepay @aiouy Ironic how easy it is to buy at BTC ATMs with high fees and no KYC and the banks make it so hard f\xe2\x80\xa6 https://t.co/7K8NRCN1qp'
b'1042070518499823616',09/18/2018,b'My favorite song to listen to at the gym when doing heavy lifts. Put those steaks to good use!\n\nMaori heavy metal K\xe2\x80\xa6 https://t.co/RiFFcZNY2r'
b'1042062571552038913',09/18/2018,b'@hodlonaut @pierre_rochard @jimmysong @Ragnarly @MrHodl @piratebeachbum @NicolasDorier @BashCo_ @SamouraiDev\xe2\x80\xa6 https://t.co/082aSd4VjX'
b'1041872308690989057',09/18/2018,b'RT @brianchoffman: Every Bitcoinler\xe2\x80\x99s story is unique. Watch #HowIBecameAMaximalist https://t.co/v6O1qDkHjL'
b'1041872262301925377',09/18/2018,b'Hilarious foresight \xf0\x9f\x98\x86\n\nhttps://t.co/20sLCR7Nuv'
b'1041871950073749504',09/18/2018,"b""RT @Blockstream: Blockstream's @Snyke was interviewed by @WIRED_Germany about the #LightningNetwork, correspondence with Satoshi Nakamoto,\xe2\x80\xa6"""
b'1041871822944395264',09/18/2018,b'@MyRig_com @fluffypony @theonevortex @Cryptolland @BtcpayServer @NicolasDorier @GlobeeCom Can you derive Monero key\xe2\x80\xa6 https://t.co/WxKr0fi4Vj'
b'1041815209814491137',09/17/2018,b'RT @francispouliot_: Reality is a Bitcoin Maximalist.'
b'1041811712033402880',09/17/2018,b'RT @AnselLindner: Samourai destroys chain analysis. #cypherpunk https://t.co/48lHI0vUi4'
b'1041755976318169088',09/17/2018,"b'@anguschampion They just want/need digital signatures (PKIs), timestamps and free open-source software.'"
b'1041755175696785408',09/17/2018,b'RT @anguschampion: I didn\xe2\x80\x99t start down the path of coin maximalism because of some principled belief.\n\nI started because after 2-3 years of\xe2\x80\xa6'
b'1041752207853465607',09/17/2018,b'@nic__carter @pbartstephens The bar has been raised. I need to proceed with my Bcash and Ripple urinal pucks ASAP.\n\n\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf'
b'1041751283487584257',09/17/2018,b'@pbartstephens @nic__carter This is an actual thing for real ?'
b'1041750207111749632',09/17/2018,b'@ErikVoorhees @hodlonaut @deathlabel @TommyBigFin @FarmerWampum @chijs @ShapeShift_io That is the #1 reason I got o\xe2\x80\xa6 https://t.co/ROlV1HYZcC'
b'1041749263250731008',09/17/2018,"b'@ErikVoorhees @hodlonaut @deathlabel @TommyBigFin @FarmerWampum @chijs @ShapeShift_io I watched, in person, promine\xe2\x80\xa6 https://t.co/zNYabiBo5j'"
b'1041748494002708480',09/17/2018,b'@vinarmani @derose @DanielKrawisz @BlockchainNH Did you fix this Vin?\n\nhttps://t.co/c1m4gVorIQ'
b'1041733872751304713',09/17/2018,"b'RT @MaximeBernier: As Parliament resumes today, I am proud to be back not just as the Member for Beauce, but as the voice of Canadians look\xe2\x80\xa6'"
b'1041717075180380160',09/17/2018,b'@PaulDJohnston @davidgerard @StopAndDecrypt @JWWeatherman_ @jmkorhonen @Querzel @Frances_Coppola @Hanakookie1\xe2\x80\xa6 https://t.co/VK5QPvXJJ6'
b'1041713413800439808',09/17/2018,b'@Mandrik That IS a good life hack! I started doing this with the Italian grocer that throws out carpaccio (prime jerky A++ meat)'
b'1041713112099876864',09/17/2018,b'@MyRig_com @nitroXplicit @btcking555 @Blockstream @btccore @Excellion @adam3us Not a good comeback. If you were hon\xe2\x80\xa6 https://t.co/5U0Yc1Z4SV'
b'1041711009340088321',09/17/2018,b'@MyRig_com @nitroXplicit @btcking555 @Blockstream @btccore @Excellion @adam3us That is so weak. You tagged blockstr\xe2\x80\xa6 https://t.co/QSfJRxDbDx'
b'1041710172983287808',09/17/2018,b'@MyRig_com @nitroXplicit @btcking555 @Blockstream @btccore @Excellion @adam3us \xf0\x9f\x91\x8ewhen did you become a conspiracy theorist and slanderer?'
b'1041709977600053248',09/17/2018,b'@MyRig_com @nitroXplicit @btcking555 @Blockstream @btccore @Excellion @adam3us Unless you have proof BTCKING is  Sa\xe2\x80\xa6 https://t.co/rhpZumMnwZ'
b'1041708868127023104',09/17/2018,b'@StopAndDecrypt @PaulDJohnston @JWWeatherman_ @jmkorhonen @Querzel @davidgerard @Frances_Coppola @Hanakookie1\xe2\x80\xa6 https://t.co/ixrw4z97mA'
b'1041708535820607488',09/17/2018,"b""@Mandrik This is good for poor people or people that'd end up eating a protein bar as a substitute"""
b'1041708167648796673',09/17/2018,b'RT @MattoshiN: Bitcoin is coming for privacy coins. https://t.co/JnWVHHO0zS'
b'1041692915548925952',09/17/2018,b'@RonB7139 Go to Bitcoin wisdom -&gt; go to markets and select the one you want -&gt; go to tools -&gt; click estimate trading -&gt; thank me later'
b'1041692669200752640',09/17/2018,b'@RonB7139 Canada illiquid shit exchange example from today (this piece of crap is #2 in volume) https://t.co/udYVnP0Amo'
b'1041691944303226883',09/17/2018,b'@RonB7139 Price difference between last price and last trade executed for quantity (x) and or last trade total fiat\xe2\x80\xa6 https://t.co/dQdmh4DykG'
b'1041530022396219395',09/17/2018,b'@_Kevin_Pham I wish I was there \xf0\x9f\x98\xa5 looking forward to watching'
b'1041527998783021057',09/17/2018,b'@zooko Great tip thanks totally forgot about those'
b'1041382951735291904',09/16/2018,"b""RT @_Kevin_Pham: Bitcoin First Principles 101:\n\n1. Bitcoin is valuable because it's censorship resistant.\n\n2. Bitcoin is censorship resista\xe2\x80\xa6"""
b'1041382506061160448',09/16/2018,"b""@AmirPolyteknik @doniali4 I'm focusing on Canada - but I do encourage you to try and set up some Bitcoin ATMs to st\xe2\x80\xa6 https://t.co/uDwAViRvDS"""
b'1041381711622299648',09/16/2018,"b""Montreal's Endless Summer vs. Calgary early winter. Canada is a big place \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6 https://t.co/ETUoXBdydy"""
b'1041380512462364672',09/16/2018,"b""@AmirPolyteknik You critique your perception of reality (we all do) but I think maybe you're missing everything tha\xe2\x80\xa6 https://t.co/ePnjFzQWo1"""
b'1041380152662384640',09/16/2018,b'@MediumSqueeze Maybe at the same time ? I put it right after No2X won.'
b'1041379942280323072',09/16/2018,"b""@AmirPolyteknik @doniali4 Watch the Honey Badger conference livestream and better yet come visit and you'll see wha\xe2\x80\xa6 https://t.co/DSChWd81xU"""
b'1041379179374080000',09/16/2018,b'@AmirPolyteknik @doniali4 The irony is that your statements are exactly what you are criticizing: you have a precon\xe2\x80\xa6 https://t.co/VYpJYlpKEO'
b'1041378559128854529',09/16/2018,b'@AmirPolyteknik @doniali4 We are very well organized and I work well with numerous groups and businesses around the\xe2\x80\xa6 https://t.co/mnViuMGl0W'
b'1041377682322161664',09/16/2018,"b""@AmirPolyteknik @doniali4 Ive been pushing adoption constantly for years, I am not an engineer, and Samson's ideas\xe2\x80\xa6 https://t.co/KugA1775J5"""
b'1041373775558672384',09/16/2018,b'RT @VibeHi: Black community needs to learn from this example of how to move in America. \n\nOppression only exists in your mind. https://t.co\xe2\x80\xa6'
b'1041368188494082050',09/16/2018,"b'RT @pierre_rochard: Serious Businessmen in their fifties speaking confidently about ICO deals is cringe, but it sure does help explain why\xe2\x80\xa6'"
b'1041355226396016640',09/16/2018,b'@derose @haq4good DM me when you run a UASF node.'
b'1041354935311331330',09/16/2018,b'@theonevortex Meeting with my favorite \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6 Bitcoiners in the Rockies to ensure market domination of bad actors like\xe2\x80\xa6 https://t.co/oIlNo6f0g2'
b'1041353261758873600',09/16/2018,"b""Unfortunately I can't make it today. It's heartbreaking because I love sharing my passion with Bitcoin News Show au\xe2\x80\xa6 https://t.co/uwLmc24wfL"""
b'1041349461962776576',09/16/2018,"b""@udiWertheimer @hodlhodl I'm ready https://t.co/qYYcoWyXDD"""
b'1041324591472291840',09/16/2018,"b""I've done hundreds of public presentations on Bitcoin, but none as stressful as this one! I feel it's going to be a\xe2\x80\xa6 https://t.co/KFgiw8WWFd"""
b'1041323125709791233',09/16/2018,b'@theonevortex https://t.co/zX8cXXX9uF'
b'1041229530424270848',09/16/2018,b'@CornGuy_Cody \xf0\x9f\x90\x82\xf0\x9f\x9a\x80'
b'1041228594662367233',09/16/2018,b'@zetsk1 Yeah it was'
b'1041228531248783360',09/16/2018,"b""Don't believe me ? Find someone who did it before me. This was 100% in support of Lightning Network. LN doesn't nee\xe2\x80\xa6 https://t.co/aHOqy2s7Ov"""
b'1041227480114225152',09/16/2018,"b'Just realized all the XRP shills copied me putting the \xe2\x9a\xa1symbol in my handle. Yes, I started this after removing [UA\xe2\x80\xa6 https://t.co/dby5EResLK'"
b'1041224883647086593',09/16/2018,b'@haydentiff @nbougalis @ManglaShubham94 @DanDarkPill Why do you keep retweeting your replies to me?'
b'1041224816307519488',09/16/2018,b'@haydentiff @nbougalis @ManglaShubham94 @DanDarkPill https://t.co/SsHyQU6JU0'
b'1041223964012363777',09/16/2018,b'@haydentiff @Deaf_MF @ManglaShubham94 @DanDarkPill Psycopath confirmed.'
b'1041223532749840390',09/16/2018,b'@Deaf_MF @haydentiff @ManglaShubham94 @DanDarkPill You are a deranged weirdo.'
b'1041223350343725056',09/16/2018,b'@haydentiff @Vishank_Joshi @ManglaShubham94 @DanDarkPill @jack https://t.co/34A5hIIRC7'
b'1041223083183370240',09/16/2018,b'@haydentiff @nbougalis @ManglaShubham94 @DanDarkPill Pathetic loser https://t.co/crXo1QHq77'
b'1041204632607842305',09/16/2018,"b'@XrpYoda @haydentiff @ManglaShubham94 @DanDarkPill @danidamman My shades *are* awesome, thank you!'"
b'1041204209259958272',09/16/2018,b'@DanDarkPill @haydentiff @ManglaShubham94 This is fucked up.'
b'1041192421458030592',09/16/2018,b'@haydentiff @ManglaShubham94 @DanDarkPill shill retweets her own tweets - pathetic https://t.co/IqQquI7put'
b'1041191905332125696',09/16/2018,"b""@haydentiff @ManglaShubham94 @DanDarkPill Why do you put that hashtag in every unrelated tweet it's fucking weird/creepy"""
b'1041190788963549184',09/16/2018,"b""@YangVentures @Noahpinion Also: it's unique competitive edge. What is it doing better than anyone and how can it ke\xe2\x80\xa6 https://t.co/R0idhHu7JW"""
