id,created_at,text
b'1042046772607152129',09/18/2018,"b'@bethanymarz And my bookshelf, couch, coffee table, and chair !!!'"
b'1042033129308020736',09/18/2018,b'@phkeane They are a godsend to the homeless population. They can charge and get free WiFi'
b'1042032828442177536',09/18/2018,b'@johnbattelle @Cloudflare Yayyy. Web3 out of your mouth. And not surprised it took Cloudflare to get you there. The\xe2\x80\xa6 https://t.co/Osfdxj4QrW'
b'1041998735079890944',09/18/2018,b'@aweissman @whitneymcn rainy morning indeed. here is something i heard on my Upload today https://t.co/VHDUtqCrH7'
b'1041714401018085381',09/17/2018,"b'@howardlindzon ""I don\'t inhale"" sounds so Clinton era. Not sure that matters anymore. So many ways to get the benefits now.'"
b'1041713256279232512',09/17/2018,b'@howardlindzon Your current Twitter handle suggests some of your creative prompts :)'
b'1041671734552879104',09/17/2018,"b""@graubart Remember that this is mine. My diary. My thinking. My routine. Etc. I don't really want to share it in that way."""
b'1041670826234441729',09/17/2018,b'@jstylman @reece @nivi Yupppppp'
b'1041669733706342406',09/17/2018,"b""@graubart That's even harder"""
b'1041659519963721729',09/17/2018,b'@reece @jstylman @nivi Capital desires scale. Talent does not need to. One of the many places their needs and desires diverge'
b'1041659137413849088',09/17/2018,b'@graubart That might be too much for me to handle'
b'1041630072950738946',09/17/2018,b'@aweissman @whitneymcn i listened to the Howard Stern interview of Paul McCartney yesterday and there is a great st\xe2\x80\xa6 https://t.co/VmXYq9JdEx'
b'1041131638992850949',09/16/2018,b'@whitneymcn Bowie for sure.'
b'1040959149276848128',09/15/2018,"b""@kirklove @whitneymcn @jack Don't know. But in case you missed it is my favorite feature on Twitter. I scroll down\xe2\x80\xa6 https://t.co/2p8tz3YsA1"""
b'1040918689418235904',09/15/2018,b'@BenedictEvans Yup'
b'1040676417791516672',09/14/2018,b'Agree: Great use of visualization technology to educate us. https://t.co/PWvkiKpzag'
b'1040645144880574465',09/14/2018,b'@whitneymcn @kirklove @jmsdnns 5/ fin'
b'1040645100412526592',09/14/2018,b'@whitneymcn @kirklove @jmsdnns 4/ But the data shows that most listeners prefer algos so we are gonna get more and more algos'
b'1040644926973861890',09/14/2018,"b'@whitneymcn @kirklove @jmsdnns 3/ Things like the SoundCloud feed, tweeting music to each other, and other non algo\xe2\x80\xa6 https://t.co/0BO2XTo80E'"
b'1040644612254322688',09/14/2018,b'@whitneymcn @kirklove @jmsdnns 2/ The new SoundCloud playlists (Weekly and Upload) are great at knowing what I like\xe2\x80\xa6 https://t.co/1Guo9KqmD4'
b'1040644544298196993',09/14/2018,"b""@whitneymcn @kirklove @jmsdnns 1/ i'm really concerned about the increasingly algorithmic listening experience."""
b'1040550311755165696',09/14/2018,b'@whitneymcn @aweissman Miguel covering the Chili Peppers https://t.co/jF22ZAU0SG  happy cover friday'
b'1040357653795557378',09/13/2018,b'@thc_bliss Patience'
b'1040357326711083011',09/13/2018,b'@JoshD They are autotweeted on @avc'
b'1040272104057450496',09/13/2018,b'@thepaymentsdick Mostly the former but I also love Klee'
b'1040271906975428610',09/13/2018,b'@moneyscarf SoundCloud Upload and Weekly playlists first. Then my SoundCloud feed and my SoundCloud likes'
b'1040200589278420997',09/13/2018,b'I just realized that I have not sent a tweet out to everyone who follows me in about a month. And yet I reply to tw\xe2\x80\xa6 https://t.co/JYqDvBhDAy'
b'1040198815435960320',09/13/2018,b'@zamansky @TeacherArthurG Three'
b'1040198741951700992',09/13/2018,b'@karaswisher Welcome'
b'1040198282407030790',09/13/2018,b'@danprimack I would prefer you and Kara Swisher.'
b'1040183449557102594',09/13/2018,b'@aweissman @whitneymcn a year out of date but still pretty good https://t.co/eKFBE1fWta'
b'1039812237597265920',09/12/2018,b'@whitneymcn @aweissman i went back to Veckatimist this weekend. what an amazing record. this is amazing https://t.co/FHSPp6WUZm'
b'1039644543380058114',09/11/2018,"b""@stevenbjohnson I'd start the course with Ben Franklin's letter to Joseph Priestley on how to make a decision and go from there"""
b'1039464488565661696',09/11/2018,"b""@whitneymcn @aweissman fuzz club records! love that. here's another from their SoundCloud https://t.co/22XjV8BPZs"""
b'1039206304500334592',09/10/2018,b'@kirklove Cool. I will check it out'
b'1038768238413402113',09/09/2018,b'@cdixon @stevenbjohnson The stuff about storytelling and sci-fi is great and so right'
b'1038589901988614145',09/09/2018,b'@davidlee They work great with Android phones'
b'1038001947280900096',09/07/2018,b'@aweissman @whitneymcn this is fucking fantastic. one of my favorite songs and they crush it.'
b'1037999407097106432',09/07/2018,b'@aweissman @whitneymcn happy cover friday https://t.co/pk6wF9xamZ'
b'1037776033955631104',09/06/2018,b'@kirklove Wow'
b'1037661051876192256',09/06/2018,b'@utk06 Too bad we had to ditch all the typepad comments from the first four years of AVC. They were a cesspool of s\xe2\x80\xa6 https://t.co/TLi6o91hLU'
b'1037647807044362240',09/06/2018,b'@whitneymcn @aweissman morning https://t.co/HGzIc6A7Qi'
b'1037291918663790592',09/05/2018,b'@aweissman @whitneymcn Yeah. I felt that. Nicely done'
b'1037290821538795521',09/05/2018,"b""@whitneymcn @aweissman Well if it's 1989, then this is what I'm feeling as the plane I'm on is landing in Washingto\xe2\x80\xa6 https://t.co/qmsvuxDHAp"""
b'1037132269713088512',09/05/2018,"b""@mokoyfman @JuddApatow Your point about the need to hear opposing points of view is spot on. We don't have enough o\xe2\x80\xa6 https://t.co/IQR57BVS7Q"""
b'1037002196729167873',09/04/2018,"b'@emilyjwils ""Don\'t get me started on Sir Kensington\'s.""'"
b'1036924495423053824',09/04/2018,"b""@aweissman @whitneymcn i'm not yet ready to let go of that summer feeling https://t.co/0lA1LY0vth"""
