id,created_at,text
b'1007996073338724352',06/16/2018,"b""Great indicator, though people need to keep in mind that it's a number that continuously changes/should be monitore\xe2\x80\xa6 https://t.co/jYKYp37sob"""
b'1006233635698208768',06/11/2018,"b'RT @byrongibson: #BPASE18 talk slides/papers/videos up: https://t.co/VRx24ms9UN Thanks all who attended, sponsored, organized and the PC fo\xe2\x80\xa6'"
b'999388720875917314',05/23/2018,b'Institutional Custody in the Crypto World https://t.co/kUoo1ZgLeR'
b'997197259145170944',05/17/2018,b'Laws of Tech: Commoditize Your Complement - Great piece explaining open source and tech biz in general https://t.co/K2d3AMnK3Z'
b'995867875444449280',05/14/2018,b'The State of Cryptocurrency Mining - must read from David of Obelisk about Asic manufacturing https://t.co/88hUV6PBu9'
b'987105588579618818',04/19/2018,b'2 papers - Perun: no intermediary w/ payment routing via \xe2\x80\x9cchannel virtualization\xe2\x80\x9d + gen state channel specification https://t.co/xzvlZmWWpI'
b'979006602190708736',03/28/2018,"b""Low-Resource Eclipse Attacks on #Ethereum's P2P Network. Note: countermeasures addressed in Geth 1.8 https://t.co/EI7gLPw7zM"""
b'972510264590589952',03/10/2018,b'Concepts/MVPs I\xe2\x80\x99m watching closely in 2018: 1) stable coins 2) generalized state channels 3) probabilistic payment\xe2\x80\xa6 https://t.co/wJbXASJWJm'
b'966849027345145857',02/23/2018,b'Self-owning corporations are legally possible - DAO is real! https://t.co/3fNO5WlXgb'
b'955843893794308096',01/23/2018,b'Gov of Canada uses #ethereum to keep track of/make transparent government spending. One of the few great &amp; intended\xe2\x80\xa6 https://t.co/JL8m3KGT7S'
b'951595586448486400',01/11/2018,b'Whitepaper on zkStark https://t.co/onF0AswtQD'
b'938883103619211265',12/07/2017,"b'@jeffehh Sad, I was GavCoin HODLer'"
b'924472289785188353',10/29/2017,b'@OrchidProtocol 1)dependency on ethererum/light client=less censor proof 2)topology eventually becomes centralized.\xe2\x80\xa6 https://t.co/QXQJbiptub'
b'923572761393549313',10/26/2017,b'Startup @orchidprotocol is building incentivized Tor/decentralized VPN. Great for Internet. Very important work! https://t.co/5xdMQmoXec'
b'919951103135010822',10/16/2017,"b'KRACK breaks WPA2 - srs attack, affects clients on WIFI networks. Via all-0 encrypt key/sslstrip, get login info. https://t.co/P6l0ip8WhW'"
b'915612646338174978',10/04/2017,b'Cooley/ProtoLabs hacked this SAFT paper together. Mission: legalize token sales &amp; ICOs + follow US security laws https://t.co/SRWJwUBjGM'
b'909819968413462529',09/18/2017,b'PassGAN: AI password cracker - 1 neuronet invents passwords + another judges - 2x more efficient than JTR\xe2\x80\x99s rules. https://t.co/B6ohTamn55'
b'908003230688448512',09/13/2017,"b'Zcash protocol upgrade \xe2\x80\x9cSapling\xe2\x80\x9d - Proof time ~7s, memory usage &lt;30MB from 3GB, possible w/ phones? Github: jubjub https://t.co/1mXbg82o4H'"
b'900068952109445120',08/22/2017,"b'Estcoin: 1st gov backed token. From eVote to 5-min tax to early STEM, Estonia = epitome of innovations in government https://t.co/Rjdtzh8w7S'"
b'889897065479892994',07/25/2017,b'\xe2\x80\x9cThis Is How Your Fear and Outrage Are Being Sold for Profit\xe2\x80\x9d by @TobiasRose https://t.co/8EIE1uAcUw'
b'879363989351919617',06/26/2017,"b'How HBO\xe2\x80\x99s Silicon Valley built \xe2\x80\x9cNot Hotdog\xe2\x80\x9d with mobile TensorFlow, Keras &amp; React Native: 1 developer+macbook+gpu https://t.co/Ia8X3JSAkL'"
b'876545270682718217',06/18/2017,"b'For those who are confused about ""blockchain"".. what it means, where/when/how to use it: https://t.co/AdUfUSbOsz'"
b'874717774630834177',06/13/2017,"b'With deep learning, how important is it to understand the reasoning behind decisions made by AI? https://t.co/pxpC808WLu'"
b'869988166442393600',05/31/2017,b'Check out the projects of the 2017 AI grant fellows: https://t.co/mEn7fWZHfg'
b'864934603588587520',05/17/2017,b'I just published \xe2\x80\x9cOn Fundraising\xe2\x80\x9d https://t.co/0wwoX5h4f0'
b'856876042530828288',04/25/2017,b'On Growing: 7 Lessons from the Story of WeChat via YC https://t.co/WvRt4hG2B5'
b'853292285034995712',04/15/2017,"b'ShadowBrokers: The NSA compromised the SWIFT Service Bureaus (EastNet &amp; BCG, possibly a lot more) https://t.co/xrq7q5TNvG'"
b'851829507472470017',04/11/2017,b'Can \xe2\x80\x9cDigital Therapeutics\xe2\x80\x9d Be as Good as Drugs? https://t.co/EkMwjNDXc1'
b'841321200995434496',03/13/2017,b'On Angel Investing https://t.co/5LaXPiTBCv'
b'839126313214562305',03/07/2017,"b'First 3D printed residential tiny house in Russia, costs $10k, finished on-site in 24 hours! https://t.co/DaT7dWx5Hg'"
b'832310079953186816',02/16/2017,b'Gates Foundation\xe2\x80\x99s 2017 annual letter on what they\xe2\x80\x99ve achieved in the past decade. https://t.co/uwBj87AYug'
b'828662221362311168',02/06/2017,b'Russian Hackers broke slot machines by timing the spins from their knowledge of the psudorandom generator. No fix https://t.co/xxHdVc714W'
b'818839078384893952',01/10/2017,b'Dr. Hanley electroperates himself w/ human GHRH plasmids: self experiment to combat aging/enhance immune system https://t.co/y1Vcwf4xJZ'
b'814160100822806533',12/28/2016,"b'A part time job to research before starting a business = best advice. Humility + learning, not pride. @jasonfried https://t.co/u82IVupul9'"
b'813789687349477376',12/27/2016,b'All-electric Quadrofoil will soon allow you to fly on water \xe2\x80\x93 WANT! https://t.co/q4oOA3kP82'
b'811603015408959488',12/21/2016,b'Biggest Ad Fraud Ever: Russian Hackers Make $5M A Day By Faking 300M Video Views via a botfarm dubbed Methbot https://t.co/FvI0TSFIv0'
b'786582114087075841',10/13/2016,b'Analysis of massive DDoS attacks coming from IoT cameras by @cloudflare https://t.co/cacbbBUSb8'
b'770615054328819712',08/30/2016,b'This one-yr case study is absolute gold for any startup founder who wants to understand his/her own time management https://t.co/uHzLFrMwm9'
b'770290232600264704',08/29/2016,b'A great piece by @a16z on How Startup Options (and Ownership) Works https://t.co/xrt3HpUuEW'
b'759580466949267456',07/31/2016,"b'How Magic Leap, one of the best funded startup/VR super unicorn, works https://t.co/qLfm5WzO18'"
b'737427321007833089',05/30/2016,b'The government should take a field trip to Silicon Valley instead: https://t.co/Km4Xnp2j8D'
b'729008221231403008',05/07/2016,b'Why wind turbines have three blades? https://t.co/k7toEjoGMZ'
b'725537595136958464',04/28/2016,"b""In case you didn't know what it's like to work at a SF tech startup, now you know: https://t.co/LyEicIbQVr"""
b'724629120743690240',04/25/2016,b'Bank of Japan Is Now a Top 10 Holder in 90% of Japanese Stocks https://t.co/GicpNeiYHZ'
b'712172354676260868',03/22/2016,b'Universities Are Becoming Billion-Dollar Hedge Funds With Schools Attached https://t.co/9ng8elxYdq'
b'697118373352607745',02/09/2016,b'In-depth analysis of the insurance industry (mainly EU) by @robmoff https://t.co/lKuITHrUba'
b'696617361764278273',02/08/2016,"b'Alec Ross comparing Estonia &amp; Belarus\xe2\x80\x99 innovations: e-voting, 5-min tax returns, e-residency, 1st grade coding class https://t.co/Py1kMJ8CzA'"
b'682619680117387265',12/31/2015,b'\xe2\x80\x9cBitcoin is Being Hot-Wired for Settlement\xe2\x80\x9d by @jgarzik https://t.co/3wIvE6ZmZK'
b'676317666139766784',12/14/2015,"b'Dubbed \xe2\x80\x9cBootrash\xe2\x80\x9d, this bookit infects MBR and is installed on the empty space btw partitions. Loads before Windows https://t.co/P1JBjGpLNp'"
b'672508327658590208',12/03/2015,b'~$30 + old xbox controller = complete gaming system. Pi Zero in controller hack @edent https://t.co/QC0YcF7GYB'
b'671985987027795969',12/02/2015,b'Unicorns vs. Donkeys: Handy Guide to Distinguishing by @abhasvc  https://t.co/LfP2M4kCdT'
b'661277691165831169',11/02/2015,b'How an episode of The Simpsons is made https://t.co/8aNjakFKYQ'
b'657317445460332544',10/22/2015,b'From Outsourcing Your Life to Full Automation: https://t.co/skKDzsin6d'
