id,created_at,text
b'1042116513904373762',09/18/2018,b'Excited to speak @LoringWard in 2 weeks on 10/2 for the National Education Conference in San Francisco!'
b'1042111780087054336',09/18/2018,"b""Why President Trump's Executive Order on Multiple Employer Retirement Plans May Not Improve Access to Retirement Pl\xe2\x80\xa6 https://t.co/jJCUFsWBKC"""
b'1042108682002153474',09/18/2018,"b'@DarrellSPope And we have RiXtrema listed in the ""Stress Testing"" category with the other tools that do Risk Analys\xe2\x80\xa6 https://t.co/8oO3T518v5'"
b'1042108223271182336',09/18/2018,"b""@DarrellSPope RightCapital doesn't do its own account aggregation feeds, it actually uses third-party providers to\xe2\x80\xa6 https://t.co/W7KZSKDyoZ"""
b'1042096682492723200',09/18/2018,b'Competition For Talent And The Rising Shortage Of Next-Generation Financial Advisors https://t.co/CxvNPYj73R https://t.co/B0fBlPF2Ef'
b'1042090128854970368',09/18/2018,"b'ICYMI: When Wives Earn More, Couples Tend To Downplay Their Income , &amp; other ""Weekend Reading for Financial Planner\xe2\x80\xa6 https://t.co/nraatspvTj'"
b'1042090068926554112',09/18/2018,"b'RT @Noahpinion: Meanwhile, @JamesFallows went around America and found many towns reviving themselves using something akin to the ""College\xe2\x80\xa6'"
b'1042081577847668737',09/18/2018,b'Scaling An Advisory Firm Beyond Yourself By Systematizing The Soft Skills - https://t.co/bwN8PEfRbV https://t.co/RF8E6kA3sO'
b'1042081566426587138',09/18/2018,b'Not surprising. Huge market for Validators who just want to pay for ad-hoc financial expertise. And firms like\xe2\x80\xa6 https://t.co/0KGInH1Csw'
b'1042080734197018630',09/18/2018,b'@HuntCfp See https://t.co/jIfTlRLpbF for some further thoughts on this.'
b'1042068491162071041',09/18/2018,b'Are The Accredited Investor Rules Unfairly Limiting Access To Good Investment Opportunities? https://t.co/YbowrkBq7p https://t.co/8LsXtllLe2'
b'1042066993204158464',09/18/2018,b'Converting Ensemble Partner Compensation From Revenue-Based To Advisor Salary https://t.co/KTcCwKt9eR https://t.co/fLnXzVYEai'
b'1042066954029359109',09/18/2018,b'RT @Jeopardy: Next stop: Goatee City. Population: #AlexTrebeard https://t.co/onU5xO7IYe'
b'1042051341403779072',09/18/2018,"b'RT @BarbaraRoper1: When @Betterment tested the SEC\'s Customer Relationship Summary with investors, only 22% said the information was ""very\xe2\x80\xa6'"
b'1042038745887911938',09/18/2018,b'RT @BreannaReish: A job description that came across my screen. This is a company putting themselves out as financial planners that niche i\xe2\x80\xa6'
b'1042037595847446528',09/18/2018,b'RT @MichaelKitces: Important read for financial advisors. \n\nWire fraud attacks against us and our clients are getting very deep and sophist\xe2\x80\xa6'
b'1042037090127626240',09/18/2018,b'RT @CPAPlanner: There are no free lunches in this world. https://t.co/15eOEqXenv'
b'1042035775192358913',09/18/2018,b'Scaling An Advisory Firm Beyond Yourself By Systematizing The Soft Skills https://t.co/bwN8PEfRbV https://t.co/vpQVkA1JC6'
b'1042029433153052672',09/18/2018,"b""@Rob_InterGen Curious where those numbers came from? That's drastically higher average age and retirement projectio\xe2\x80\xa6 https://t.co/ObJqAAFXdJ"""
b'1042022434050854912',09/18/2018,"b'Goes deeper into planning for health care costs in retirement, along with illustrating basic bucket strategies...\xe2\x80\xa6 https://t.co/loXZRRLGjQ'"
b'1041811543866974209',09/17/2018,b'The NAIC implemented issued a model rule in 2000 that adjusted pricing/reserve rules for LTC carriers. Rate increas\xe2\x80\xa6 https://t.co/k1jamHfiHH'
b'1041788143777865733',09/17/2018,b'The Latest In Financial Advisor #FinTech (September 2018) https://t.co/yirFLnVRRe https://t.co/nJW2ShLfam'
b'1041780603811704836',09/17/2018,b'#FASuccess Ep 088: Learning A More Genuine Sales Conversation Approach To Better Turn Prospects Into Clients with N\xe2\x80\xa6 https://t.co/cVs9y3c5pa'
b'1041765000719810560',09/17/2018,b'Competition For Talent And The Rising Shortage Of Next-Generation Financial Advisors: https://t.co/CxvNPYj73R'
b'1041764497701134336',09/17/2018,"b'So excited to have our new Director of Advisor Success on board with @XYPlanning. Thank you, Malcolm, for joining u\xe2\x80\xa6 https://t.co/ENZUf0GH7Y'"
b'1041751403834818560',09/17/2018,b'#FASuccess Ep 087: Going Independent To Run Your Advisory Firm With The Systems And Clients You Want with Ren\xc3\xa9 Nour\xe2\x80\xa6 https://t.co/w5UK8PfAZd'
b'1041748853878345728',09/17/2018,"b'@IFACleonaLira Thanks for sharing, will take a look!'"
b'1041748732696555523',09/17/2018,"b""@TonyVidler If you leave hot coffee out on the table THAT long, you're doing coffee wrong. :)"""
b'1041747886411800579',09/17/2018,"b'OMG OMG OMG. It\'s almost here... ""The Bard\'s Tale IV: Barrows Deep Launch Trailer"" https://t.co/AWLqP5Rdm4 via @Inxile_Ent'"
b'1041733796368932864',09/17/2018,b'The Appeal Of Working At Independent Advisory Firms In The Eyes Of A Millennial https://t.co/0RgSVsHr7b'
b'1041726742279450624',09/17/2018,b'Competition For Talent And The Rising Shortage Of Next-Generation Financial Advisors - https://t.co/CxvNPYj73R https://t.co/HBJonGe8zv'
b'1041722442509631490',09/17/2018,"b""@TonyVidler Just have to drink and refill faster and then that's not an issue... :)"""
b'1041719690337443840',09/17/2018,"b'ICYMI: Recipe For Compensation Success, &amp; other ""Weekend Reading for Financial Planners (Sep 15-16)"" -\xe2\x80\xa6 https://t.co/OxgG6bLM1B'"
b'1041719189768204288',09/17/2018,"b'Allowing smaller non-custody broker-dealers to ""just"" use any firms to audit that follow generally accepted audit s\xe2\x80\xa6 https://t.co/arYgGDCfe4'"
b'1041712695895097344',09/17/2018,b'\xf0\x9f\x98\x82 RT @AaronKlein: What CEO among us hasn\xe2\x80\x99t dreamed about the idea of buying time? https://t.co/s2ivjH9BKU'
b'1041710593407963137',09/17/2018,b'Important read for financial advisors. \n\nWire fraud attacks against us and our clients are getting very deep and so\xe2\x80\xa6 https://t.co/v4LWE6qPeJ'
b'1041708401473073152',09/17/2018,"b'RT @statsfromIN: As always, @MichaelKitces brings a nuanced, thoughtful take to our just-released 2018 Compensation &amp; Staffing Study.\n\nChec\xe2\x80\xa6'"
b'1041703600819462146',09/17/2018,b'#FASuccess Ep 086: Mastering Marketing As A Solo Advisor By Simply Sharing Your Authentic Self with @beyondfinances https://t.co/y6z4YiL3aV'
b'1041688997737717760',09/17/2018,b'#FASuccess Ep 089: The Truth About Advisor Marketing And The Scalable Delivery Of Financial Advice with Ric Edelman\xe2\x80\xa6 https://t.co/GBlc2IXfAX'
b'1041673906225078278',09/17/2018,b'Competition For Talent And The Rising Shortage Of Next-Generation Financial Advisors https://t.co/CxvNPYj73R https://t.co/W6xGlVJBf4'
b'1041673906002767874',09/17/2018,"b'ICYMI: ""Tax Cut 2.0"" Legislation Unveiled By House GOP Ahead Of Election Push, &amp; other ""Weekend Reading for Financi\xe2\x80\xa6 https://t.co/4BKGWaa4cg'"
b'1041671706375536645',09/17/2018,b'@BillWinterberg @ThisIsSethsBlog @XYPlanning Yes. That one is definitely not stalled. :)'
b'1041660046395035649',09/17/2018,"b""Fascinating yet simple strategy for stalled projects from @ThisIsSethsBlog.\n\nAnnounce it's being cancelled w/ one w\xe2\x80\xa6 https://t.co/tgIn150bZ6"""
b'1041525481840041987',09/17/2018,b'@susanweiner @AdvPerspectives @BillWinterberg @ClementsMoney @MarkLeibman @SEIJohnA @archienickel @billnickles\xe2\x80\xa6 https://t.co/u4KSqxYIdV'
b'1041525243821678592',09/17/2018,b'@susanweiner @AdvPerspectives @BillWinterberg @ClementsMoney @MarkLeibman @SEIJohnA @archienickel @billnickles\xe2\x80\xa6 https://t.co/dDPo6yTBk3'
b'1041510194424016896',09/17/2018,"b""@lockebiel Glad you're enjoying the podcast, and appreciate the feedback. Finding the right balance of questions an\xe2\x80\xa6 https://t.co/M0rmtCsG6a"""
b'1041509750888914946',09/17/2018,"b""@TonyVidler I'm not even sure if the phone power is heating the coffee, or if the heat of the coffee is powering the phone...? :)"""
b'1041509541874163712',09/17/2018,b'RT @SMTuffy: #FinReg things that didn\xe2\x80\x99t exist when Lehman Brothers collapsed in 2008:\n\nAIFMD \nUCITS 5\nSFTR\nGDPR\nMiFID 2\nPRIIPS\nESMA\nEIOPA\nE\xe2\x80\xa6'
b'1041455455409721344',09/16/2018,"b'Weekend Reading for Financial Planners (Sep 15-16) - https://t.co/FhXWRSNCFC // Feat. @laurapdavison,\xe2\x80\xa6 https://t.co/jiC2Xvg9yZ'"
b'1041449159935574016',09/16/2018,"b'Interesting executive hire for @LPL...\n\n""LPL replaces the great Bill Morrissey with UBS\' digital whiz""\xe2\x80\xa6 https://t.co/hneJjiA6sW'"
b'1041430559086530560',09/16/2018,"b'@susanweiner Heck, Feedly charges money for people to read your RSS feed in their software. Archie just posts for f\xe2\x80\xa6 https://t.co/CDoLuFfcKW'"
b'1041430235525378048',09/16/2018,"b""@susanweiner OK, but if you freely share the entire article in an open RSS feed, doesn't that mean you've put it ou\xe2\x80\xa6 https://t.co/KuMsoxboeC"""
b'1041429729763618816',09/16/2018,"b""@AaronKlein I've long stated that I thought Sheryl Garrett created the TFPP category, along with Bert Whitehead at\xe2\x80\xa6 https://t.co/d9dFFTX2lI"""
b'1041429265802256385',09/16/2018,"b'@RIABiz We\'ll now, those would have been interesting contrasting details to include. :) \n\nWondering what ""working w\xe2\x80\xa6 https://t.co/EMfNzYNxep'"
b'1041428808509870080',09/16/2018,"b'@bkavoussi Yeah, @ricedelman has some amazing perspective to share!'"
b'1041417194691874816',09/16/2018,"b'Are You Starving Your Advisory Firm?, &amp; other ""Weekend Reading for Financial Planners (Sep 15-16)"" -\xe2\x80\xa6 https://t.co/egyZp7NloT'"
b'1041402091053502464',09/16/2018,b'No more Roth recharacterizations for 2018 conversions! (But you can still recharacter a 2017 conversion thru Octobe\xe2\x80\xa6 https://t.co/spJuNZ13Ac'
b'1041384451236921347',09/16/2018,"b'@RIABiz @MartyBicknell @FacetWealth @sulemandn The real question and prospective story to me is ""Did @MartyBicknell\xe2\x80\xa6 https://t.co/VXEL6YaOZn'"
b'1041384082259804166',09/16/2018,"b'@RIABiz @MartyBicknell @FacetWealth @sulemandn This wasn\'t framed as ""Here\'s a new firm that thinks it can beat Fir\xe2\x80\xa6 https://t.co/tU6pzvu4rb'"
b'1041383716810108928',09/16/2018,"b""@RIABiz @MartyBicknell @FacetWealth @sulemandn Ok, so they're using different hiring practices and tech tools.\n\nTha\xe2\x80\xa6 https://t.co/mAX6WSv6y4"""
b'1041372399650983939',09/16/2018,"b'When She Earns More: As Roles Shift, Old Ideas On Who Pays The Bills Persist , &amp; other ""Weekend Reading for Financi\xe2\x80\xa6 https://t.co/ZaAlL50T51'"
b'1041356798425554950',09/16/2018,"b""Isn't this the EXACT same thing @MartyBicknell's FirstPoint started via Fidelity 3+ years ago? Except @FacetWealth\xe2\x80\xa6 https://t.co/mC1XlCEOTC"""
b'1041326594541998080',09/16/2018,"b'Weekend Reading for Financial Planners (Sep 15-16) - https://t.co/FhXWRSNCFC // Feat. @KBKSpeaks, @JillianBerman https://t.co/qejbxBf5xO'"
b'1041297659582144512',09/16/2018,b'Still winding down prior regulatory fines and pending terminations. A rather embarrassing reason to delay the close\xe2\x80\xa6 https://t.co/4VY2owPyUz'
b'1041114712719728640',09/16/2018,"b'Recipe For Compensation Success, &amp; other ""Weekend Reading for Financial Planners (Sep 15-16)"" -\xe2\x80\xa6 https://t.co/xBuoZ5uI0T'"
b'1041086759428390912',09/15/2018,"b'Rockefeller Capital making waves this week, pulling an early @HighTowerAdvsor RIA and a @FocusFinancial executive.\xe2\x80\xa6 https://t.co/xrlKxD2K6R'"
