id,created_at,text
b'1041724218205855744',09/17/2018,"b""@sardamit I do, sorry. Don't want to make this about money."""
b'1041723622023323649',09/17/2018,b'@ottomanbob I wish.'
b'1041515450851446784',09/17/2018,"b'@JerryCap Jiddu Krishnamurti, of course.'"
b'1041514373515173894',09/17/2018,b'@mwilcox Respect is a collar around your neck.'
b'1041513555961438208',09/17/2018,"b'You want to be rich and anonymous, not poor and famous.'"
b'1041430693471899649',09/16/2018,b'@fatehsmann I enjoy learning and non-fiction generally has higher information density / learning curve. I do enjoy\xe2\x80\xa6 https://t.co/BeR1ElgXxf'
b'1041377097548148736',09/16/2018,"b""RT @0x49fa98: It's been several months since I was the object of anyone's online hatred. I find it edifying; once it was the exclusive priv\xe2\x80\xa6"""
b'1041030210278191104',09/15/2018,"b'@aatif_awan @TaylorPearsonMe Like all words, it can mean a lot of things, but I\xe2\x80\x99m talking about the raw, visceral h\xe2\x80\xa6 https://t.co/fysKOxBIGq'"
b'1041002925760249862',09/15/2018,b'@michael_nielsen @Altimor Also look a the comic as a cogent defense of anarchy. An attitude that was missing in the\xe2\x80\xa6 https://t.co/umgfz7WpvE'
b'1041002479498944512',09/15/2018,"b'@michael_nielsen @Altimor Interesting. Not being English, I missed the Thatcher digs but I think you\xe2\x80\x99re right. Agre\xe2\x80\xa6 https://t.co/QPrtIPAvcj'"
b'1041000476186107904',09/15/2018,"b'@jimmysong @TaylorPearsonMe Ooh, weird is interesting \xf0\x9f\x98\x89.'"
b'1041000179082510336',09/15/2018,b'@TaylorPearsonMe Disgust = potential for disease\n\nLove = my genes are or should be carried by this person\n\nLust = h\xe2\x80\xa6 https://t.co/SbRihbJHHU'
b'1040865350328307712',09/15/2018,"b'@michael_nielsen @Altimor Disagree. In the comic, V is just a person (could\xe2\x80\x99ve been anyone), but in the movie V is\xe2\x80\xa6 https://t.co/DrFlXZVCq7'"
b'1040776576554561537',09/15/2018,"b'@0x49fa98 Or, Scott Alexander realizes that most of his really smart friends are to the right of him.\n\n*cue cogniti\xe2\x80\xa6 https://t.co/Npa3DJuYWZ'"
b'1040683714613657600',09/14/2018,b'RT @Esqarrouth: I created a short tutorial and a spreadsheet to help you get into Fantasy Angel Investing and start playing.\n\nhttps://t.co/\xe2\x80\xa6'
b'1040681934383280128',09/14/2018,b'@paulsbohm @kapil @andreasklinger \xe2\x80\x9cThe purpose of this paper is to explain why we have waited until the last moment to write this paper.\xe2\x80\x9d'
b'1040641885121929216',09/14/2018,b'RT @dopaminendreams: All i want out of life https://t.co/6SrRB7P3Sg'
b'1040640403907567616',09/14/2018,b'@JonB0t @normonics Good one. But do we need elegant here? Another word too similar to beauty.'
b'1040639901669064704',09/14/2018,"b'@mindless1729 If I were, I would go back.'"
b'1040639729371295744',09/14/2018,b'@Mehr_Tash He means useful in the evolutionary sense.'
b'1040639532465512448',09/14/2018,b'@guygal @normonics Problem with that definition (lives longer than me or it lives shorter than me) is that it applies to everything.'
b'1040638956654682112',09/14/2018,b'@johndurant @normonics May be sneaking beauty back in by using the word form. Or perhaps this is an efficiency argu\xe2\x80\xa6 https://t.co/kYJLekIopU'
b'1040638360484687872',09/14/2018,b'@FerraraKev @normonics Also needs a concept of usefulness. An anteater can appreciate the inherent order in an ant\xe2\x80\x99s nest like no other.'
b'1040637697415569409',09/14/2018,b'@FerraraKev @normonics Good one. Shorter than mine but trying to say the same thing. Although using the word \xe2\x80\x9caesthetic\xe2\x80\x9d may be cheating.'
b'1040635725174067200',09/14/2018,b'On beauty: https://t.co/pFTdWZ9zrj'
b'1040635578859966464',09/14/2018,b'@normonics Love it.'
b'1040634680289050624',09/14/2018,b'@normonics Beauty is the beholder\xe2\x80\x99s evolved perception of the measure of \xe2\x80\x9cuseful\xe2\x80\x9d complexity in a system.'
b'1040632829669892101',09/14/2018,b'RT @RickandMorty: #fanartfriday H/T: https://t.co/HQIpS3qjPi https://t.co/LxqxXbxHig'
b'1040630767729037314',09/14/2018,b'@nlw @wheatpond The value is in the curation.'
b'1040630314400268288',09/14/2018,b'@adviceforbernie @EdLatimore They\xe2\x80\x99ll come for it eventually.'
b'1040628253151514624',09/14/2018,b'RT @Kpaxs: Practice gratitude with the same dedication you practice fear.'
b'1040625351360110592',09/14/2018,b'@peterbunor11 Through action.'
b'1040623569162579974',09/14/2018,b'RT @then_there_was: Procrastination is a signal that a domain is high in complexity. It signals risk and death\n\nSolution:\n\nBreak down the c\xe2\x80\xa6'
b'1040622712199110657',09/14/2018,"b'RT @EdLatimore: Almost everyone has some type of ""privilege"".\n\nThe question is whether you\'ll use yours or complain about someone elses.'"
b'1040617739767832576',09/14/2018,b'People with \xe2\x80\x9cfounder mentality\xe2\x80\x9d can\xe2\x80\x99t rest once a problem or opportunity is identified. \n\nThey take on personal res\xe2\x80\xa6 https://t.co/yoQiwOYhhT'
b'1040611852676263946',09/14/2018,b'RT @theonevortex: Personal accountability is the new counter culture.'
b'1040609222805794816',09/14/2018,"b'RT @nntaleb: Why did the Crisis of 2008 Happen?\nMy report *then*, to the Obama commission. All these talkers are still clueless about the r\xe2\x80\xa6'"
b'1040500555871772672',09/14/2018,"b'RT @webdevMason: Important point in this book: if kids are subjected on the daily to heavy guard/police presence in schools, surveillance e\xe2\x80\xa6'"
b'1040497783562690560',09/14/2018,"b'RT @MindsFiction: Imagine someone claiming the right to control your hands as you write, your vocal cords as you speak, and the ideas that\xe2\x80\xa6'"
