id,created_at,text
b'1041393384336896000',09/16/2018,b'@kenny_monday Putin probably stole it.'
b'1041390126545428481',09/16/2018,b'@nytimes Star is Born was awesome.  First Man was painful.   4 stars vs 2 stars.'
b'1041389314364588032',09/16/2018,b'It begs the question has the privacy war already been lost.   I keep thinking that the Blockchain has the potential\xe2\x80\xa6 https://t.co/qqn6NaWDoU'
b'1041006108180131841',09/15/2018,b'@TrentPaulson Love you @MATrix_8692'
b'1040735338279387136',09/14/2018,b'@masaniellosan Yes.  I look at starting years net worth.   Not income.'
b'1040435151501778945',09/14/2018,b'Excited to provide financing to @Hut8Mining https://t.co/XNublE1D1o'
b'1040433683323408385',09/14/2018,b'My instinct is that Jeff and his family will give most of his wealth away before he dies.  This is an important sta\xe2\x80\xa6 https://t.co/AhfdgALNU4'
b'1040288811643809798',09/13/2018,b'This is the BGCI chart...I think we put in a low yesterday.   retouched the highs of late last year and the point o\xe2\x80\xa6 https://t.co/r5HqfT3nt3'
b'1040220694632648706',09/13/2018,b'Our St Louis team doing great work \xe2\x81\xa6@bailproject\xe2\x81\xa9  https://t.co/LE2rCDIX4R'
b'1039283355320287233',09/10/2018,b'@tomprietoinc @MeekMill I would say the max probation anyone should get is 2 years.'
b'1039278007800815617',09/10/2018,"b'\xe2\x81\xa6@MeekMill\xe2\x81\xa9 is one man that has been unfairly punished, jailed and harassed by a broken system.   Parole and Probat\xe2\x80\xa6 https://t.co/GnSBSE2rMa'"
b'1039276323687092226',09/10/2018,b'I actually believe it\xe2\x80\x99s time for the  old generation to pass the torch.  Step down please. Pelosi is a lightening r\xe2\x80\xa6 https://t.co/r11bg32J91'
b'1039275071490215938',09/10/2018,b'@BoyanSlat Congrats @BoyanSlat    This is so cool.'
b'1039254148175339520',09/10/2018,b'We are excited to be among the group of leaders included in the Milken Institute Asia Summit Power of Ideas essay s\xe2\x80\xa6 https://t.co/V8hJv8v6TK'
b'1038976865589972992',09/10/2018,"b'Just saw #astarisborn  best movie in a long time. @ladygaga was spectacular.  She will won multiple oscars.  Oh, br\xe2\x80\xa6 https://t.co/YOgYmjv0HH'"
b'1038816298569019392',09/09/2018,"b'RT @danbalz: This is Sally Jenkins at the top of her game, which is saying something given her consistent excellence.  https://t.co/lopoyXT\xe2\x80\xa6'"
b'1038198936731889664',09/07/2018,b'@JohnArnoldFndtn @MickMulvaneyOMB 36 percent seems to be usury.  I would have thought the cap should be 18.'
b'1036973605358366721',09/04/2018,b'I served in the US army to preserve the right to peacefully protest. https://t.co/EQqTKmkAmX'
b'1036947333181784065',09/04/2018,b'Respect to Nike for having the courage to live by thier ideals.  Most companies want to stay apolitical lest they r\xe2\x80\xa6 https://t.co/YcyEaVjSfb'
b'1036790528434753536',09/04/2018,"b'@CryptoBaron @mattmcginley7 I disagree.  I think a company has 5 constituents.  Shareholders, employees, customers,\xe2\x80\xa6 https://t.co/CMPDG4loDY'"
b'1036716441981079558',09/03/2018,b'@ejboyl And far more people emigrate to California than Louisiana.'
b'1036641281081069573',09/03/2018,"b'@Minnowsloth1 @EthereumWest Way too early to tell.  As a matter of fact, I don\xe2\x80\x99t believe it\xe2\x80\x99s even at $15 dollars y\xe2\x80\xa6 https://t.co/ByrHa01Jg5'"
