id,created_at,text
b'1042080817462173697',09/18/2018,"b'\xe2\x80\x9cI\xe2\x80\x99m such a progressive thinking liberal, I\xe2\x80\x99d love my personal preference softly shoved down the throats of million\xe2\x80\xa6 https://t.co/9djpUbRT75'"
b'1041914675686858752',09/18/2018,"b""@arcalinea schr\xc3\xb6dinger's cat is simultaneously on the blockchain and in the blackhole."""
b'1041914464268734464',09/18/2018,"b""@antanst Well, everything is a data structure. The essence of the blockchain is that it's a data structure that car\xe2\x80\xa6 https://t.co/tGypxSV5g8"""
b'1041912046726475776',09/18/2018,"b'@antanst How do you arrive from ""a chain of blocks"" to a ""database""?'"
b'1041910981041848320',09/18/2018,"b'RT @jacquesgt: The iOS security guide is out! I\xe2\x80\x99m so proud of the Secure Enclave team\xe2\x80\x99s work on the secure storage IC, Kernel Integrity Pro\xe2\x80\xa6'"
b'1041910915245981702',09/18/2018,b'RT @rmondello: iOS 12 revamps the iCloud Keychain password manager in a big way. iOS now generates passwords when creating accounts within\xe2\x80\xa6'
b'1041777513674944512',09/17/2018,"b'RT @hdevalence: on 2nd thought, maybe expecting people to come around to \xe2\x80\x9cimmutable cleartext PII is bad actually\xe2\x80\x9d is too optimistic'"
b'1041777490878844929',09/17/2018,"b'RT @hdevalence: 10 years from now when people have finally come around to \xe2\x80\x9cimmutable cleartext PII is bad actually\xe2\x80\x9d, it\xe2\x80\x99ll be interesting t\xe2\x80\xa6'"
b'1041777481072566272',09/17/2018,b'RT @hdevalence: my opinion on cryptocurrencies: https://t.co/Up1w21iv92'
b'1041746882849005569',09/17/2018,"b'RT @charliebilello: The bailout later grew to $182.3 billion, and enabled AIG to make substantial insurance payments (on CDS) to Goldman Sa\xe2\x80\xa6'"
b'1041746876188385280',09/17/2018,"b'RT @charliebilello: On the day of the Lehman bankruptcy, AIG stock closed down 61%. Hank Paulson (Treasury Secretary) notably said there wo\xe2\x80\xa6'"
b'1041746704511361024',09/17/2018,b'RT @_jillruth: CNBC has become Wired in television format.\n\nThey spend more time talking about software than markets.'
b'1041597934616305664',09/17/2018,"b'RT @DavidOBowles: I often read this question: ""Why is Mexico spelled \'M\xc3\xa9xico\' in Spanish, especially if in Nahuatl M\xc4\x93xihco was pronounced [\xe2\x80\xa6'"
b'1041597370197106689',09/17/2018,"b'RT @AmirPolyteknik: You know how people say ""BTC is not for buying starbucks coffee, it\'s settlements layer"". Check this quote from 31 Jul\xe2\x80\xa6'"
b'1041596670826303488',09/17/2018,b'@_jillruth Prices will not be stable or making sense until fiat crashes badly. Only then the market will become sat\xe2\x80\xa6 https://t.co/rJIyTTqfa9'
b'1041595666160472065',09/17/2018,"b'RT @FiloSottile: Wow. Linus admits his behavior was hurting people and Linux, recognizes being an asshole does not scale, apologizes, and t\xe2\x80\xa6'"
b'1041595628663390208',09/17/2018,b'RT @garybernhardt: Linux and Linus Torvalds are the go-to justification that people use for mixing personal attacks into technical discussi\xe2\x80\xa6'
b'1041595259656953856',09/17/2018,b'RT @McguireScotty: The cute little smoochable in the background is hilarious.\n\n\xf0\x9f\xa4\xa3\xf0\x9f\x92\xa8#TheWeatherChannel #HurricaneFlorerence @ryanmahoney33 @go\xe2\x80\xa6'
b'1041563603936002049',09/17/2018,"b'RT @whitequark: Linus Torvalds wrote an email to LKML that, against all odds, one might want to read https://t.co/321zm3GqC1 https://t.co/n\xe2\x80\xa6'"
b'1041563330463248384',09/17/2018,b'RT @FielderJackie: WOW. LOOK AT THESE TIME STAMPS.\n\nThe @AP went OUT of its way to take down a tweet that actually dared to call 4 deceased\xe2\x80\xa6'
b'1041486602122350593',09/17/2018,b'RT @danheld: 21/ #Bitcoin\xe2\x80\x99s utilization of the electrical capacity consumes magnitudes less electricity than existing fiat systems which no\xe2\x80\xa6'
b'1041486484300156930',09/17/2018,"b'RT @nic__carter: Conservatively, (adjusted estimates), Bitcoin has settled $848b this year, and is on track to settle $1.38T. Bitcoin, it a\xe2\x80\xa6'"
b'1041441673279037440',09/16/2018,b'RT @FiloSottile: How did I only now find out about https://t.co/qOD5gJn1YP.'
b'1041355147236896769',09/16/2018,"b""RT @eiaine: People like to point out that Bitcoin's irreversible transactions enable fraud, but never bother to mention that merchants lose\xe2\x80\xa6"""
b'1041354997831675904',09/16/2018,b'@romansnitko @yrashk Do you recommend this exit strategy?'
