id,created_at,text
b'1042089939519725568',09/18/2018,b'@JethroGB About time!\n\nGot a link handy describing this new policy by any chance?'
b'1042089587391123456',09/18/2018,b'@csuwildcat @adam3us You can certainly make custom hardware for that with lower costs than commodity. Whether that\xe2\x80\xa6 https://t.co/OFYeUx7hqK'
b'1042087779906093056',09/18/2018,"b""Anyone know if they've also removed the license requirement to run in non-debug mode?\n\nNot really opened to the mas\xe2\x80\xa6 https://t.co/u1enZU2zGn"""
b'1042086812380884993',09/18/2018,"b""@csuwildcat @adam3us ProgPoW?\n\nSounds like a children's game. :P"""
b'1041882955814191104',09/18/2018,"b'The always successful ""stick your head in the sand"" model of security.\n\nWe\'re not going to be able to take face swa\xe2\x80\xa6 https://t.co/2A2jpyVUW9'"
b'1041872592750235649',09/18/2018,"b""RT @BraveTheWorld: I had a break-in. Kialaras stolen. Please dm me if you've seen any go up for sale in the last couple days. \n\n#Bitcoin"""
b'1041871872684638208',09/18/2018,b'RT @SpaceX: The first private passenger to fly around the Moon aboard BFR is fashion innovator and globally recognized art curator Yusaku M\xe2\x80\xa6'
b'1041671097484111872',09/17/2018,b'@SarahJamieLewis @abcoates You can do that for blockchains too: https://t.co/sGWP4RsLsU'
b'1041669049120378880',09/17/2018,"b""@francispouliot_ Nah. If you screw it up they'll be another next year. Or maybe next month! :)"""
b'1041585997186838528',09/17/2018,"b""@Mire1a @Arcteryx Arc'teryx isn't necessarily the most durable gear. But it does tend to be really well thought thr\xe2\x80\xa6 https://t.co/M74xHRz2Bj"""
b'1041585607577948165',09/17/2018,"b""@Mire1a We did have a guy fall into a crevasse though. But it was filled with snow so no big deal. I've had that ha\xe2\x80\xa6 https://t.co/fL4LZqdAbV"""
b'1041585351091990528',09/17/2018,b'@Mire1a Actually from an avalanche point of view a steeper angle can be safer because all the snow falls off! And w\xe2\x80\xa6 https://t.co/Zey1Sqe9vJ'
b'1041584763218341888',09/17/2018,"b""@Mire1a Bet you that was the South Pole. :) It's actually relatively easy to get too these days, because of the inc\xe2\x80\xa6 https://t.co/UweXhYUMd1"""
b'1041584048156680192',09/17/2018,b'@HodlModel @BitMinersSD How many bodies have you hid anyway?'
b'1041583935245967360',09/17/2018,"b""@HodlModel @BitMinersSD Well if there are caves, there's definitely limestone... I haven't actually done any canyon\xe2\x80\xa6 https://t.co/PXZoqeom7A"""
b'1041438498174119936',09/16/2018,b'@johnvillarz Yup. LEDs were something like 2mm on a 4mm grid. Easily visible up close.'
b'1041435318275063808',09/16/2018,"b'@giacomozucco With Bitcoin, who is going to build the roads for my model T?!?!?!'"
b'1041434325403676672',09/16/2018,"b""@johnvillarz It's a LED panel, compromised of a few dozen subpanels. Pretty common tech that's easy to make in whatever shape you want."""
b'1041433663982907397',09/16/2018,b'RT @JeremyRubin: Excited to declare that I have won my fight to say FUCK NAZIS on the internet. This is a win for everyone -- both in the f\xe2\x80\xa6'
