id,created_at,text
b'1042119169079164928',09/18/2018,"b""RT @propelforward: Here's the link to the NY Virtual Markets Integrity Report just issued by the New York Attorney General: https://t.co/M0\xe2\x80\xa6"""
b'1042119133381443585',09/18/2018,"b'RT @propelforward: Major findings (summarized): Potential Conflicts of Interest: Multiple lines of biz suggest conflicts, including: acting\xe2\x80\xa6'"
b'1042118759455121409',09/18/2018,b'RT @propelforward: Minimal protection for customer funds. Platforms are not meaningfully audited- many do no independent auditing of custom\xe2\x80\xa6'
b'1042118710046203904',09/18/2018,b'RT @propelforward: If you want to claim against an exchange you have to find a court that can take jurisidction over that exchange- whcih m\xe2\x80\xa6'
b'1042118564520636419',09/18/2018,"b""RT @propelforward: Just like HFT's pay for faster connections to the market, at least one trading platform (Gemini) offers colo to traders\xe2\x80\xa6"""
b'1042104401660465153',09/18/2018,b'RT @arjunblj: Accreditation laws aren\xe2\x80\x99t preventing retail investors from finding the next Uber. The best companies will go to the top firms\xe2\x80\xa6'
b'1042098584240435202',09/18/2018,b'RT @BMBernstein: Token incentive alignment is a mirage\n\nTokens only increase in value if more $$ is held. But services of the network and $\xe2\x80\xa6'
b'1042069929917329409',09/18/2018,b'Keynote: Bitcoin\xe2\x80\x99s Network Governance  https://t.co/gdiJNzxlxM'
b'1042053967059083266',09/18/2018,"b""RT @BeatTorrent: Great interview with @UdiWertheimer at @stephanlivera's podcast. Clarifies a lot of the issues surrounding ICOs, tokenizat\xe2\x80\xa6"""
b'1042047433650393088',09/18/2018,"b'RT @danheld: ""I heard Bitcoin mining in China predominately uses electricity generated through fossil fuels"" he types confidently into a tw\xe2\x80\xa6'"
b'1042031195125633024',09/18/2018,b'RT @anguschampion: People and whole communities are deplatformed regularly. I just wish the \xe2\x80\x98free speech\xe2\x80\x99 advocates spoke up about this in\xe2\x80\xa6'
b'1042019025776267265',09/18/2018,"b'@kryptofsky You got the format wrong, the bait should be non-specific, so in this case it would talk about crypto-c\xe2\x80\xa6 https://t.co/JJDRxB3tLl'"
b'1042011972445843457',09/18/2018,"b'@AssafLavie @Beautyon_ I agree, I was against the capacity increase that came with SegWit. The mitigation is that it was a marginal increase'"
b'1042011364229869568',09/18/2018,b'@KpunToN00b @NodedPodcast @theonevortex @bitstein End of the week!'
b'1042011138341433344',09/18/2018,"b'@ETFBizReview \xe2\x80\x9cCash\xe2\x80\x9d is a method of payment, not a medium of exchange. The US dollar is the most liquid medium of e\xe2\x80\xa6 https://t.co/gCu6kIGsN4'"
b'1041875277566173187',09/18/2018,b'RT @cryptorae: https://t.co/ZVWIOt7sBF'
b'1041874885075775488',09/18/2018,b'RT @pierre_rochard: @AssafLavie @Beautyon_ Breaking the expectations of on-chain scaling and low fees earlier rather than later was very im\xe2\x80\xa6'
b'1041874668456763392',09/18/2018,"b'@AssafLavie @Beautyon_ We\xe2\x80\x99ll never be at the \xe2\x80\x9csweet spot\xe2\x80\x9d, that\xe2\x80\x99s not how Schelling points work. We\xe2\x80\x99ll only adjust\xe2\x80\xa6 https://t.co/bXP1bk6B7k'"
b'1041874314356764672',09/18/2018,b'@AssafLavie @Beautyon_ Breaking the expectations of on-chain scaling and low fees earlier rather than later was ver\xe2\x80\xa6 https://t.co/W2FZH5pHqT'
b'1041870798007558144',09/18/2018,b'@AssafLavie @Beautyon_ What do you mean by \xe2\x80\x9cblock size aptness\xe2\x80\x9d?'
b'1041868950831882242',09/18/2018,"b'RT @real_vijay: ""Owning bitcoins is one of the few asymmetric bets that people across the entire world can participate in."" \n\nThe Bullish C\xe2\x80\xa6'"
b'1041868683256254465',09/18/2018,"b'RT @real_vijay: When I worked at Google, as an engineer on Google News, I was asked to write code to censor news articles in China (circa 2\xe2\x80\xa6'"
b'1041868498769793026',09/18/2018,b'RT @arunsasi: @pierre_rochard this was my post from an year back https://t.co/3ToA5GkRnX'
b'1041867080646189056',09/18/2018,b'RT @pierre_rochard: Bitcoin\xe2\x80\x99s decentralized p2p network of nodes is what makes its monetary policy credible. It is the ideal form of moneta\xe2\x80\xa6'
b'1041862021904519168',09/18/2018,"b'@jimbo_mr If the price is moving then we really can\xe2\x80\x99t equate volume with liquidity, volume is consuming liquidity and causing slippage...'"
b'1041859423772307457',09/18/2018,"b'Ersatz barter tokens are great for small-time crypto hedge funds with little capital and month-long time horizons,\xe2\x80\xa6 https://t.co/vmRYnuprWL'"
b'1041846681178976256',09/18/2018,"b""RT @_wilfredh: Fun short article on the need for new and innovative computer architectures now Moore's Law has ended: https://t.co/DHv04OKT\xe2\x80\xa6"""
b'1041843298086920193',09/18/2018,"b'@r3lik wew lad do you have catching up to do, start here: https://t.co/b4M3tqA9hL'"
b'1041833973272469506',09/17/2018,b'RT @theonevortex: The government let us down.\nThe mainstream media let us down.\nThe financial system let us down.\nThe healthcare system let\xe2\x80\xa6'
