id,created_at,text
b'993820446553509888',05/08/2018,"b'RT @tylerwinklevoss: Dear @BillGates there is an easy way to short bitcoin. You can short #XBT, the @CBOE Bitcoin (USD) Futures contract, a\xe2\x80\xa6'"
b'989201134932946944',04/25/2018,b'we have something in the works ... it will be a lot simpler for wallets to implement https://t.co/yPvUE5QARi'
b'974033896768770050',03/14/2018,b'@rogerkver it is 33% for very small value transactions ... Bitcoin is a very valuable well proven blockchain for ma\xe2\x80\xa6 https://t.co/pbMAcLvIxr'
b'973197961919369222',03/12/2018,"b""@Technom4ge @DenariumBitcoin sorry to hear that Henry, I've written an explanation of how we compute the network co\xe2\x80\xa6 https://t.co/DoyH76RxaO"""
b'952530161479639042',01/14/2018,b'RT @BitPay: How Payment Protocol Is Eliminating Costly Bitcoin Payment Errors: Stats and Results | The BitPay Blog https://t.co/QFk78hUIyH\xe2\x80\xa6'
b'951458713969283072',01/11/2018,b'RT @BitPay: BitPay and Copay Wallet Users in Brazil Can Now Buy Mercado Livre Gift Cards In-App | The BitPay Blog https://t.co/VJaAPnnoQW #\xe2\x80\xa6'
b'950135202004848640',01/07/2018,"b'We deliberately moved to 6 decimal places on @BitPay invoices so that we could eventually drop the leading ""0."" and\xe2\x80\xa6 https://t.co/wgj1H8swfv'"
b'938451196624465920',12/06/2017,b'https://t.co/uKpKpKXu3u'
b'928319914884108306',11/08/2017,"b'RT @CharlieShrem: BREAKING: ""SegWit2X Suspending plans for the upcoming 2MB upgrade."" #Bitcoin\nhttps://t.co/9eWcFOBm2A'"
b'928311825510420481',11/08/2017,b'I just published \xe2\x80\x9cSegwit2x Should Be Canceled\xe2\x80\x9d https://t.co/0xn0iwjx5f'
b'915560113053868032',10/04/2017,"b'BitPay\xe2\x80\x99s Bitcoin Payments Volume Grows by 328%, On Pace for $1 Billion Yearly https://t.co/Ls3S8Ce1zZ via @bitpay'"
b'908822695210553344',09/15/2017,b'https://t.co/PfqurZAAXx'
b'908376357322797061',09/14/2017,b'\xe2\x80\x9cHow B2B Bitcoin Payments Are Opening International Markets to US Businesses\xe2\x80\x9d by @BitPay https://t.co/XaAShQFa6o'
