iter	Logloss
0	0.6875694043
1	0.6827176106
2	0.6779394527
3	0.6690969502
4	0.6569955861
5	0.653293064
6	0.647188282
7	0.6413083325
8	0.635616936
9	0.6293261992
10	0.6249477745
11	0.616531207
12	0.6108558466
13	0.6020663175
14	0.5964473886
15	0.5925989511
16	0.5888456872
17	0.5843966545
18	0.5806897901
19	0.5787297705
20	0.5736259528
21	0.5674239037
22	0.5621514821
23	0.5593991797
24	0.5560152551
25	0.5505071338
26	0.5459137413
27	0.544028074
28	0.541773762
29	0.5393459733
30	0.5380748141
31	0.5356889398
32	0.5318813963
33	0.5283816779
34	0.5242165733
35	0.5205691111
36	0.5165411745
37	0.5133118904
38	0.5101597301
39	0.5069130049
40	0.5045457055
41	0.5027653419
42	0.4969365163
43	0.4940267885
44	0.4925432112
45	0.4903891597
46	0.4887073177
47	0.4859548293
48	0.4843851178
49	0.4831774957
50	0.4814550508
51	0.4771375203
52	0.475751207
53	0.4732773963
54	0.4709120327
55	0.4680931465
56	0.4642570811
57	0.4630633294
58	0.4615445325
59	0.458762675
60	0.4563729875
61	0.4521706853
62	0.449847173
63	0.447975921
64	0.4457816929
65	0.4443932465
66	0.442149069
67	0.4403582123
68	0.4379591962
69	0.4373508037
70	0.4346298682
71	0.4341770444
72	0.4333464602
73	0.4313036351
74	0.4281323213
75	0.4266468406
76	0.4258058433
77	0.4232882167
78	0.4221077522
79	0.4208717547
80	0.4183435095
81	0.417656387
82	0.4156309943
83	0.4141560378
84	0.413342984
85	0.4119100779
86	0.4105322617
87	0.407734216
88	0.4068594246
89	0.4041478267
90	0.4033705667
91	0.4024188503
92	0.4017600321
93	0.399059386
94	0.3975392542
95	0.396979622
96	0.3945510397
97	0.3941320922
98	0.3935816583
99	0.3921368978
100	0.3920223587
101	0.3910176234
102	0.3878547926
103	0.3871202517
104	0.3867090507
105	0.3839982127
106	0.383017017
107	0.3822854901
108	0.3812028145
109	0.3798673139
110	0.3781416631
111	0.3750708678
112	0.3735003148
113	0.3731131405
114	0.3710578251
115	0.3704676944
116	0.3665043122
117	0.365196774
118	0.3629709133
119	0.3613670444
120	0.3591828576
121	0.3576983362
122	0.3557436399
123	0.3551382457
124	0.3546715467
125	0.3536600865
126	0.3526834322
127	0.3523077888
128	0.3513024811
129	0.3507754793
130	0.350213408
131	0.3481008225
132	0.3466259063
133	0.3438831993
134	0.3423648691
135	0.3400623889
136	0.3393015822
137	0.3373269128
138	0.3330141749
139	0.332145827
140	0.3317434928
141	0.3297590948
142	0.3290763825
143	0.3282914485
144	0.3256208451
145	0.3242539657
146	0.3223203964
147	0.3199555238
148	0.3187539005
149	0.3181884136
150	0.3172646718
151	0.316092851
152	0.3148184054
153	0.3143786139
154	0.3129169927
155	0.3116338509
156	0.3102552904
157	0.3094591595
158	0.3078447865
159	0.306094033
160	0.3009387589
161	0.2993313973
162	0.2964242863
163	0.2955728157
164	0.2951170121
165	0.2948061908
166	0.2940472631
167	0.2931879153
168	0.2914319409
169	0.2911440973
170	0.2901343608
171	0.2896590466
172	0.2894637197
173	0.2879184353
174	0.2860718246
175	0.2843150138
176	0.2830861761
177	0.2819004448
178	0.281594353
179	0.281206878
180	0.2801179802
181	0.2785522667
182	0.2782482118
183	0.2757999941
184	0.2741443289
185	0.2737842567
186	0.2727420699
187	0.2722843709
188	0.2718386895
189	0.2708108941
190	0.2700496517
191	0.2681848435
192	0.2667868124
193	0.2658513506
194	0.264795142
195	0.2642780806
196	0.262843533
197	0.2617065901
198	0.2614812089
199	0.2587210009
200	0.2566307933
201	0.2536999636
202	0.2524122674
203	0.2521719489
204	0.2509510984
205	0.2489788891
206	0.248854443
207	0.2470482714
208	0.2463435293
209	0.2461289536
210	0.2456907851
211	0.2451007709
212	0.2448782863
213	0.2442144661
214	0.2438650367
215	0.2436843268
216	0.2431976299
217	0.2426516715
218	0.2412800484
219	0.2408730188
220	0.239127973
221	0.2375967365
222	0.2369856976
223	0.2364470913
224	0.2355337424
225	0.2351823231
226	0.2349455506
227	0.2339614636
228	0.2336036491
229	0.2324425241
230	0.2319639386
231	0.2308826983
232	0.2303024316
233	0.2300185067
234	0.2286616917
235	0.2278294099
236	0.2273747327
237	0.2266765997
238	0.2253149036
239	0.2227380738
240	0.2215841524
241	0.2209372415
242	0.2200007874
243	0.219219547
244	0.2190866336
245	0.2187035588
246	0.2184468011
247	0.2173713297
248	0.2155410687
249	0.2148088104
250	0.2143809005
251	0.2143146354
252	0.2139970437
253	0.2120256645
254	0.2098732465
255	0.2086532016
256	0.2075668546
257	0.2064595683
258	0.2048926793
259	0.2041132682
260	0.2036179856
261	0.2030692493
262	0.2020858652
263	0.2015393948
264	0.2012846707
265	0.2001783564
266	0.1999228032
267	0.1997593171
268	0.1986055852
269	0.1983922589
270	0.1978771806
271	0.1967205682
272	0.1961964946
273	0.1955700702
274	0.1954333362
275	0.1953768401
276	0.1935416233
277	0.1924384209
278	0.1922752161
279	0.1916844585
280	0.1915499346
281	0.1881385022
282	0.1879707662
283	0.1878076208
284	0.187606548
285	0.1872683992
286	0.1869421291
287	0.1867537006
288	0.1862541995
289	0.185651391
290	0.1850927295
291	0.1849998924
292	0.183745587
293	0.1834505103
294	0.1829528979
295	0.1827028983
296	0.1821347243
297	0.1806907742
298	0.1803870352
299	0.1795381017
300	0.1794576316
301	0.1788959106
302	0.1785188447
303	0.1775511352
304	0.1774945745
305	0.1774054668
306	0.1769240538
307	0.1767076867
308	0.1762609582
309	0.176040788
310	0.1757895559
311	0.1757174204
312	0.1749095882
313	0.1730109873
314	0.1724368915
315	0.1722539621
316	0.1716187567
317	0.1697939291
318	0.1693022367
319	0.1685899047
320	0.1681025572
321	0.1671722971
322	0.1670151618
323	0.1668063804
324	0.1657255215
325	0.165499648
326	0.1646148583
327	0.1642129938
328	0.1641504214
329	0.1635123208
330	0.1633102852
331	0.162543555
332	0.1623243712
333	0.1621038255
334	0.1617050004
335	0.1614308592
336	0.1605287361
337	0.1604410263
338	0.159665545
339	0.1593940893
340	0.1585098187
341	0.1579398072
342	0.1570710519
343	0.155317331
344	0.1543418045
345	0.1531496703
346	0.1528536863
347	0.1520223042
348	0.1518578461
349	0.1512065363
350	0.1505708053
351	0.1501732894
352	0.1497287738
353	0.1490637619
354	0.1489081157
355	0.1484940989
356	0.1484159909
357	0.1476439394
358	0.1474400581
359	0.1465362026
360	0.1460323993
361	0.1451447834
362	0.1448350907
363	0.1439921446
364	0.1437726641
365	0.1435752148
366	0.1434144798
367	0.1427554625
368	0.142650381
369	0.1423740491
370	0.1422731444
371	0.1420824993
372	0.1415962847
373	0.1414955661
374	0.1407046148
375	0.1406716261
376	0.1406296935
377	0.1391480685
378	0.1390575015
379	0.1386973663
380	0.138555743
381	0.1384542534
382	0.1377215959
383	0.1375420072
384	0.1374799574
385	0.1370991864
386	0.1366245051
387	0.1353621182
388	0.1344683991
389	0.1340616671
390	0.1339991414
391	0.1337760146
392	0.1333909181
393	0.1332149014
394	0.1314728684
395	0.1310336978
396	0.1308175658
397	0.1298049599
398	0.1297161058
399	0.129670337
400	0.1289623801
401	0.1280709695
402	0.1279304839
403	0.1268363609
404	0.1264832984
405	0.1261808146
406	0.1261201654
407	0.1255907018
408	0.125313015
409	0.1251392189
410	0.1250682208
411	0.1235822042
412	0.1230477982
413	0.1226056987
414	0.1223056459
415	0.122217022
416	0.1220618055
417	0.1218363477
418	0.1213235302
419	0.121303194
420	0.1212386545
421	0.1212227609
422	0.1204732179
423	0.1204330134
424	0.1203051865
425	0.1194568326
426	0.1194149264
427	0.1180044694
428	0.1172308174
429	0.1171263027
430	0.1168045691
431	0.1167189961
432	0.1165545894
433	0.115878738
434	0.1155180802
435	0.1149821794
436	0.1148777107
437	0.1144371538
438	0.1134819776
439	0.1125751611
440	0.1122124127
441	0.1119879149
442	0.1117117983
443	0.1110430875
444	0.1106471088
445	0.1102041272
446	0.110112525
447	0.1096482954
448	0.1093861201
449	0.1091215994
450	0.1082918407
451	0.1081222926
452	0.1074219713
453	0.1071480323
454	0.106873483
455	0.1067476748
456	0.10671252
457	0.1065758273
458	0.1056307391
459	0.1051921909
460	0.1051046991
461	0.1048646535
462	0.1047565764
463	0.1044119403
464	0.1036033937
465	0.1035858463
466	0.1035423945
467	0.1034860955
468	0.1032242334
469	0.1030384579
470	0.1029475737
471	0.1028649189
472	0.1027584837
473	0.1027245292
474	0.1026651945
475	0.101406307
476	0.101304969
477	0.1012743215
478	0.1010151139
479	0.100696168
480	0.10054124
481	0.09941754817
482	0.09929886024
483	0.09912252118
484	0.09903408122
485	0.0986091909
486	0.0984721765
487	0.09833618582
488	0.09825060159
489	0.09801457866
490	0.09788159132
491	0.09775094485
492	0.0974521679
493	0.09740407625
494	0.09736851572
495	0.09699645544
496	0.09687624701
497	0.09678736498
498	0.09656865679
499	0.09603485505
500	0.0960056081
501	0.09571041262
502	0.09502324689
503	0.09500724977
504	0.09498370569
505	0.09492156582
506	0.09486426607
507	0.09460578937
508	0.09446598879
509	0.0943939328
510	0.09435122831
511	0.09416285826
512	0.09385428328
513	0.09363177212
514	0.09324436408
515	0.09274495735
516	0.09226300677
517	0.09209732763
518	0.09206967576
519	0.09199654402
520	0.09191846813
521	0.09190582481
522	0.09189073891
523	0.09167280987
524	0.09160536141
525	0.09148788212
526	0.09132859122
527	0.09094742889
528	0.09092733086
529	0.09077448234
530	0.09022102221
531	0.0896206166
532	0.08924093996
533	0.08915870425
534	0.08900620616
535	0.08866496319
536	0.08844681196
537	0.08839706191
538	0.08826101519
539	0.08812147671
540	0.08806649675
541	0.08773827628
542	0.08771981253
543	0.08763013065
544	0.08726015956
545	0.08722242315
546	0.08720503877
547	0.08710934631
548	0.08708660143
549	0.08695120045
550	0.08689663883
551	0.08684884747
552	0.08671341945
553	0.08610322621
554	0.08593590104
555	0.08573426081
556	0.08562595219
557	0.08554691312
558	0.08539167401
559	0.08531211219
560	0.08494513023
561	0.08477610328
562	0.08390197774
563	0.08364665454
564	0.08314834524
565	0.08279660824
566	0.08251763725
567	0.08235619056
568	0.08218329803
569	0.08211352535
570	0.08195757126
571	0.08154360103
572	0.08153531065
573	0.08139515265
574	0.08135341992
575	0.08125478566
576	0.08121608132
577	0.0812033539
578	0.08112508114
579	0.08094505148
580	0.08046848232
581	0.08017438798
582	0.08008699833
583	0.07952439306
584	0.07929753418
585	0.0792886466
586	0.07925983789
587	0.07920164772
588	0.07916217638
589	0.07913020247
590	0.07866125176
591	0.07856582918
592	0.0782300142
593	0.07817719457
594	0.07766383138
595	0.07751598187
596	0.07749709146
597	0.07731355356
598	0.07728975064
599	0.07723542049
600	0.07712909727
601	0.07711561038
602	0.07708939121
603	0.07707969456
604	0.07700830843
605	0.07697791683
606	0.07697455791
607	0.07651777791
608	0.07583084134
609	0.07578638946
610	0.0756777636
611	0.07561886014
612	0.07553038305
613	0.07520763473
614	0.07513623279
615	0.07496853223
616	0.07476579806
617	0.07467302281
618	0.07453493297
619	0.07402480861
620	0.07378506058
621	0.07359557147
622	0.07328386637
623	0.0731633098
