iter	Passed	Remaining
0	44	44502
1	108	54247
2	146	48544
3	160	39931
4	175	34941
5	190	31505
6	228	32410
7	281	34852
8	321	35425
9	342	33889
10	363	32653
11	376	30961
12	389	29545
13	404	28462
14	416	27372
15	428	26366
16	440	25474
17	453	24727
18	464	24005
19	476	23336
20	518	24186
21	534	23762
22	558	23724
23	577	23491
24	590	23028
25	606	22703
26	619	22340
27	632	21945
28	644	21567
29	656	21218
30	668	20890
31	680	20594
32	692	20278
33	705	20051
34	755	20817
35	807	21629
36	852	22178
37	880	22287
38	904	22288
39	918	22047
40	932	21804
41	941	21472
42	959	21351
43	1002	21788
44	1030	21863
45	1052	21830
46	1065	21598
47	1087	21566
48	1117	21682
49	1132	21523
50	1146	21325
51	1176	21451
52	1216	21738
53	1290	22599
54	1337	22978
55	1391	23449
56	1447	23943
57	1494	24268
58	1529	24387
59	1555	24369
60	1602	24665
61	1654	25024
62	1673	24890
63	1695	24799
64	1710	24600
65	1737	24589
66	1758	24482
67	1775	24330
68	1790	24154
69	1806	23995
70	1858	24314
71	1884	24288
72	1900	24137
73	1915	23968
74	1928	23779
75	1939	23584
76	1952	23399
77	1964	23219
78	1975	23032
79	1987	22851
80	2000	22691
81	2039	22828
82	2068	22853
83	2099	22890
84	2115	22776
85	2134	22688
86	2204	23136
87	2288	23719
88	2320	23751
89	2353	23799
90	2379	23764
91	2391	23601
92	2403	23443
93	2419	23324
94	2435	23200
95	2448	23052
96	2462	22920
97	2474	22771
98	2487	22642
99	2528	22758
100	2564	22829
101	2599	22887
102	2643	23022
103	2667	22980
104	2687	22903
105	2725	22988
106	2773	23150
107	2829	23367
108	2860	23382
109	2872	23242
110	2884	23103
111	2897	22976
112	2942	23097
113	2956	22974
114	2979	22932
115	2993	22809
116	3007	22696
117	3022	22589
118	3034	22467
119	3047	22344
120	3059	22228
121	3073	22122
122	3090	22033
123	3135	22153
124	3156	22098
125	3169	21986
126	3193	21951
127	3225	21975
128	3296	22259
129	3340	22358
130	3376	22400
131	3425	22524
132	3448	22478
133	3460	22362
134	3476	22272
135	3489	22166
136	3523	22198
137	3546	22152
138	3558	22042
139	3590	22057
140	3627	22099
141	3653	22077
142	3667	21977
143	3679	21874
144	3692	21775
145	3704	21669
146	3717	21569
147	3752	21602
148	3787	21629
149	3840	21763
150	3872	21774
151	3907	21802
152	3938	21800
153	3966	21791
154	4043	22046
155	4071	22026
156	4084	21933
157	4097	21836
158	4112	21750
159	4124	21656
160	4137	21559
161	4149	21466
162	4162	21372
163	4177	21294
164	4219	21352
165	4245	21327
166	4278	21340
167	4310	21348
168	4343	21359
169	4392	21444
170	4426	21459
171	4462	21484
172	4500	21513
173	4519	21454
174	4533	21373
175	4548	21294
176	4561	21211
177	4574	21126
178	4588	21045
179	4627	21082
180	4648	21034
181	4663	20958
182	4676	20878
183	4688	20791
184	4700	20708
185	4713	20627
186	4726	20550
187	4742	20482
188	4757	20414
189	4771	20340
190	4783	20260
191	4795	20182
192	4808	20105
193	4820	20028
194	4861	20068
195	4881	20022
196	4892	19942
197	4905	19869
198	4917	19794
199	4929	19717
200	4970	19758
201	5033	19883
202	5158	20252
203	5229	20406
204	5373	20840
205	5436	20953
206	5473	20970
207	5512	20989
208	5550	21008
209	5594	21045
210	5682	21249
211	5760	21410
212	5850	21615
213	5922	21753
214	5962	21771
215	5979	21702
216	5991	21620
217	6004	21539
218	6020	21468
219	6034	21393
220	6046	21314
221	6061	21241
222	6103	21265
223	6120	21202
224	6133	21125
225	6144	21045
226	6158	20970
227	6171	20897
228	6184	20822
229	6198	20750
230	6211	20676
231	6236	20643
232	6250	20574
233	6268	20520
234	6299	20506
235	6316	20449
236	6338	20405
237	6353	20341
238	6368	20279
239	6382	20211
240	6403	20168
241	6446	20192
242	6506	20268
243	6522	20207
244	6577	20269
245	6620	20291
246	6646	20262
247	6666	20214
248	6694	20191
249	6728	20186
250	6779	20229
251	6800	20186
252	6815	20122
253	6827	20051
254	6840	19986
255	6854	19920
256	6865	19849
257	6877	19779
258	6889	19711
259	6901	19642
260	6913	19574
261	6929	19518
262	6955	19489
263	6977	19452
264	6991	19391
265	7013	19353
266	7083	19446
267	7189	19637
268	7226	19637
269	7276	19673
270	7334	19730
271	7348	19669
272	7370	19628
273	7385	19569
274	7414	19547
275	7433	19500
276	7446	19436
277	7460	19376
278	7472	19311
279	7486	19251
280	7499	19190
281	7512	19128
282	7527	19070
283	7551	19038
284	7584	19028
285	7679	19171
286	7782	19333
287	7832	19363
288	7849	19311
289	7863	19250
290	7882	19204
291	7911	19181
292	7930	19136
293	7942	19071
294	7954	19008
295	7965	18944
296	7980	18890
297	7992	18828
298	8005	18767
299	8017	18708
300	8029	18647
301	8041	18586
302	8054	18527
303	8066	18467
304	8078	18409
305	8126	18430
306	8181	18467
307	8212	18452
308	8232	18410
309	8248	18359
310	8262	18304
311	8276	18250
312	8298	18214
313	8331	18203
314	8371	18203
315	8431	18251
316	8455	18217
317	8488	18205
318	8548	18249
319	8569	18209
320	8584	18157
321	8617	18145
322	8709	18255
323	8740	18237
324	8823	18325
325	8873	18345
326	8893	18304
327	8906	18248
328	8919	18191
329	8930	18132
330	8943	18076
331	8959	18026
332	8987	18001
333	9004	17954
334	9017	17900
335	9050	17885
336	9064	17833
337	9078	17780
338	9090	17725
339	9102	17669
340	9115	17615
341	9127	17561
342	9139	17505
343	9151	17450
344	9163	17397
345	9174	17342
346	9189	17292
347	9205	17247
348	9228	17215
349	9243	17167
350	9278	17155
351	9292	17106
352	9304	17054
353	9315	17000
354	9327	16948
355	9341	16897
356	9352	16845
357	9364	16793
358	9377	16742
359	9389	16691
360	9401	16640
361	9413	16590
